,player_name,pitcher,fDurability,fERA,fControl,fStuff
2703,Tarik Skubal,669373,145.0,127.0,131.0,121.0
3044,Zack Wheeler,554430,100.0,126.0,120.0,117.0
2337,Paul Skenes,694973,138.0,124.0,120.0,114.0
652,Cole Ragans,666142,141.0,124.0,100.0,122.0
1826,Kyle Bradish,680694,122.0,124.0,106.0,119.0
1057,Garrett Crochet,676979,135.0,123.0,119.0,115.0
2993,Yoshinobu Yamamoto,808967,139.0,123.0,105.0,108.0
1652,Josh Hader,623352,100.0,122.0,,134.0
1894,Logan Gilbert,669302,150.0,122.0,120.0,118.0
601,Chris Sale,519242,133.0,122.0,117.0,114.0
2047,Mason Miller,695243,,122.0,,148.0
675,Connelly Early,813349,133.0,122.0,,112.0
914,Edwin Diaz,621242,146.0,121.0,,131.0
208,Aroldis Chapman,547973,150.0,121.0,,133.0
1331,Jacob deGrom,594798,110.0,121.0,121.0,113.0
1191,Hunter Greene,668881,133.0,121.0,116.0,119.0
1472,Jhoan Duran,661395,150.0,121.0,,118.0
917,Edwin Uceta,670955,150.0,120.0,107.0,119.0
280,Blake Snell,605483,128.0,120.0,82.0,115.0
2832,Tyler Glasnow,607192,125.0,119.0,88.0,107.0
173,Angel Perdomo,622780,,119.0,,102.0
1126,Griffin Jax,643377,150.0,119.0,110.0,127.0
2460,Robert Stephenson,596112,95.0,119.0,,102.0
713,Cristopher Sanchez,650911,150.0,119.0,116.0,107.0
1042,Gabe Speier,642100,150.0,119.0,,118.0
2215,Nathan Eovaldi,543135,95.0,119.0,124.0,102.0
2641,Shohei Ohtani,660271,104.0,118.0,120.0,120.0
417,Bryan Woo,693433,133.0,118.0,123.0,106.0
452,Cade Smith,671922,,118.0,127.0,125.0
1449,Jeremiah Estrada,669093,150.0,117.0,108.0,128.0
340,Brandon Woodruff,605540,97.0,117.0,128.0,110.0
2659,Spencer Schwellenbach,680885,72.0,117.0,128.0,106.0
1111,Grant Taylor,691799,124.0,116.0,,111.0
102,Alex Vesia,681911,150.0,116.0,,116.0
907,Eduard Bazardo,660825,150.0,116.0,108.0,96.0
818,Devin Williams,642207,150.0,116.0,,125.0
2495,Ryan Burr,621114,55.0,116.0,,109.0
1503,Joe Ryan,657746,150.0,116.0,118.0,104.0
1495,Joe Jimenez,641729,61.0,116.0,,113.0
991,Eury Perez,691587,124.0,116.0,105.0,110.0
1185,Hunter Brown,686613,150.0,116.0,103.0,105.0
561,Chase Burns,695505,146.0,115.0,,126.0
133,Andres Munoz,662253,150.0,115.0,,122.0
145,Andrew Kittredge,552640,136.0,115.0,,113.0
2851,Tyler Rogers,643511,,115.0,137.0,76.0
1036,Freddy Peralta,642547,150.0,115.0,98.0,108.0
772,David Bednar,670280,150.0,115.0,,118.0
2600,Sean Manaea,640455,150.0,115.0,105.0,104.0
2256,Nick Pivetta,601713,148.0,115.0,112.0,101.0
2394,Randy Rodriguez,678495,99.0,115.0,,117.0
1092,Gerrit Cole,543037,53.0,115.0,115.0,94.0
2066,Matt Brash,666374,129.0,114.0,,108.0
999,Evan Phillips,623465,68.0,114.0,,110.0
405,Bryan Abreu,650556,150.0,114.0,94.0,126.0
1056,Garrett Cleavinger,664076,144.0,114.0,,121.0
1896,Logan Henderson,701656,71.0,114.0,,106.0
2288,Nolan McLean,690997,134.0,114.0,,105.0
2105,Max Fried,608331,145.0,114.0,108.0,99.0
1906,Logan Webb,657277,150.0,114.0,115.0,97.0
7,Aaron Ashby,676879,139.0,114.0,,105.0
21,Abner Uribe,682842,130.0,113.0,105.0,113.0
404,Brusdar Graterol,660813,40.0,113.0,,
882,Dylan Lee,669276,145.0,113.0,,115.0
1021,Framber Valdez,664285,,113.0,97.0,100.0
2475,Ronny Henriquez,678692,150.0,113.0,106.0,120.0
756,Danny Young,664849,57.0,113.0,,106.0
1014,Fernando Cruz,518585,150.0,112.0,,125.0
153,Andrew Nardi,677053,54.0,112.0,,118.0
1593,Jose A. Ferrer,678606,148.0,112.0,117.0,99.0
2,A.J. Minter,621345,59.0,112.0,,108.0
2783,Trevor Megill,656730,150.0,112.0,,119.0
1070,Garrett Whitlock,676477,131.0,112.0,146.0,117.0
802,Dedniel Nunez,673380,72.0,112.0,,127.0
2365,Phil Maton,664208,,112.0,,112.0
