,player_name,pitcher,fDurability,fERA,fControl,fStuff
0,A.J. Alexy,669935.0,,100.0,50.0,82.0
1,A.J. Block,670191.0,,105.0,103.0,104.0
2,A.J. Blubaugh,805123.0,147.0,102.0,105.0,99.0
3,A.J. Causey,822067.0,129.0,100.0,120.0,102.0
4,A.J. Labas,669332.0,,87.0,106.0,89.0
5,A.J. Ladwig,607609.0,,90.0,110.0,
6,A.J. Minter,621345.0,59.0,,,103.0
7,A.J. Puckett,643494.0,101.0,98.0,106.0,91.0
8,A.J. Puk,640462.0,63.0,,,103.0
9,A.J. Wilson,687954.0,,99.0,92.0,96.0
10,AJ Blubaugh,805123.0,,94.0,95.0,89.0
11,AJ Smith-Shawver,700363.0,60.0,102.0,108.0,111.0
12,Aaron Ashby,676879.0,139.0,99.0,76.0,89.0
13,Aaron Brooks,605156.0,,95.0,100.0,79.0
14,Aaron Brown,676345.0,,87.0,100.0,74.0
15,Aaron Brown - 676345,676345.0,,90.0,61.0,
16,Aaron Bummer,607481.0,105.0,,,
17,Aaron Civale,650644.0,141.0,96.0,,96.0
18,Aaron Cohn,703110.0,,85.0,,88.0
19,Aaron Combs,694551.0,64.0,86.0,97.0,98.0
20,Aaron Davenport,702126.0,127.0,92.0,99.0,86.0
21,Aaron Fletcher,667465.0,,,,99.0
22,Aaron Haase,700412.0,,85.0,,95.0
23,Aaron Hernandez,669443.0,,,,95.0
24,Aaron Holiday,701569.0,,95.0,89.0,99.0
25,Aaron Leasher,669468.0,,93.0,79.0,84.0
26,Aaron McGarity,641849.0,,105.0,115.0,91.0
27,Aaron Munson,815317.0,98.0,105.0,105.0,92.0
28,Aaron Nixon,691004.0,,106.0,80.0,92.0
29,Aaron Nola,605400.0,145.0,,125.0,99.0
30,Aaron Perry,676215.0,,86.0,,96.0
31,Aaron Rozek,702065.0,133.0,93.0,110.0,85.0
32,Aaron Rund,810921.0,116.0,103.0,100.0,83.0
33,Aaron Sanchez,592717.0,,88.0,82.0,77.0
34,Aaron Shortridge,663336.0,,90.0,103.0,87.0
35,Aaron Wilkerson,658792.0,,93.0,118.0,82.0
36,Abdiel Mendoza,665959.0,130.0,100.0,104.0,90.0
37,Abel Brito,692823.0,,89.0,66.0,78.0
38,Abel Mercedes,701951.0,107.0,113.0,70.0,122.0
39,Abner Uribe,682842.0,130.0,100.0,,109.0
40,Abraham Gaitan,90.0,,90.0,,
41,Abraham Parra,811600.0,,94.0,100.0,84.0
42,Adam Bates,806724.0,105.0,86.0,84.0,72.0
43,Adam Bloebaum,826168.0,40.0,102.0,130.0,97.0
44,Adam Boucher,694780.0,115.0,94.0,84.0,98.0
45,Adam Cimber,643256.0,,85.0,,82.0
46,Adam Conrad,828597.0,,99.0,74.0,80.0
47,Adam Kloffenstein,680572.0,121.0,97.0,95.0,94.0
48,Adam Kolarek,592473.0,,96.0,94.0,83.0
49,Adam Laskey,669445.0,107.0,104.0,110.0,85.0
50,Adam Leverett,687190.0,53.0,91.0,105.0,85.0
51,Adam Macko,671936.0,111.0,97.0,96.0,97.0
52,Adam Maier,683264.0,105.0,92.0,97.0,73.0
53,Adam Mazur,800049.0,150.0,97.0,112.0,94.0
54,Adam McKillican,688015.0,,89.0,99.0,94.0
55,Adam Oller,670124.0,,98.0,103.0,96.0
56,Adam Plutko,592644.0,,86.0,109.0,73.0
57,Adam Scott,681792.0,,89.0,73.0,85.0
58,Adam Seminaris,694372.0,,99.0,108.0,81.0
59,Adam Serwinowski,703445.0,127.0,104.0,102.0,106.0
60,Adam Shoemaker,692248.0,,96.0,84.0,102.0
61,Adam Smith,702111.0,,99.0,108.0,89.0
62,Adam Stone,688636.0,40.0,85.0,,96.0
63,Adam Tulloch,671969.0,127.0,97.0,97.0,88.0
64,Adam Wainwright,425794.0,,,,95.0
65,Adam Wolf,663684.0,,99.0,99.0,89.0
66,Adbert Alzolay,640470.0,40.0,,,103.0
67,Adel Dilone,693715.0,,106.0,107.0,110.0
68,Adilson Peralta,800012.0,,100.0,99.0,92.0
69,Adisyn Coffey,676249.0,148.0,103.0,95.0,115.0
70,Adolfo Oviedo,801743.0,113.0,86.0,118.0,87.0
71,Adolfo Ramirez,672666.0,,88.0,81.0,82.0
72,Adonis Medina,658431.0,,97.0,86.0,81.0
73,Adonis Villavicencio,800536.0,,92.0,82.0,88.0
74,Adonys Perez,806583.0,105.0,87.0,97.0,81.0
75,Adrian Acosta,90.0,,91.0,,
76,Adrian Alcantara,674220.0,,91.0,98.0,82.0
77,Adrian Aray,90.0,,92.0,,
78,Adrian Ardines,90.0,,88.0,,
79,Adrian Belen,90.0,,93.0,,
80,Adrian Bohorquez,807974.0,92.0,101.0,105.0,104.0
81,Adrian Chaidez,686585.0,,90.0,85.0,95.0
82,Adrian Delgado,800394.0,,101.0,65.0,93.0
83,Adrian Heredia,823892.0,45.0,87.0,95.0,
84,Adrian Hernandez,681753.0,,101.0,84.0,97.0
85,Adrian Herrera,805155.0,55.0,86.0,98.0,96.0
86,Adrian Houser,605288.0,,104.0,109.0,86.0
87,Adrian Martinez,661309.0,,78.0,93.0,79.0
88,Adrian Morejon,670970.0,145.0,92.0,106.0,101.0
89,Adrian Quintana,692037.0,,93.0,102.0,79.0
90,Adrian Rodriguez,689583.0,,98.0,67.0,110.0
91,Adrian Rodriguez - 689583,689583.0,98.0,100.0,113.0,105.0
92,Adrian Sampson,592716.0,,88.0,102.0,72.0
93,Aidan Anderson,689379.0,,90.0,95.0,79.0
94,Aidan Curry,695778.0,100.0,95.0,89.0,105.0
95,Aidan Deakins,827604.0,52.0,91.0,81.0,98.0
96,Aidan Foeller,826538.0,85.0,106.0,92.0,111.0
97,Aidan Layton,828502.0,,86.0,106.0,73.0
98,Aidan Maldonado,682251.0,47.0,96.0,108.0,100.0
99,Aiden Butler,804210.0,79.0,84.0,111.0,68.0
100,Aiden May,801995.0,60.0,100.0,98.0,91.0
101,Al Pesto,663875.0,,,,99.0
102,Alain Pena,703900.0,,82.0,86.0,76.0
103,Alan Busenitz,641427.0,69.0,95.0,107.0,91.0
104,Alan Carter,802949.0,,99.0,,101.0
105,Alan Mundo,678426.0,,85.0,88.0,95.0
106,Alan Perdomo,679595.0,,83.0,97.0,77.0
107,Alan Rangel,660604.0,132.0,95.0,113.0,103.0
108,Alan Reyes,814085.0,63.0,90.0,104.0,100.0
109,Alaska Abney,685095.0,100.0,103.0,108.0,90.0
110,Albert Abreu,656061.0,,87.0,85.0,101.0
111,Albert Feliz,682765.0,,,50.0,
112,Albert Polanco,90.0,,88.0,,
113,Albert Ramos,90.0,,91.0,,
114,Albert Rivas,691309.0,92.0,93.0,102.0,82.0
115,Albert Suarez,544150.0,90.0,95.0,,98.0
116,Alberto Baldonado,593604.0,,97.0,92.0,101.0
117,Alberto Mota,699215.0,44.0,117.0,89.0,114.0
118,Alberto Pacheco,691436.0,106.0,87.0,95.0,76.0
119,Aldrin Batista,702881.0,69.0,101.0,106.0,96.0
120,Aldry Acosta,672755.0,,94.0,,70.0
121,Alec Baker,696508.0,113.0,85.0,98.0,80.0
122,Alec Barger,681897.0,,96.0,97.0,93.0
123,Alec Gamboa,687941.0,60.0,104.0,97.0,89.0
124,Alec Marsh,679525.0,55.0,97.0,99.0,109.0
125,Alec Mills,621219.0,,90.0,,88.0
126,Alec Willis,701650.0,40.0,,,99.0
127,Alejandro Chiquillo,90.0,,94.0,,
128,Alejandro Gomez,702901.0,,,,100.0
129,Alejandro Hidalgo,691576.0,93.0,91.0,96.0,102.0
130,Alejandro Lugo,684126.0,,92.0,103.0,84.0
131,Alejandro Manzano,703835.0,94.0,93.0,109.0,88.0
132,Alejandro Mateo,670376.0,,88.0,97.0,96.0
133,Alejandro Melean,678287.0,,87.0,91.0,89.0
134,Alejandro Mendez,691759.0,,97.0,80.0,88.0
135,Alejandro Rivera,90.0,,88.0,,
136,Alejandro Rosario,691730.0,40.0,100.0,138.0,128.0
137,Alejandro Torres,687776.0,101.0,102.0,86.0,98.0
138,Alek Jacob,689690.0,132.0,101.0,111.0,96.0
139,Alek Manoah,666201.0,93.0,97.0,100.0,91.0
140,Alemao Hernandez,672598.0,,87.0,109.0,76.0
141,Alessandro Ercolani,700344.0,106.0,88.0,102.0,82.0
142,Alex Amalfi,806334.0,116.0,103.0,97.0,103.0
143,Alex Ayala Jr.,694809.0,,90.0,88.0,83.0
144,Alex Blandino,607468.0,,,,93.0
145,Alex Bouchard,827635.0,,92.0,75.0,89.0
146,Alex Breckheimer,832225.0,,,,102.0
147,Alex Bustamante,806628.0,,103.0,83.0,97.0
148,Alex Carrillo,692024.0,140.0,98.0,123.0,124.0
149,Alex Claudio,592222.0,,87.0,105.0,69.0
150,Alex Clemmey,806046.0,130.0,105.0,88.0,101.0
151,Alex Cobb,502171.0,78.0,91.0,110.0,110.0
152,Alex Colome,517008.0,,90.0,99.0,102.0
153,Alex Cook,702047.0,102.0,113.0,112.0,117.0
154,Alex Cornwell,676498.0,128.0,96.0,96.0,81.0
155,Alex Faedo,656412.0,51.0,97.0,116.0,109.0
156,Alex Garbrick,687885.0,,90.0,,97.0
157,Alex Hoppe,695380.0,138.0,101.0,97.0,109.0
158,Alex Lange,656638.0,111.0,100.0,89.0,115.0
159,Alex Makarewich,801317.0,102.0,108.0,74.0,124.0
160,Alex Martinez,692624.0,40.0,108.0,107.0,94.0
161,Alex Mauricio,676089.0,45.0,100.0,106.0,101.0
162,Alex McFarlane,686934.0,88.0,98.0,95.0,100.0
163,Alex Pham,702129.0,113.0,101.0,108.0,106.0
164,Alex Rao,702102.0,40.0,88.0,,97.0
165,Alex Santos II,691012.0,47.0,88.0,85.0,95.0
166,Alex Scherff,669085.0,,98.0,98.0,106.0
167,Alex Segal,669393.0,,95.0,,99.0
168,Alex Speas,666208.0,,97.0,68.0,111.0
169,Alex Troop,675960.0,,91.0,103.0,88.0
170,Alex Valverde,663820.0,,86.0,88.0,84.0
171,Alex Vesia,681911.0,150.0,100.0,,103.0
172,Alex Williams,677354.0,122.0,92.0,105.0,84.0
173,Alex Wood,622072.0,,,,98.0
174,Alex Young,622065.0,57.0,100.0,,104.0
175,Alexander Alberto,693739.0,104.0,102.0,104.0,112.0
176,Alexander Almonte,90.0,,94.0,,
177,Alexander Campos,814226.0,,92.0,111.0,
178,Alexander Cornielle,529017.0,128.0,95.0,99.0,92.0
179,Alexander Fuentes,90.0,,92.0,,
180,Alexander Garcia,90.0,,90.0,,
181,Alexander Johnson,689564.0,,94.0,62.0,87.0
182,Alexander Meckley,814384.0,84.0,96.0,98.0,78.0
183,Alexander Vallecillo,699132.0,40.0,96.0,93.0,92.0
184,Alexis Diaz,664747.0,,94.0,102.0,101.0
185,Alexis Liebano,806536.0,,83.0,94.0,80.0
186,Alexis Paulino,90.0,,91.0,,
187,Alexis Torres,800225.0,109.0,93.0,97.0,95.0
188,Alfonso Perez,90.0,,93.0,,
189,Alfred Morillo,801219.0,126.0,103.0,87.0,99.0
190,Alfred Vega,678758.0,,90.0,97.0,91.0
191,Alfredo Romero,801252.0,,97.0,94.0,83.0
