,Player,Team,Pos,Age,ID,HitTool,Discipline,Power,Speed,Durability
0,Zach Neto,LAA,SS,24.8,687263,101.0,,,112.0,114.0
1,Nolan Schanuel,LAA,1B,23.7,694384,103.0,,,95.0,122.0
2,Mike Trout,LAA,RF/CF,34.2,545361,,,,90.0,109.0
3,Taylor Ward,LAA,LF/RF,31.9,621493,,,,93.0,125.0
4,Jo Adell,LAA,RF/CF/LF,26.6,666176,99.0,95.0,137.0,96.0,126.0
5,Jorge Soler,LAA,RF/LF,33.7,624585,,,,89.0,104.0
6,Logan O'Hoppe,LAA,C,25.8,681351,,,,84.0,108.0
7,Christian Moore,LAA,2B,23.0,695681,100.0,94.0,108.0,101.0,116.0
8,Denzer Guzman,LAA,SS/3B,21.7,694203,100.0,97.0,104.0,99.0,116.0
9,Travis d'Arnaud,LAA,C,36.7,518595,,,,89.0,90.0
10,Oswald Peraza,LAA,3B/SS/2B,25.4,672724,96.0,99.0,107.0,112.0,106.0
11,Gustavo Campero,LAA,LF/RF,28.1,672569,105.0,106.0,106.0,119.0,84.0
12,Bryce Teodosio,LAA,CF/RF/LF,26.4,669326,100.0,86.0,92.0,130.0,89.0
13,Anthony Rendon,LAA,3B,35.4,543685,,,,92.0,
14,Sebastian Rivero,LAA,C,27.0,665861,106.0,89.0,93.0,93.0,87.0
15,Zach Humphreys,LAA,C/1B/2B,28.1,668876,96.0,101.0,75.0,99.0,79.0
16,Myles Emmerson,LAA,C,27.5,689880,98.0,99.0,92.0,88.0,90.0
17,Josh Crouch,LAA,C,26.9,676509,102.0,89.0,105.0,82.0,87.0
18,Juan Flores,LAA,C,19.7,808129,100.0,86.0,100.0,87.0,96.0
19,Alberto Rios,LAA,C,23.6,814362,96.0,99.0,94.0,95.0,79.0
20,Dario Laverde,LAA,C,20.7,800188,103.0,94.0,93.0,87.0,95.0
21,Marlon Quintero,LAA,C,18.9,821238,104.0,,,,
22,Jonathan Linares,LAA,C,20.6,800200,98.0,,,94.0,
23,Gabriel Davalillo,LAA,C,18.0,829058,,,,,
24,Niko Kavadas,LAA,1B/LF/RF,27.0,694359,95.0,106.0,117.0,83.0,111.0
25,Ryan Nicholson,LAA,1B,25.2,690804,98.0,105.0,108.0,82.0,115.0
26,Matt Coutney,LAA,1B/3B,26.3,671925,100.0,96.0,107.0,86.0,112.0
27,Kevin Bruggeman,LAA,1B/LF/C,24.3,815755,98.0,113.0,98.0,106.0,97.0
28,Athanael Duarte,LAA,1B/3B,21.0,805744,,,,,
29,Anthony Santa Cruz de Oviedo,LAA,1B/LF,18.6,829888,,,,,
30,Adrian Placencia,LAA,2B,22.4,691269,95.0,100.0,106.0,97.0,111.0
31,Mac McCroskey,LAA,2B/SS/3B,25.8,815151,98.0,91.0,85.0,108.0,103.0
32,Johan Macias,LAA,2B/SS,22.8,691571,106.0,100.0,92.0,106.0,106.0
33,Nicolas Rodriguez,LAA,2B/SS/3B,23.0,823795,104.0,,,115.0,
34,Anyelo Marquez,LAA,2B/3B,19.9,808113,,,,,
35,Felix Morrobel,LAA,2B/SS,20.1,807011,,,,,
36,Ben Gobbel,LAA,3B/1B/2B,26.0,806534,106.0,90.0,106.0,100.0,109.0
37,Cole Fontenelle,LAA,3B,23.7,694304,99.0,85.0,99.0,114.0,100.0
