,player_name,pitcher,fDurability,fERA,fControl,fStuff
0,A.J. Alexy,669935.0,57.0,92.0,61.0,85.0
1,A.J. Block,670191.0,85.0,106.0,102.0,105.0
2,A.J. Blubaugh,805123.0,119.0,101.0,105.0,100.0
3,A.J. Causey,822067.0,95.0,113.0,119.0,104.0
4,A.J. Labas,669332.0,67.0,87.0,106.0,90.0
5,A.J. Ladwig,607609.0,,90.0,112.0,
6,A.J. Minter,621345.0,75.0,,,103.0
7,A.J. Puckett,643494.0,96.0,100.0,107.0,94.0
8,A.J. Puk,640462.0,85.0,,,103.0
9,A.J. Wilson,687954.0,73.0,105.0,93.0,98.0
10,AJ Blubaugh,805123.0,,94.0,96.0,93.0
11,AJ Smith-Shawver,700363.0,72.0,102.0,110.0,114.0
12,Aaron Ashby,676879.0,107.0,99.0,79.0,91.0
13,Aaron Brooks,605156.0,83.0,96.0,102.0,84.0
14,Aaron Brown,676345.0,,87.0,100.0,80.0
15,Aaron Brown - 606939,606939.0,,,100.0,
16,Aaron Brown - 676345,676345.0,88.0,90.0,72.0,
17,Aaron Bummer,607481.0,117.0,,,
18,Aaron Civale,650644.0,115.0,96.0,114.0,98.0
19,Aaron Cohn,703110.0,,78.0,95.0,70.0
20,Aaron Combs,694551.0,56.0,87.0,97.0,97.0
21,Aaron Davenport,702126.0,117.0,93.0,100.0,90.0
22,Aaron Fletcher,667465.0,,,,99.0
23,Aaron Haase,700412.0,,87.0,111.0,97.0
24,Aaron Hernandez,669443.0,,,61.0,98.0
25,Aaron Holiday,701569.0,67.0,98.0,85.0,100.0
26,Aaron Leasher,669468.0,,94.0,82.0,87.0
27,Aaron McGarity,641849.0,80.0,105.0,114.0,93.0
28,Aaron Munson,815317.0,89.0,106.0,107.0,94.0
29,Aaron Nixon,691004.0,66.0,106.0,85.0,94.0
30,Aaron Nola,605400.0,108.0,,122.0,95.0
31,Aaron Ochsenbein,684604.0,,,108.0,
32,Aaron Perry,676215.0,58.0,91.0,106.0,97.0
33,Aaron Pinto,681259.0,,,98.0,
34,Aaron Rozek,702065.0,115.0,94.0,111.0,88.0
35,Aaron Rund,810921.0,93.0,104.0,99.0,88.0
36,Aaron Sanchez,592717.0,64.0,89.0,88.0,80.0
37,Aaron Shortridge,663336.0,60.0,90.0,105.0,89.0
38,Aaron Wilkerson,658792.0,99.0,95.0,118.0,86.0
39,Abdiel Mendoza,665959.0,117.0,101.0,105.0,93.0
40,Abel Adames,665981.0,,,100.0,
41,Abel Brito,692823.0,59.0,90.0,74.0,82.0
42,Abel Mercedes,701951.0,84.0,113.0,67.0,119.0
43,Abner Uribe,682842.0,115.0,114.0,95.0,122.0
44,Abraham Gaitan,90.0,,90.0,,
45,Abraham Parra,811600.0,67.0,96.0,101.0,88.0
46,Adam Bates,806724.0,74.0,88.0,86.0,78.0
47,Adam Bloebaum,826168.0,62.0,122.0,127.0,118.0
48,Adam Boucher,694780.0,98.0,95.0,85.0,100.0
49,Adam Cimber,643256.0,71.0,93.0,122.0,82.0
50,Adam Conrad,828597.0,84.0,100.0,78.0,85.0
51,Adam Hill,663597.0,,,95.0,
52,Adam Kloffenstein,680572.0,92.0,98.0,96.0,96.0
53,Adam Kolarek,592473.0,71.0,94.0,92.0,85.0
54,Adam Laskey,669445.0,108.0,103.0,110.0,89.0
55,Adam Leverett,687190.0,73.0,92.0,106.0,87.0
56,Adam Macko,671936.0,83.0,98.0,98.0,98.0
57,Adam Maier,683264.0,80.0,94.0,99.0,80.0
58,Adam Mazur,800049.0,118.0,97.0,112.0,97.0
59,Adam McKillican,688015.0,57.0,92.0,101.0,88.0
60,Adam Oller,670124.0,69.0,98.0,104.0,97.0
61,Adam Ottavino,493603.0,91.0,,,
62,Adam Plutko,592644.0,79.0,88.0,109.0,79.0
63,Adam Scott,681792.0,,90.0,79.0,88.0
64,Adam Seminaris,694372.0,98.0,100.0,109.0,85.0
65,Adam Serwinowski,703445.0,97.0,104.0,103.0,107.0
66,Adam Shoemaker,692248.0,87.0,97.0,86.0,103.0
