,Player,Yahoo,ESPN,Team
0,Ketel Marte,99.0,100.0,l c
1,Vladimir Guerrero Jr.,99.0,100.0,TOR
2,Yordan Alvarez,99.0,100.0,HOU
3,Teoscar Hernandez,99.0,95.0,LAD
4,Manny Machado,99.0,100.0,SD
5,Jazz Chisholm,99.0,96.0,NYY
6,Jackson Chourio,99.0,99.0,MIL
7,William Contreras,99.0,100.0,MIL
8,Trea Turner,99.0,96.0,PHI
9,Corbin Carroll,99.0,100.0,ARI
10,Francisco Lindor,99.0,100.0,NYM
11,Freddie Freeman,99.0,100.0,LAD
12,Gunnar Henderson,99.0,100.0,BAL
13,Bryce Harper,99.0,100.0,PHI
14,Mookie Betts,99.0,100.0,LAD
15,Juan Soto,99.0,100.0,NYM
16,Rafael Devers,99.0,99.0,BOS
17,Matt Olson,99.0,95.0,ATL
18,Shota Imanaga,99.0,98.0,CHC
19,Logan Webb,99.0,98.0,SF
20,Garrett Crochet,99.0,100.0,BOS
21,Yoshinobu Yamamoto,99.0,100.0,LAD
22,Tarik Skubal,99.0,100.0,DET
23,Logan Gilbert,99.0,100.0,SEA
24,Zack Wheeler,99.0,100.0,PHI
25,Cole Ragans,99.0,99.0,KC
26,Oneil Cruz,99.0,86.0,PIT
27,Ronald Acuna Jr.,99.0,99.0,l c
28,Elly De La Cruz,99.0,100.0,CIN
29,Jose Ramirez,99.0,100.0,CLE
30,Julio Rodriguez,99.0,98.0,SEA
31,Pete Alonso,99.0,99.0,NYM
32,Austin Riley,99.0,96.0,ATL
33,Kyle Tucker,99.0,100.0,CHC
34,Fernando Tatis Jr.,99.0,100.0,SD
35,Bobby Witt Jr.,99.0,100.0,KC
36,Aaron Judge,99.0,100.0,NYY
37,Adley Rutschman,99.0,100.0,BAL
38,Michael King,99.0,97.0,SD
39,Paul Skenes,99.0,100.0,PIT
40,Mason Miller,99.0,97.0,OAK
41,Josh Hader,99.0,98.0,HOU
42,Jackson Merrill,99.0,98.0,l c
43,Jose Altuve,99.0,98.0,HOU
44,Kyle Schwarber,99.0,96.0,PHI
45,Jarren Duran,99.0,95.0,BOS
46,Ozzie Albies,99.0,99.0,ATL
47,Alex Bregman,98.0,99.0,BOS
48,Edwin Diaz,98.0,93.0,NYM
49,James Wood,98.0,86.0,WSH
50,Blake Snell,98.0,95.0,l c
51,Chris Sale,98.0,96.0,ATL
52,Dylan Cease,98.0,97.0,SD
53,Freddy Peralta,98.0,94.0,MIL
54,Brent Rooker,98.0,78.0,OAK
55,Emmanuel Clase,98.0,99.0,CLE
56,Corey Seager,98.0,96.0,TEX
57,Marcell Ozuna,98.0,87.0,ATL
58,Tyler Glasnow,98.0,95.0,LAD
59,Cal Raleigh,98.0,93.0,SEA
60,Max Fried,98.0,99.0,NYY
61,Jacob deGrom,98.0,89.0,TEX
62,Framber Valdez,98.0,97.0,HOU
63,Corbin Burnes,98.0,97.0,ARI
64,Josh Naylor,98.0,96.0,ARI
65,Salvador Perez,97.0,88.0,KC
66,Andres Munoz,97.0,91.0,SEA
67,Devin Williams,97.0,89.0,NYY
68,Ryan Helsley,97.0,91.0,STL
69,Spencer Schwellenbach,97.0,93.0,ATL
70,Wyatt Langford,97.0,92.0,l c
71,Hunter Greene,97.0,97.0,CIN
72,Pablo Lopez,97.0,94.0,l c
73,C.J. Abrams,97.0,79.0,l c
74,Mike Trout,97.0,95.0,LAA
75,Lawrence Butler,96.0,80.0,OAK
76,Hunter Brown,96.0,90.0,HOU
77,Ryan Walker,96.0,88.0,SF
78,Will Smith,96.0,98.0,LAD
79,Aaron Nola,96.0,91.0,PHI
80,Sonny Gray,96.0,95.0,STL
81,Raisel Iglesias,96.0,84.0,ATL
82,Luis Castillo,96.0,96.0,SEA
83,Zac Gallen,96.0,89.0,ARI
84,Spencer Strider,96.0,89.0,ATL
85,Michael Harris II,95.0,77.0,ATL
86,Bo Bichette,95.0,73.0,TOR
87,Anthony Santander,95.0,91.0,TOR
88,Cody Bellinger,95.0,88.0,NYY
89,Joe Ryan,95.0,94.0,MIN
90,Seiya Suzuki,95.0,90.0,CHC
91,Tanner Scott,95.0,86.0,LAD
92,Matt McLain,95.0,66.0,CIN
93,Robert Suarez,95.0,93.0,SD
94,Roki Sasaki,94.0,82.0,LAD
95,Junior Caminero,94.0,83.0,TB
96,George Kirby,94.0,83.0,l c
97,Jeff Hoffman,94.0,86.0,TOR
98,Brenton Doyle,94.0,44.0,l c
99,Jack Flaherty,93.0,89.0,DET
100,Matt Chapman,93.0,81.0,SF
101,Steven Kwan,93.0,98.0,CLE
102,Tommy Edman,93.0,94.0,LAD
103,Willy Adames,93.0,73.0,SF
104,Bryce Miller,93.0,83.0,SEA
105,Bryan Woo,93.0,79.0,SEA
106,Kodai Senga,93.0,86.0,NYM
107,Bryan Reynolds,93.0,76.0,PIT
108,Tanner Bibee,93.0,79.0,CLE
109,Brice Turang,92.0,67.0,MIL
110,Randy Arozarena,92.0,79.0,SEA
111,Marcus Semien,92.0,87.0,TEX
112,Bailey Ober,92.0,77.0,MIN
113,Ian Happ,92.0,89.0,CHC
114,Jordan Westburg,92.0,70.0,BAL
115,Kevin Gausman,92.0,90.0,TOR
116,Carlos Rodon,91.0,79.0,NYY
117,Xander Bogaerts,91.0,83.0,SD
118,Christian Yelich,91.0,81.0,MIL
119,Jhoan Duran,91.0,74.0,MIN
120,Felix Bautista,91.0,76.0,BAL
121,Nathan Eovaldi,91.0,85.0,TEX
122,Riley Greene,91.0,73.0,DET
123,Xavier Edwards,90.0,27.0,MIA
124,Sandy Alcantara,90.0,74.0,MIA
125,Tyler Soderstrom,90.0,86.0,OAK
126,Luis Arraez,90.0,98.0,SD
127,Pete Crow-Armstrong,90.0,62.0,CHC
128,Paul Goldschmidt,90.0,54.0,NYY
129,Anthony Volpe,90.0,60.0,NYY
130,Cristopher Sanchez,89.0,84.0,PHI
131,Adolis Garcia,89.0,68.0,TEX
132,Willson Contreras,89.0,63.0,STL
133,Nick Castellanos,89.0,74.0,PHI
134,Jesus Luzardo,89.0,85.0,PHI
135,Nick Pivetta,89.0,80.0,SD
136,Nico Hoerner,89.0,88.0,CHC
137,Shea Langeliers,89.0,79.0,OAK
138,Christian Walker,88.0,64.0,HOU
139,Robbie Ray,88.0,40.0,SF
140,J.T. Realmuto,88.0,48.0,PHI
141,MacKenzie Gore,88.0,80.0,WSH
142,Shane McClanahan,87.0,47.0,l c
143,Logan O'Hoppe,87.0,55.0,LAA
144,Vinnie Pasquantino,87.0,75.0,KC
145,Jung Hoo Lee,87.0,91.0,SF
146,Kenley Jansen,86.0,34.0,LAA
147,Cedric Mullins II,86.0,82.0,BAL
148,Brendan Donovan,86.0,95.0,STL
149,Eugenio Suarez,86.0,50.0,ARI
150,Seth Lugo,86.0,67.0,KC
151,Nolan Arenado,85.0,95.0,STL
152,Pete Fairbanks,85.0,38.0,TB
153,Shane Baz,85.0,73.0,TB
154,Luis Robert,85.0,25.0,CWS
155,Andres Gimenez,84.0,74.0,TOR
156,Mark Vientos,84.0,28.0,NYM
157,Isaac Paredes,83.0,76.0,HOU
158,Yainer Diaz,83.0,73.0,HOU
159,Dansby Swanson,83.0,51.0,CHC
160,Brandon Nimmo,83.0,72.0,NYM
161,Brandon Pfaadt,83.0,75.0,ARI
162,Ryan Pressly,83.0,61.0,CHC
163,Carlos Estevez,81.0,28.0,KC
164,Chris Bassitt,81.0,77.0,TOR
165,Royce Lewis,81.0,34.0,l c
166,Trevor Megill,80.0,43.0,MIL
167,Zach Eflin,80.0,48.0,l c
168,Clay Holmes,80.0,44.0,NYM
