,BatterName,batter,IsBIP,PA_flag,IsAirPull,Air Pull / PA,Air Pull / BIP,Sample,player_name,pitcher
0,Aaron Judge,592450.0,301,499.0,46,0.092,0.153,Hitters,,
1,Aaron Schunk,668845.0,23,33.0,0,0.0,0.0,Hitters,,
2,Abraham Toro,647351.0,222,283.0,29,0.102,0.131,Hitters,,
3,Adael Amador,691182.0,89,128.0,18,0.141,0.202,Hitters,,
4,Adam Frazier,624428.0,273,358.0,42,0.117,0.154,Hitters,,
5,Addison Barger,680718.0,274,397.0,46,0.116,0.168,Hitters,,
6,Adley Rutschman,668939.0,255,348.0,41,0.118,0.161,Hitters,,
7,Adolis Garcia,666969.0,327,477.0,52,0.109,0.159,Hitters,,
8,Adrian Del Castillo,680728.0,49,79.0,11,0.139,0.224,Hitters,,
9,Agustin Ramirez,682663.0,329,449.0,48,0.107,0.146,Hitters,,
10,Akil Baddoo,668731.0,12,18.0,2,0.111,0.167,Hitters,,
11,Alan Roden,702176.0,102,153.0,8,0.052,0.078,Hitters,,
12,Alan Trejo,676701.0,35,43.0,7,0.163,0.2,Hitters,,
13,Alec Bohm,664761.0,314,410.0,23,0.056,0.073,Hitters,,
14,Alec Burleson,676475.0,354,450.0,43,0.096,0.121,Hitters,,
15,Alejandro Kirk,672386.0,331,408.0,36,0.088,0.109,Hitters,,
16,Alejandro Osuna,696030.0,61,97.0,6,0.062,0.098,Hitters,,
17,Alek Thomas,677950.0,260,379.0,25,0.066,0.096,Hitters,,
18,Alex Bregman,608324.0,264,360.0,60,0.167,0.227,Hitters,,
19,Alex Call,669743.0,195,278.0,19,0.068,0.097,Hitters,,
20,Alex Freeland,690976.0,39,70.0,8,0.114,0.205,Hitters,,
21,Alex Jackson,656577.0,31,55.0,9,0.164,0.29,Hitters,,
22,Alex Verdugo,657077.0,166,213.0,13,0.061,0.078,Hitters,,
23,Alexander Canario,672744.0,116,194.0,18,0.093,0.155,Hitters,,
24,Ali Sanchez,645305.0,17,22.0,4,0.182,0.235,Hitters,,
25,Amed Rosario,642708.0,137,169.0,18,0.107,0.131,Hitters,,
26,Andres Chaparro,665953.0,12,21.0,2,0.095,0.167,Hitters,,
27,Andres Gimenez,665926.0,196,272.0,30,0.11,0.153,Hitters,,
28,Andrew Benintendi,643217.0,289,389.0,66,0.17,0.228,Hitters,,
29,Andrew Knizner,668800.0,50,62.0,7,0.113,0.14,Hitters,,
30,Andrew McCutchen,457705.0,295,445.0,52,0.117,0.176,Hitters,,
31,Andrew Vaughn,683734.0,260,347.0,41,0.118,0.158,Hitters,,
32,Andruw Monasterio,655316.0,56,80.0,12,0.15,0.214,Hitters,,
33,Andy Ibanez,628451.0,114,144.0,24,0.167,0.211,Hitters,,
34,Andy Pages,681624.0,368,508.0,57,0.112,0.155,Hitters,,
35,Angel Martinez,682657.0,285,391.0,69,0.176,0.242,Hitters,,
36,Anthony Santander,623993.0,130,208.0,36,0.173,0.277,Hitters,,
37,Anthony Seigler,678011.0,43,63.0,5,0.079,0.116,Hitters,,
38,Anthony Volpe,683011.0,343,509.0,38,0.075,0.111,Hitters,,
39,Aramis Garcia,605244.0,1,4.0,1,0.25,1.0,Hitters,,
40,Austin Barnes,605131.0,29,44.0,6,0.136,0.207,Hitters,,
41,Austin Hays,669720.0,210,319.0,37,0.116,0.176,Hitters,,
42,Austin Hedges,595978.0,89,141.0,18,0.128,0.202,Hitters,,
43,Austin Martin,668885.0,45,59.0,5,0.085,0.111,Hitters,,
44,Austin Nola,543592.0,34,41.0,0,0.0,0.0,Hitters,,
45,Austin Riley,663586.0,289,446.0,63,0.141,0.218,Hitters,,
46,Austin Slater,596103.0,92,142.0,13,0.092,0.141,Hitters,,
47,Austin Wells,669224.0,246,363.0,43,0.118,0.175,Hitters,,
48,Austin Wynns,642851.0,73,110.0,15,0.136,0.205,Hitters,,
49,Ben Rice,700250.0,279,414.0,60,0.145,0.215,Hitters,,
50,Ben Rortvedt,666163.0,49,70.0,4,0.057,0.082,Hitters,,
51,Ben Williamson,810938.0,215,295.0,14,0.047,0.065,Hitters,,
52,Billy Cook,695257.0,5,6.0,0,0.0,0.0,Hitters,,
53,Billy McKinney,641856.0,6,8.0,0,0.0,0.0,Hitters,,
54,Blaine Crim,688760.0,5,13.0,0,0.0,0.0,Hitters,,
55,Blake Dunn,694362.0,35,75.0,3,0.04,0.086,Hitters,,
56,Blake Perkins,663368.0,58,99.0,6,0.061,0.103,Hitters,,
57,Blake Sabol,666165.0,10,18.0,1,0.056,0.1,Hitters,,
58,Blaze Alexander,677942.0,83,142.0,15,0.106,0.181,Hitters,,
59,Bo Bichette,666182.0,454,572.0,56,0.098,0.123,Hitters,,
60,Bo Naylor,666310.0,208,325.0,39,0.12,0.188,Hitters,,
61,Bobby Dalbec,666915.0,12,21.0,1,0.048,0.083,Hitters,,
62,Bobby Seymour,676044.0,12,25.0,1,0.04,0.083,Hitters,,
63,Bobby Witt Jr.,677951.0,406,552.0,59,0.107,0.145,Hitters,,
64,Brady House,691781.0,134,191.0,15,0.079,0.112,Hitters,,
65,Brandon Lockridge,663604.0,97,141.0,5,0.035,0.052,Hitters,,
66,Brandon Lowe,664040.0,294,434.0,57,0.131,0.194,Hitters,,
67,Brandon Marsh,669016.0,214,326.0,27,0.083,0.126,Hitters,,
68,Brandon Nimmo,607043.0,351,510.0,35,0.069,0.1,Hitters,,
69,Braxton Fulford,690924.0,47,78.0,10,0.128,0.213,Hitters,,
70,Brayan Rocchio,677587.0,189,264.0,30,0.114,0.159,Hitters,,
71,Brendan Donovan,680977.0,366,473.0,47,0.099,0.128,Hitters,,
72,Brendan Rodgers,663898.0,70,128.0,12,0.094,0.171,Hitters,,
73,Brent Rooker,667670.0,388,567.0,77,0.136,0.198,Hitters,,
74,Brenton Doyle,686668.0,296,427.0,51,0.119,0.172,Hitters,,
75,Brett Baty,683146.0,230,341.0,26,0.076,0.113,Hitters,,
76,Brett Harris,695391.0,21,29.0,3,0.103,0.143,Hitters,,
77,Brett Sullivan,664954.0,4,9.0,1,0.111,0.25,Hitters,,
78,Brett Wisely,689172.0,40,54.0,8,0.148,0.2,Hitters,,
79,Brewer Hicklen,676551.0,2,4.0,0,0.0,0.0,Hitters,,
80,Brice Matthews,694728.0,19,40.0,5,0.125,0.263,Hitters,,
81,Brice Turang,668930.0,358,521.0,22,0.042,0.061,Hitters,,
82,Brooks Baldwin,681460.0,161,243.0,23,0.095,0.143,Hitters,,
83,Brooks Lee,686797.0,310,410.0,42,0.102,0.135,Hitters,,
84,Bryan De La Cruz,650559.0,29,50.0,4,0.08,0.138,Hitters,,
85,Bryan Reynolds,668804.0,342,524.0,45,0.086,0.132,Hitters,,
86,Bryce Harper,547180.0,294,442.0,42,0.095,0.143,Hitters,,
87,Bryce Johnson,669369.0,39,58.0,4,0.069,0.103,Hitters,,
88,Bryce Teodosio,669326.0,33,56.0,1,0.018,0.03,Hitters,,
89,Bryson Stott,681082.0,325,445.0,39,0.088,0.12,Hitters,,
90,Buddy Kennedy,671083.0,21,32.0,7,0.219,0.333,Hitters,,
91,Byron Buxton,621439.0,269,413.0,64,0.155,0.238,Hitters,,
92,C.J. Abrams,682928.0,375,507.0,57,0.112,0.152,Hitters,,
93,C.J. Kayfus,692216.0,39,61.0,8,0.131,0.205,Hitters,,
94,CJ Alexander,680769.0,9,17.0,5,0.294,0.556,Hitters,,
95,Cal Raleigh,663728.0,327,547.0,106,0.194,0.324,Hitters,,
96,Cal Stevenson,670276.0,6,8.0,0,0.0,0.0,Hitters,,
97,Caleb Durbin,702332.0,307,386.0,45,0.117,0.147,Hitters,,
98,Cam Smith,701358.0,270,429.0,26,0.061,0.096,Hitters,,
99,Carlos Correa,621043.0,335,451.0,46,0.102,0.137,Hitters,,
