,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
0,Aaron Judge,NYY,145.012,637.496,512.19,148.568,76.2864,24.6043,1.00747,46.6694,107.403,112.034,113.965,10.08,157.099,6.09231,4.73709,0.512591,9.87833,8.80586,2.56429,0.290064,0.17876974914352406,0.24643135015749118,0.725431,0.421713,0.615388,0.432338,1.0371,0.325324,3.69497,0.325389,-0.959447,-0.518598,137.064,61.7394,181.701,-1.47804,0.799136,60.081010937690735,-6.206298112869263,7.71951,1.919999957084656,4.27338,0.7837,1.48458,4.27338,-0.7837,3.02056,1211.1,8.352413793,1211.1,8.352413793,,,,,,,,,,,,,,,,,,,Aaron Judge,15640,592450,592450.0
1,Bobby Witt Jr.,KC,151.311,659.88,598.549,174.032,102.627,36.7476,6.2525,28.4051,99.9014,91.8002,48.106,5.7436,113.029,6.54678,5.99191,0.686559,6.16107,33.8987,9.27344,0.290757,0.07290113353943141,0.17128720373401224,0.425606,0.346916,0.515413,0.364779,0.86233,0.224656,6.99902,0.314457,1.30616,1.98171,105.681,27.7114,135.292,3.28787,4.97574,30.812647104263306,11.980891704559326,6.66328,2.950000047683716,3.10675,0.277444,0.669426,3.10675,-0.277444,4.10743,984.5,6.519867549,984.5,6.519867549,,,,,,,,,,,,,,,,,,,Bobby Witt Jr.,25764,677951,677951.0
2,Shohei Ohtani,LAD,148.296,659.513,558.646,158.306,79.3251,27.4222,5.11169,46.4467,121.733,108.821,91.7133,10.0296,159.277,4.52083,3.69121,0.941488,7.36165,24.0872,7.00874,0.283374,0.13906215647000134,0.24150699076439733,0.575811,0.386503,0.600185,0.411393,0.986688,0.316812,6.48909,0.31367,0.392319,0.854469,130.583,52.6564,167.313,1.24679,0.0,53.71664834022522,-13.999096870422363,6.3473,1.2799999713897705,3.43913,-0.423403,0.963744,3.43913,0.423403,3.71501,1182.0,7.986486486,1182.0,7.986486486,,,,,,,,,,,,,,,,,,,Shohei Ohtani,19755,660271,660271.0
3,Juan Soto,NYM,154.01,674.968,541.828,148.105,83.9651,24.676,1.00162,38.4621,108.468,98.7353,123.995,8.84674,121.1,3.63535,4.22847,1.28096,12.5416,21.1947,5.38857,0.273343,0.18370500527432412,0.17941591305069277,1.02391,0.409293,0.535539,0.401876,0.944831,0.262196,4.58977,0.283685,-0.866832,0.693738,128.427,48.6746,160.775,-0.173094,-6.54304,48.310556054115295,-13.86713409423828,5.8612,4.639999866485596,1.19842,-0.010473,0.714168,1.19842,0.010473,4.04778,1132.1,7.351298701,1132.1,7.351298701,,,,,,,,,,,,,,,,,,,Juan Soto,20123,665742,665742.0
4,Gunnar Henderson,BAL,152.641,659.126,581.144,156.739,93.4457,32.8474,4.19567,26.2497,96.8269,82.469,67.1676,3.52172,139.976,5.88733,4.34769,0.579364,9.24587,23.9214,5.06192,0.269707,0.1019040365575019,0.21236607264771834,0.47985,0.34894,0.476175,0.354141,0.825115,0.206468,6.08458,0.311232,0.813502,1.63539,99.8678,21.9869,129.943,2.44889,-0.400112,25.70996737480164,6.666595667600632,5.63359,12.199999809265137,2.34389,0.570635,0.437413,2.34389,-0.570635,4.41678,911.7,5.958823529,911.7,5.958823529,,,,,,,,,,,,,,,,,,,Gunnar Henderson,26289,683002,683002.0
5,Julio Rodriguez,SEA,151.437,658.917,598.969,162.264,101.847,27.9715,2.98455,29.46,93.2615,91.0497,47.2032,3.92403,145.392,8.87166,3.39605,0.476725,10.5166,27.9097,6.5066,0.270905,0.07163755070820756,0.22065298057266694,0.324661,0.331599,0.475123,0.345254,0.806723,0.204219,6.01205,0.310642,-0.154105,1.90073,95.0819,17.2258,128.908,1.74662,4.60989,24.19680678844452,6.756098985671997,5.4872,9.699999809265137,2.69971,-0.992929,0.270754,2.69971,0.992929,4.63899,880.7,5.832450331,880.7,5.832450331,,,,,,,,,,,,,,,,,,,Julio Rodriguez,23697,677594,677594.0
6,Cal Raleigh,SEA,149.94,623.786,538.312,123.328,61.1495,22.43,0.297122,39.4513,84.9997,101.185,75.3948,8.64208,168.324,5.68048,3.89208,0.506452,5.71505,7.93822,2.29014,0.229101,0.12086645099441157,0.26984254215387976,0.447915,0.327948,0.491733,0.346789,0.819681,0.262632,3.29798,0.250805,-1.36556,-0.232077,90.79,17.0848,129.965,-1.59763,3.26064,20.433077931404117,10.013420581817629,5.31168,17.889999389648438,3.00342,1.00481,1.76364,3.00342,-1.00481,2.64849,833.8,5.558666666,833.8,5.558666666,,,,,,,,,,,,,,,,,,,Cal Raleigh,21534,663728,663728.0
7,Jose Ramirez,CLE,150.745,649.387,575.3,157.023,93.1024,33.2083,2.89181,27.8205,92.3736,88.7697,63.821,10.08,74.3027,4.47668,5.55125,0.238481,6.73698,33.3611,8.03333,0.272941,0.09827883835062914,0.11441975278223926,0.858932,0.347102,0.485793,0.352679,0.832895,0.212852,6.03725,0.269887,-0.29396,2.38346,97.6216,20.8915,128.676,2.0895,0.479905,24.03746342658997,1.0794714987277985,4.85655,5.619999885559082,2.20301,0.284448,0.558892,2.20301,-0.284448,4.25481,924.5,6.122516556,924.5,6.122516556,,,,,,,,,,,,,,,,,,,Jose Ramirez,13510,608070,608070.0
8,Ketel Marte,ARI,142.228,621.807,541.159,149.004,87.8766,29.8908,2.46542,28.771,89.4567,87.4443,68.1987,5.20443,101.033,6.86742,4.98707,0.595233,11.6117,5.37431,1.65673,0.275342,0.1096782442140407,0.1624828926017237,0.675017,0.360698,0.499185,0.366892,0.859883,0.223843,4.11511,0.288784,-0.0130316,-0.644937,100.651,27.1794,135.934,-0.657968,0.153089,25.82409107685089,0.2254472002387046,4.7818,33.150001525878906,2.92368,0.496231,0.905339,2.92368,-0.496231,3.79288,893.3,6.29084507,893.3,6.29084507,,,,,,,,,,,,,,,,,,,Ketel Marte,13613,606466,606466.0
9,Fernando Tatis Jr.,SD,148.292,645.773,565.363,152.405,93.484,28.1268,2.44377,28.3507,97.6675,80.8503,70.6245,3.45267,127.968,6.09384,3.02364,0.667319,10.5149,25.6085,6.01358,0.26957,0.10936428125672643,0.19816251221404424,0.551892,0.355172,0.478403,0.358741,0.833575,0.208833,5.85045,0.301053,0.215532,1.55821,100.256,23.9534,131.144,1.77374,5.60853,25.54447054862976,-1.4475359916687012,4.70153,14.3100004196167,2.48007,-0.525774,0.462613,2.48007,0.525774,4.38318,905.6,6.118918918,905.6,6.118918918,,,,,,,,,,,,,,,,,,,Fernando Tatis Jr.,19709,665487,665487.0
10,Ronald Acuna Jr.,ATL,143.745,629.585,533.276,149.11,93.714,25.0664,2.06777,28.2616,105.716,77.6432,85.8957,3.626,134.5,7.02865,2.52425,0.860044,10.3457,24.9167,6.77784,0.279611,0.1364322529920503,0.21363278985363374,0.638631,0.38496,0.493359,0.378975,0.878319,0.213748,5.56114,0.323956,1.20856,0.999519,108.086,33.6959,144.724,2.20808,-3.19733,35.5808961391449,-10.615479946136476,4.69736,5.820000171661377,3.28093,-0.218157,0.723509,3.28093,0.218157,4.03532,955.4,6.634722222,955.4,6.634722222,,,,,,,,,,,,,,,,,,,Ronald Acuna Jr.,18401,660670,660670.0
11,Kyle Tucker,LAD,142.776,619.953,527.619,141.82,82.0938,27.7856,2.21045,29.7301,94.2394,87.7477,84.4071,6.05454,92.1556,3.21102,3.5455,1.17046,8.10437,23.023,4.57712,0.268792,0.13615080498037754,0.14864933309460557,0.91592,0.370789,0.498876,0.371778,0.869666,0.230084,5.38067,0.273872,-0.522952,1.64978,102.81,29.558,140.1,1.12683,0.064912,30.509442448616028,-6.545089535415173,4.59856,13.390000343322754,1.59803,0.435293,0.273992,1.59803,-0.435293,4.63468,932.5,6.52097902,932.5,6.52097902,,,,,,,,,,,,,,,,,,,Kyle Tucker,18345,663656,663656.0
12,Corey Seager,TEX,123.584,528.771,460.994,125.678,75.0557,23.6952,0.365031,26.5621,70.0862,75.8878,59.603,9.37894,98.1694,4.42071,3.55699,0.196346,9.85252,2.44486,0.571944,0.272624,0.11271987306414309,0.1856557942852388,0.607144,0.358893,0.498466,0.363086,0.857359,0.225842,2.64333,0.291672,-0.859757,-0.601488,83.957,21.4787,136.065,-1.46124,0.312812,21.01529085636139,4.3861373364925385,4.46091,98.83999633789062,2.76325,-0.529397,0.835546,2.76325,0.529397,3.88594,761.0,6.137096774,761.0,6.137096774,,,,,,,,,,,,,,,,,,,Corey Seager,13624,608369,608369.0
13,Francisco Lindor,NYM,140.042,617.992,546.63,141.082,87.5679,27.5562,1.31423,24.6439,90.82,75.5626,55.19,1.2659,113.369,10.432,4.82984,0.910414,7.8019,22.4226,5.28855,0.258094,0.08930536317622234,0.18344735854185815,0.486815,0.33497,0.448564,0.339197,0.783534,0.190469,5.51126,0.281628,-0.449187,1.31582,86.1374,13.1168,117.719,0.86663,2.8454,13.808621644973757,8.84857964515686,4.45804,26.36000061035156,2.84068,1.67568,0.517022,2.84068,-1.67568,4.31064,787.3,5.623571428,787.3,5.623571428,,,,,,,,,,,,,,,,,,,Francisco Lindor,12916,596019,596019.0
14,Vladimir Guerrero Jr.,TOR,152.912,662.45,576.629,169.625,108.557,31.8119,0.472656,28.7835,93.7092,95.2177,74.8399,7.98155,90.5443,6.27533,4.47352,0.232304,15.1663,4.71138,2.07044,0.294168,0.1129744131632576,0.13668095705336253,0.826556,0.378638,0.500726,0.375666,0.879364,0.206559,2.95798,0.305002,-0.21905,-1.10507,111.949,33.6753,143.93,-1.32412,-0.97286,32.975290417671204,-12.966266989707949,4.37994,17.850000381469727,2.68991,0.275482,1.33039,2.68991,-0.275482,3.22614,987.3,6.452941176,987.3,6.452941176,,,,,,,,,,,,,,,,,,,Vladimir Guerrero Jr.,19611,665489,665489.0
15,Corbin Carroll,ARI,138.2,603.309,524.908,135.051,72.7139,26.6122,10.1641,25.5612,96.7858,76.9505,63.5811,2.57143,127.476,8.11266,4.59882,2.10908,6.09248,31.851,6.68337,0.257286,0.10538728910061014,0.21129470967613612,0.49877,0.343887,0.492802,0.356999,0.836689,0.235516,8.17155,0.290834,1.95832,2.6969,92.8105,21.5249,129.157,4.65522,3.00059,25.50347852706909,-3.207975387573242,4.33475,14.6899995803833,1.56197,0.645664,0.913729,1.56197,-0.645664,3.78169,867.9,6.289130434,867.9,6.289130434,,,,,,,,,,,,,,,,,,,Corbin Carroll,25878,682998,682998.0
16,William Contreras,MIL,143.806,599.474,522.625,139.056,91.797,27.2398,0.879221,19.1401,76.0793,76.1575,68.6179,3.24495,115.573,3.78854,4.08374,0.359128,13.8626,5.90838,2.04,0.266073,0.1144635130130748,0.192790679829317,0.59372,0.352958,0.431428,0.341408,0.784386,0.165355,3.28761,0.305912,-0.477315,-0.716333,84.6321,13.7996,120.215,-1.19365,1.80381,13.169093251228333,8.933693408966064,4.30198,54.65999984741211,2.00306,-0.182714,0.568586,2.00306,0.182714,4.24189,742.8,5.158333333,742.8,5.158333333,,,,,,,,,,,,,,,,,,,William Contreras,20503,661388,661388.0
17,Trea Turner,PHI,143.438,627.806,577.966,163.429,112.009,29.4705,4.03696,17.9118,90.0313,71.0921,40.0818,0.556768,113.461,5.36893,3.45233,0.936622,10.4175,27.8203,5.1087,0.282765,0.06384424487819486,0.18072621160039884,0.353264,0.333211,0.440698,0.335027,0.773909,0.157933,6.56097,0.323338,1.27073,2.43613,85.3793,11.1993,113.479,3.70686,0.554122,13.736037015914915,7.19477653503418,4.27851,26.26000022888184,2.18643,1.25995,1.03835,2.18643,-1.25995,3.61553,785.1,5.49020979,785.1,5.49020979,,,,,,,,,,,,,,,,,,,Trea Turner,16252,607208,607208.0
