,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
0,Tarik Skubal,DET,14.1411,6.62822,18.1564,2.71879,29.5625,29.5625,0.0,0.0,0.0,189.895,741.659,144.634,62.3531,57.3649,18.5142,38.0161,0.657291,6.4144,230.258,10.913,1.80176,6.05686,0.877474,0.310464,0.0512582,0.2592054232954979,0.207441,0.961845,0.28123,0.767541,,,2.67941,5.95824,5.92546,6.539999961853027,3.41812,-2.11947,2.03285,3.41812,2.11947,2.28953,1123.3,5.912105263157894,1031,5.426315789473684,,,,,,,,,,,,,,,,,,,Tarik Skubal,22267,669373,669373.0
1,Paul Skenes,PIT,12.2757,7.7114,17.481,2.75021,29.8411,29.8411,0.0,0.0,0.0,184.619,732.383,143.136,61.3212,56.4155,15.3672,45.5488,0.83882,6.45764,221.724,10.8088,2.22046,4.86783,0.749137,0.302743,0.0621926,0.2405500784516334,0.210377,1.02202,0.28823,0.761876,,,2.66035,5.69448,6.02394,9.960000038146973,2.6882,0.262752,1.77382,2.6882,-0.262752,2.63491,1100.7,5.94972972972973,1018,5.502702702702703,,,,,,,,,,,,,,,,,,,Paul Skenes,33677,694973,694973.0
2,Garrett Crochet,BOS,13.4264,7.58684,15.1681,3.04605,28.5024,28.5024,0.0,0.0,0.687426,176.8,706.454,141.713,65.0412,59.8379,18.9908,45.3012,1.74863,4.95214,217.224,11.0578,2.30606,4.79511,0.966726,0.307485,0.0641248,0.2433603033423423,0.21596,1.05777,0.292206,0.760302,,,2.92695,4.91589,4.93401,11.149999618530272,5.00169,-1.27603,1.40345,5.00169,1.27603,3.12873,990.9,5.598305084745762,922,5.209039548022599,,,,,,,,,,,,,,,,,,,Garrett Crochet,27463,676979,676979.0
3,Logan Webb,SF,13.3053,9.53928,17.0303,3.29913,30.0434,30.0434,0.0,0.177691,0.0,194.428,799.289,183.683,77.4688,71.2712,15.5024,44.0065,0.899541,5.81498,183.697,8.50329,2.03705,4.17431,0.717604,0.229826,0.0550571,0.1747685968875885,0.245085,1.17108,0.305634,0.729276,,,3.0508,4.85966,4.54734,63.58000183105469,4.87696,-0.695623,1.15475,4.87696,0.695623,3.46033,978.4000000000002,5.043298969072166,980,5.051546391752577,,,,,,,,,,,,,,,,,,,Logan Webb,17995,657277,657277.0
4,Cristopher Sanchez,PHI,12.0956,7.51217,16.6148,3.19933,29.2192,29.2192,0.0,0.0,0.0,187.339,764.945,168.125,72.3862,66.5953,16.102,45.7861,2.17605,5.87843,181.174,8.70384,2.19962,3.95697,0.773563,0.236846,0.0598554,0.1769903600215912,0.235707,1.14184,0.294616,0.739542,,,3.14566,4.54706,4.87257,27.229999542236328,3.69589,-0.87048,1.10764,3.69589,0.87048,3.52314,956.2,5.113368983957219,933,4.9893048128342254,,,,,,,,,,,,,,,,,,,Cristopher Sanchez,20778,650911,650911.0
5,Chris Sale,ATL,10.7218,6.05727,13.658,3.18711,25.0525,25.0525,0.0,0.0,0.0,153.336,621.683,126.332,59.0215,54.2998,16.3622,39.9153,0.646579,8.65561,188.343,11.0547,2.34282,4.71857,0.960375,0.302957,0.0642052,0.2387514486908912,0.220431,1.0842,0.2985,0.74805,,,3.01602,3.79348,3.89305,38.22999954223633,3.56707,-0.272524,1.06971,3.56707,0.272524,3.57372,836.8000000000001,5.469281045751634,786,5.137254901960785,,,,,,,,,,,,,,,,,,,Chris Sale,10603,519242,519242.0
6,Yoshinobu Yamamoto,LAD,12.2563,6.62527,13.6985,3.24263,26.3496,26.3496,0.0,0.0,0.0,159.702,646.307,128.876,62.5428,57.5394,15.7515,46.8571,0.724655,4.94689,173.777,9.79318,2.64063,3.70865,0.887674,0.268876,0.0724998,0.196376696228981,0.21678,1.10038,0.279338,0.736528,,,3.21421,3.76547,3.80289,26.809999465942383,4.18647,0.131826,1.0311,4.18647,-0.131826,3.6252,843.8000000000001,5.273750000000001,784,4.9,,,,,,,,,,,,,,,,,,,Yoshinobu Yamamoto,33825,808967,808967.0
7,Cole Ragans,KC,9.69349,7.76799,12.7099,3.4227,25.7055,25.7055,0.0,0.0,0.0,150.417,614.698,119.304,62.1776,57.2034,15.8637,52.8852,1.71338,4.79561,186.398,11.1529,3.16432,3.52458,0.949182,0.303235,0.0860345,0.2172005698084831,0.214184,1.14475,0.291583,0.733508,,,3.17818,3.7186,3.23086,45.540000915527344,4.09588,-0.292078,0.87064,4.09588,0.292078,3.83915,801.8000000000001,5.3453333333333335,740,4.933333333333334,,,,,,,,,,,,,,,,,,,Cole Ragans,21846,666142,666142.0
8,Dylan Cease,TOR,10.5831,9.74117,12.696,3.74304,29.4358,29.4358,0.0,0.0,0.0,172.727,717.247,143.086,78.0824,71.8358,21.1789,66.1933,1.49993,5.33229,204.511,10.6561,3.44903,3.0896,1.10353,0.285133,0.092288,0.1928453221917152,0.221592,1.21162,0.290234,0.730378,,,3.60339,3.62184,2.84651,80.04000091552734,5.89459,-1.16823,1.12417,5.89459,1.16823,3.50111,847.1000000000001,4.896531791907515,789,4.5606936416184976,,,,,,,,,,,,,,,,,,,Dylan Cease,18525,656302,656302.0
9,Framber Valdez,DET,12.6917,9.474,15.6839,3.49747,28.3478,28.3478,0.0,0.0,0.0,183.692,766.801,163.976,77.5916,71.3843,15.6451,60.3132,0.712552,7.96731,170.575,8.3573,2.95504,2.82815,0.766532,0.22245,0.0786556,0.1437942087650299,0.234747,1.221,0.289538,0.72484,,,3.50031,3.58263,3.64854,95.41999816894533,3.69652,-2.73089,1.09984,3.69652,2.73089,3.53354,876.4000000000002,4.763043478260871,850,4.619565217391305,,,,,,,,,,,,,,,,,,,Framber Valdez,17295,664285,664285.0
