,PLAYERID,NAME,HAND,TEAM,OPP_TM,SALARY,POS,LP,OL,OD,IPL,ERROR,2H,PITCHER,CATCHER,UMPIRE,PARK,ROOF,GVF,PLATOON,HFA,PH%,COLD,TILT_BIAS,FPTS,FPTS/$,RBI,R,SB,CS,SH,SF,GIDP,HR_DEPENDENCE,0%_PH%_FPTS,SLATE,FLOOR,CEILING,POWN,PA,PAVSSP,PAVSSP%,BA,_OBP,SLG,ISO,WOBA,CNWOBA,XWOBA_CS,XWOBA_LS,AB,K,BB,IBB,HBP,H,1B,2B,3B,HR,TB,PARTNERID,OWNERSHIP
0,41843.0,Shohei Ohtani,L,LAD,BAL,6500,1B/OF,1,false,false,true,-,-,Dean Kremer,Samuel Basallo (-),-,BAL,-,-,true,false,0%,false,58%,13.41,2.06,0.92,1.16,0.11,0.08,0.0,0.001,0.07,47%,13.44,Main,2.08,26.49,13.95,4.81,2.89,60%,0.305,0.401,0.681,0.376,0.448,0.415,0.39,0.449,4.14,1.13,0.64,0.08,0.03,1.26,0.58,0.23,0.03,0.42,2.82,41843.0,
1,894407.0,Fernando Tatis Jr.,R,SDP,COL,6200,OF,1,false,false,true,-,-,Kyle Freeland,Hunter Goodman (N),-,COL,-,-,true,false,0%,false,61%,12.81,2.07,0.82,1.11,0.21,0.06,0.01,0.001,0.1,26%,12.81,Main,2.13,26.07,19.98,4.93,2.89,59%,0.335,0.408,0.579,0.244,0.421,0.377,0.363,0.384,4.38,0.79,0.5,0.01,0.05,1.47,0.88,0.33,0.04,0.22,2.54,894407.0,
2,13534.0,Manny Machado,R,SDP,COL,5900,3B,3,false,false,true,-,-,Kyle Freeland,Hunter Goodman (N),-,COL,-,-,true,false,0%,true,59%,11.3,1.92,1.02,0.9,0.06,0.04,0.0,0.001,0.09,30%,11.3,Main,1.87,23.06,22.26,4.75,2.69,57%,0.322,0.376,0.543,0.221,0.393,0.349,0.353,0.337,4.37,0.7,0.36,0.02,0.02,1.41,0.88,0.3,0.0,0.22,2.37,13534.0,
3,326703.0,Juan Soto,L,NYM,CIN,6000,OF,2,false,false,true,-,-,Andrew Abbott,Jose Trevino (+),-,CIN,-,-,false,false,0%,false,55%,10.94,1.82,0.74,0.88,0.07,0.05,0.01,0.001,0.07,42%,10.94,--,1.46,22.6,34.32,4.64,2.7,58%,0.279,0.408,0.567,0.288,0.414,0.412,0.395,0.454,3.8,0.87,0.81,0.05,0.03,1.06,0.58,0.17,0.01,0.3,2.15,326703.0,
4,35646.0,Aaron Judge,R,NYY,TOR,6400,OF,3,false,false,true,-,-,Kevin Gausman,Alejandro Kirk (+),-,NYY,-,-,false,true,0%,false,57%,10.94,1.71,0.84,0.84,0.06,0.02,0.0,0.002,0.05,49%,10.94,Main,1.11,22.63,9.07,4.24,2.66,63%,0.285,0.404,0.639,0.354,0.432,0.438,0.4,0.452,3.53,1.17,0.68,0.1,0.03,1.01,0.46,0.19,0.0,0.35,2.25,35646.0,
5,38057.0,Ramon Laureano,R,SDP,COL,5300,OF,4,false,false,true,-,-,Kyle Freeland,Hunter Goodman (N),-,COL,-,-,true,false,6%,false,54%,10.57,1.99,0.89,0.79,0.13,0.02,0.0,0.001,0.08,26%,10.83,Main,1.34,22.93,14.07,4.53,2.62,58%,0.306,0.365,0.521,0.215,0.38,0.333,0.357,0.315,4.14,0.96,0.29,0.01,0.09,1.27,0.77,0.28,0.04,0.18,2.16,38057.0,
6,15953.0,Francisco Lindor,B,NYM,CIN,5700,SS,1,false,false,true,-,-,Andrew Abbott,Jose Trevino (+),-,CIN,-,-,true,false,0%,false,56%,10.45,1.83,0.64,0.83,0.14,0.06,0.01,0.001,0.07,39%,10.45,--,0.97,22.43,28.25,4.75,2.79,59%,0.27,0.34,0.518,0.248,0.368,0.346,0.332,0.371,4.28,0.81,0.42,0.01,0.05,1.15,0.65,0.22,0.01,0.28,2.22,15953.0,
7,894408.0,Pete Alonso,R,NYM,CIN,5200,1B,4,false,false,true,-,-,Andrew Abbott,Jose Trevino (+),-,CIN,-,-,true,false,0%,false,60%,10.41,2.0,0.88,0.81,0.02,0.01,0.0,0.001,0.06,51%,10.41,--,0.91,21.88,42.14,4.47,2.53,57%,0.262,0.35,0.572,0.31,0.39,0.367,0.383,0.335,3.93,1.06,0.46,0.02,0.07,1.03,0.5,0.19,0.0,0.34,2.25,894408.0,
8,1086660.0,Yordan Alvarez,L,HOU,TEX,4400,OF,2,false,false,true,-,-,Merrill Kelly,Jonah Heim (N),-,TEX,Closed,-,true,false,0%,false,76%,10.37,2.36,0.73,0.82,0.02,0.01,0.0,0.001,0.06,47%,10.37,Main,0.99,21.93,8.6,4.46,2.76,62%,0.281,0.379,0.588,0.307,0.406,0.414,0.385,0.392,3.85,0.72,0.56,0.07,0.05,1.08,0.54,0.22,0.01,0.32,2.26,1086660.0,
9,15782.0,Ketel Marte,B,ARI,BOS,5600,2B,1,false,false,true,-,-,Payton Tolle,Carlos Narvaez (N),-,ARI,Closed,-,true,true,0%,false,63%,10.11,1.81,0.68,0.88,0.03,0.02,0.01,0.001,0.09,35%,10.11,Main,1.13,21.3,12.56,4.43,2.48,56%,0.298,0.389,0.553,0.255,0.398,0.374,0.37,0.366,3.85,0.68,0.54,0.09,0.03,1.15,0.65,0.24,0.02,0.24,2.13,15782.0,
