,PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,SLATE,TM,OPP_TM,HAND,OL,OD,PCC,ERROR,2H,BPC,PPC,MPC,OPENER,CATCHER,UMPIRE,PARK,ROOF,PLATOON,SPLIT,GVF,HFA,DH,FAMILIARITY,TILT_BIAS,SPIN_LS,SPIN_CS,SPIN_REC,SPIN_CHANGE,FPTS,IP,OUTS,ERA,CNERA,W,L,QS,CG,CGSH,TBF,AB,K,BB,IBB,HBP,H,HR,TB,SH,SF,GIDP,SB,CS,ER,FLOOR,CEILING,POWN,RGID,PARTNERID,OWNERSHIP
0,2038712,Garrett Crochet,,,,,,Main,BOS,TBR,L,false,false,false,-,-,94,93,112,-,Carlos Narvaez (N),-,TAM,-,3,Small,---,false,true,false,33%,2506,2459,1,1,21.67,5.92,17.8,3.39,3.14,0.38,0.34,0.44,0.04,0.02,23.76,22.15,7.54,1.3,0.01,0.14,5.06,0.77,8.4,0.08,0.09,0.45,0.5,0.19,2.23,10.63,34.22,46.2,2038712,2038712.0,
1,4785723,Bryan Woo,,,,,,Main,SEA,HOU,R,false,false,false,-,-,89,88,103,-,Cal Raleigh (++),-,HOU,Closed,6,Large,---,false,true,false,34%,2271,2296,1,1,19.29,6.0,18.0,3.39,3.5,0.4,0.32,0.46,0.04,0.02,24.04,22.72,6.2,0.96,0.01,0.21,5.26,0.8,8.68,0.04,0.1,0.44,0.2,0.08,2.26,8.32,31.44,23.49,4785723,4785723.0,
2,3776186,Hunter Brown,,,,,,Main,HOU,SEA,R,false,false,false,-,-,92,91,108,-,Yainer Diaz (N),-,HOU,Closed,3,Reverse,0-3,true,true,false,34%,2320,2271,1,1,17.31,5.34,16.0,3.71,3.63,0.29,0.39,0.35,0.0,0.0,22.19,19.81,6.27,1.95,0.02,0.27,4.45,0.67,7.27,0.03,0.12,0.39,0.55,0.23,2.2,6.68,29.62,17.81,3776186,3776186.0,
3,813864,Dylan Cease,,,,,,Main,SDP,CHW,R,false,false,false,-,-,92,91,114,-,Freddy Fermin (N),-,CHW,-,3,Average,---,false,true,false,63%,2554,2552,1,1,16.8,5.17,15.5,3.75,3.73,0.4,0.25,0.32,0.01,0.01,21.7,19.41,5.86,1.97,0.0,0.14,4.32,0.63,7.21,0.05,0.13,0.3,0.16,0.07,2.15,6.0,29.02,18.65,813864,813864.0,
4,14979,Sonny Gray,,,,,,Main,STL,MIL,R,false,false,false,-,-,83,83,106,-,James Crooks (N),-,STL,-,4,Neutral,---,true,true,true,47%,2502,2500,1,1,15.55,5.3,15.9,3.69,3.71,0.35,0.32,0.35,0.0,0.0,21.79,20.21,5.2,1.28,0.01,0.14,4.93,0.52,7.64,0.06,0.11,0.4,0.48,0.18,2.17,5.09,27.33,12.28,14979,14979.0,
5,42487,Pablo Lopez,,,,,,Main,MIN,CLE,R,false,false,false,-,-,94,93,111,-,Jhonny Pereda (-),-,MIN,-,1,Average,---,true,true,false,46%,2207,2165,1,1,15.26,5.61,16.8,4.1,3.91,0.34,0.35,0.41,0.0,0.0,23.62,21.71,5.35,1.52,0.01,0.21,5.46,0.65,8.61,0.03,0.15,0.38,0.44,0.17,2.56,4.29,27.29,12.28,42487,42487.0,
6,2039765,Drew Rasmussen,,,,,,Main,TBR,BOS,R,false,false,false,-,-,78,77,94,-,Nick Fortes (N),-,TAM,-,6,Neutral,---,true,true,false,52%,1,2417,1,1,13.68,4.93,14.8,3.83,3.63,0.28,0.38,0.29,0.0,0.0,20.21,18.84,4.59,1.08,0.01,0.17,4.57,0.61,7.3,0.03,0.1,0.36,0.64,0.16,2.1,3.71,25.28,9.73,2039765,2039765.0,
7,10934,Max Scherzer,,,,,,Main,TOR,KCR,R,false,false,false,-,-,91,89,104,-,Alejandro Kirk (N),-,KCR,-,4,Average,3-0,false,true,false,47%,2303,2390,1,1,13.66,5.36,16.1,4.45,4.21,0.34,0.33,0.37,0.02,0.01,22.39,20.47,4.7,1.52,0.02,0.21,4.81,0.89,8.88,0.05,0.15,0.21,0.32,0.13,2.65,2.87,25.86,8.92,10934,10934.0,
8,3776185,Ryne Nelson,,,,,,Main,ARI,PHI,R,false,false,false,-,-,90,88,106,-,Gabriel Moreno (N),-,ARI,Closed,4,Neutral,---,true,true,false,20%,2232,2271,1,1,13.65,5.25,15.8,4.59,4.29,0.35,0.3,0.36,0.0,0.0,22.31,20.52,4.97,1.45,0.03,0.18,5.23,0.77,9.12,0.02,0.14,0.34,0.17,0.1,2.68,3.04,25.91,11.88,3776185,3776185.0,
9,2039493,Nick Lodolo,,,,,,--,CIN,CHC,L,false,false,false,-,-,91,89,105,-,Jose Trevino (+),Chad Whitson (N),CIN,-,1,Reverse,---,true,true,false,31%,2358,2293,1,1,13.43,5.33,16.0,4.74,3.97,0.31,0.35,0.38,0.0,0.0,22.7,20.72,5.06,1.36,0.02,0.42,5.41,0.87,9.22,0.06,0.14,0.39,0.49,0.22,2.81,2.68,25.88,47.93,2039493,2039493.0,
