,Unnamed: 0,game_date,game_time,team,opponent,Park,moneyline,projected,AvgRuns,overunder,MLOdds
0,0,2025-05-26,02:13 PM,BOS,MIL,MIL,1600,0.3,4.635802469135802,4.5,0.059
1,1,2025-05-26,02:13 PM,MIL,BOS,MIL,-4800,4.4,4.796296296296297,4.5,0.98
2,2,2025-05-26,02:21 PM,COL,CHC,CHC,3000,0.1,4.209876543209877,4.5,0.032
3,3,2025-05-26,02:21 PM,CHC,COL,CHC,-20000,4.5,4.54320987654321,4.5,0.995
4,4,2025-05-26,03:06 PM,STL,BAL,BAL,750,1.0,4.148148148148148,8.5,0.118
5,5,2025-05-26,03:06 PM,BAL,STL,BAL,-1450,7.9,4.851851851851852,8.5,0.935
6,6,2025-05-26,04:06 PM,TOR,TEX,TEX,-215,3.8,4.141975308641976,5.5,0.683
7,7,2025-05-26,04:06 PM,TEX,TOR,TEX,165,2.1,4.216049382716049,5.5,0.377
8,8,2025-05-26,04:11 PM,CWS,NYM,NYM,200,2.2,3.1296296296296298,6.5,0.333
9,9,2025-05-26,04:11 PM,NYM,CWS,NYM,-270,4.7,4.7407407407407405,6.5,0.73
10,10,2025-05-26,04:11 PM,CIN,KC,KC,-215,5.1,4.314814814814815,7.5,0.683
11,11,2025-05-26,04:11 PM,KC,CIN,KC,165,2.8,4.537037037037037,7.5,0.377
12,12,2025-05-26,06:10 PM,LAD,CLE,CLE,-180,4.8,5.197530864197531,7.5,0.643
13,13,2025-05-26,06:10 PM,CLE,LAD,CLE,150,3.0,4.39751552795031,7.5,0.4
14,14,2025-05-26,07:06 PM,MIN,TB,TB,100,4.5,4.580246913580247,9.0,0.5
15,15,2025-05-26,07:06 PM,TB,MIN,TB,-120,4.9,3.728395061728395,9.0,0.545
16,16,2025-05-26,08:11 PM,PIT,ARI,ARI,164,3.6,4.104938271604938,9.5,0.379
17,17,2025-05-26,08:11 PM,ARI,PIT,ARI,-198,6.3,5.469135802469136,9.5,0.664
18,18,2025-05-26,08:41 PM,MIA,SD,SD,130,3.5,3.932098765432099,8.0,0.435
19,19,2025-05-26,08:41 PM,SD,MIA,SD,-155,4.9,4.691358024691358,8.0,0.608
20,20,2025-05-26,09:38 PM,NYY,LAA,LAA,-175,6.4,5.030864197530864,10.0,0.636
21,21,2025-05-26,09:38 PM,LAA,NYY,LAA,145,4.1,3.919753086419753,10.0,0.408
