,Hitter,ID,Team,OppSP,SPID,SP Hand,Proj K,Proj BB,Proj HR,Proj TB,Proj BIP,PA,K%,BB%,Brl%,ISO,xwOBA,FB%,Hard%,FB%,Pull%,Split PA,Split K%,Split BB%,Split Brl%,Split ISO,Split xwOBA,Split Hard%,Split FB%,Split Pull%,IsHot,IsCold
0,Heliot Ramos,671218,SF,Johan Oviedo,670912,R,1.13,0.38,0.14,1.6400000000000001,3.0000000000000004,992.0,0.248,0.072,0.123,0.177,0.333,0.264,0.476,0.264,0.306,746.0,0.245,0.066,0.098,0.146,0.315,0.472,0.249,0.311,N,Y
1,Rafael Devers,646240,SF,Johan Oviedo,670912,R,1.14,0.74,0.18,1.6600000000000001,2.5200000000000005,1083.0,0.258,0.113,0.139,0.225,0.367,0.276,0.542,0.276,0.361,692.0,0.234,0.136,0.154,0.265,0.398,0.558,0.3,0.403,N,N
2,Willy Adames,642715,SF,Johan Oviedo,670912,R,1.1,0.51,0.15,1.55,2.6799999999999997,1153.0,0.254,0.104,0.124,0.198,0.34,0.361,0.422,0.361,0.427,857.0,0.251,0.098,0.132,0.215,0.356,0.41,0.345,0.436,N,N
3,Matt Chapman,656305,SF,Johan Oviedo,670912,R,1.09,0.53,0.14,1.55,2.57,1010.0,0.246,0.107,0.121,0.214,0.346,0.278,0.488,0.278,0.379,769.0,0.255,0.1,0.124,0.226,0.343,0.48,0.282,0.384,N,N
4,Dominic Smith,642086,SF,Johan Oviedo,670912,R,0.78,0.39,0.07,1.2200000000000002,2.6199999999999997,425.0,0.228,0.092,0.092,0.146,0.308,0.311,0.367,0.311,0.406,358.0,0.226,0.101,0.106,0.149,0.321,0.369,0.305,0.407,N,N
5,Casey Schmitt,669477,SF,Johan Oviedo,670912,R,0.99,0.24,0.1,1.36,2.7599999999999993,293.0,0.232,0.065,0.074,0.175,0.323,0.287,0.396,0.287,0.431,179.0,0.235,0.056,0.056,0.169,0.318,0.4,0.296,0.44,N,N
6,Jung Hoo Lee,808982,SF,Johan Oviedo,670912,R,0.39,0.37,0.08,1.4300000000000002,3.13,598.0,0.099,0.077,0.043,0.126,0.322,0.257,0.337,0.257,0.413,437.0,0.078,0.089,0.047,0.121,0.341,0.343,0.276,0.423,Y,N
7,Andrew Knizner,668800,SF,Johan Oviedo,670912,R,0.91,0.17,0.07,1.1300000000000001,2.61,145.0,0.207,0.028,0.036,0.051,0.256,0.191,0.282,0.191,0.3,102.0,0.196,0.039,0.026,0.031,0.246,0.273,0.208,0.299,N,N
8,Grant McCray,687529,SF,Johan Oviedo,670912,R,1.54,0.3,0.08,0.95,1.7100000000000002,136.0,0.434,0.044,0.127,0.185,0.257,0.268,0.437,0.268,0.408,109.0,0.404,0.037,0.115,0.19,0.276,0.475,0.262,0.41,N,N
9,Spencer Horwitz,687462,PIT,Justin Verlander,434378,R,0.84,0.51,0.14,1.79,3.19,614.0,0.197,0.101,0.08,0.143,0.329,0.258,0.378,0.258,0.383,501.0,0.192,0.104,0.087,0.164,0.341,0.393,0.277,0.379,N,N
10,Andrew McCutchen,457705,PIT,Justin Verlander,434378,R,1.03,0.45,0.13,1.4700000000000002,2.76,912.0,0.242,0.103,0.108,0.16,0.331,0.28,0.398,0.28,0.423,664.0,0.232,0.101,0.11,0.162,0.333,0.411,0.268,0.429,N,N
11,Bryan Reynolds,668804,PIT,Justin Verlander,434378,R,0.99,0.39,0.16,1.7800000000000002,2.93,1136.0,0.242,0.075,0.1,0.159,0.348,0.256,0.457,0.256,0.385,823.0,0.233,0.079,0.087,0.154,0.343,0.444,0.276,0.41,N,N
12,Nick Gonzales,693304,PIT,Justin Verlander,434378,R,0.8,0.22,0.12,1.68,3.1900000000000004,590.0,0.185,0.053,0.074,0.132,0.313,0.255,0.378,0.255,0.381,448.0,0.176,0.056,0.053,0.109,0.302,0.363,0.236,0.378,N,N
13,Oneil Cruz,665833,PIT,Justin Verlander,434378,R,1.17,0.49,0.19,1.77,2.4899999999999998,1008.0,0.311,0.092,0.174,0.197,0.341,0.228,0.557,0.228,0.406,745.0,0.302,0.097,0.198,0.213,0.362,0.583,0.241,0.396,N,N
14,Tommy Pham,502054,PIT,Justin Verlander,434378,R,0.88,0.33,0.07,1.24,2.7100000000000004,757.0,0.223,0.079,0.067,0.114,0.313,0.211,0.43,0.211,0.366,571.0,0.229,0.079,0.064,0.111,0.307,0.43,0.201,0.341,N,N
15,Liover Peguero,678894,PIT,Justin Verlander,434378,R,1.12,0.19,0.08,1.27,2.62,41.0,0.268,0.024,0.107,0.359,0.279,0.25,0.429,0.25,0.5,29.0,0.31,0.0,0.05,0.276,0.211,0.3,0.25,0.45,N,N
