,BatterName,batter,GB%,FB%,LD%,Brl%,SweetSpot%,AirPull%,Chase%,Z-Swing%,Contact%,Z-Contact%,la_median,la_std,EV90,xwOBACON,xwOBA,Team,PA,AB,H,R,HR,RBI,SB,CS,AVG,OBP,SLG,SBAtt%,K%,BB%,RotoValue,RV_per600,fHitTool,fDiscipline,fPower,fSpeed,fDurability,Year
0,Aaron Hicks,543305,0.588,0.147,0.176,0.059,0.324,0.118,0.266,0.617,0.672,0.736,2.0,31.18200267065258,103.28,0.3311470588235294,0.24538095238095237,LAA,63.0,57.0,8.0,6.0,1.0,5.0,0.0,0.0,0.14,0.222,0.193,0.0,0.365,0.095,-3.06,-29.18,,,,,,2024-2025
1,Aaron Judge,592450,0.325,0.386,0.242,0.258,0.411,0.168,0.205,0.672,0.674,0.764,20.0,24.104566210383883,111.56000000000002,0.6186028277634962,0.47759755622641514,NYY,1382.0,1100.0,360.0,259.0,111.0,258.0,22.0,5.0,0.327,0.458,0.695,0.06,0.24,0.186,21.49,9.33,103.0,106.0,158.0,79.0,125.0,2024-2025
2,Aaron Schunk,668845,0.326,0.267,0.349,0.047,0.419,0.128,0.454,0.761,0.73,0.846,19.0,27.749260844717657,100.65,0.32903529411764704,0.23308527131782947,COL,130.0,126.0,28.0,15.0,2.0,7.0,0.0,1.0,0.222,0.246,0.302,0.038,0.315,0.031,-2.58,-11.9,,,,,111.0,2024-2025
3,Abraham Toro,647351,0.441,0.257,0.222,0.044,0.337,0.134,0.327,0.657,0.812,0.888,14.0,29.52021420545661,101.82,0.3260301810865191,0.29872034161490685,BOS,646.0,596.0,143.0,67.0,13.0,53.0,6.0,3.0,0.24,0.291,0.359,0.062,0.161,0.053,0.4,0.37,97.0,101.0,88.0,101.0,117.0,2024-2025
4,Adael Amador,691182,0.432,0.314,0.195,0.042,0.288,0.203,0.312,0.684,0.794,0.881,11.5,30.70979456076455,100.83,0.29033043478260867,0.26404341614906834,COL,161.0,148.0,27.0,6.0,1.0,10.0,2.0,1.0,0.182,0.248,0.257,0.097,0.205,0.075,-3.05,-11.35,,,,,110.0,2024-2025
5,Adam Duvall,594807,0.312,0.351,0.18,0.107,0.298,0.249,0.335,0.654,0.723,0.842,23.0,33.35276573696877,105.83999999999999,0.3680048780487805,0.28406654545454546,ATL,330.0,303.0,55.0,29.0,11.0,31.0,0.0,0.0,0.182,0.245,0.323,0.0,0.3,0.064,-2.43,-4.42,,,,,,2024-2025
6,Adam Frazier,624428,0.398,0.262,0.282,0.024,0.409,0.16,0.283,0.689,0.806,0.871,15.0,26.21731319524079,98.61,0.3092783882783883,0.2836565287817938,KC,749.0,681.0,165.0,78.0,11.0,66.0,11.0,6.0,0.242,0.304,0.338,0.091,0.187,0.064,1.18,0.94,113.0,98.0,80.0,95.0,118.0,2024-2025
7,Addison Barger,680718,0.427,0.241,0.237,0.106,0.357,0.155,0.311,0.648,0.735,0.816,12.0,30.19255317984967,107.6,0.40855102040816327,0.3263246241331484,TOR,725.0,667.0,153.0,81.0,28.0,103.0,6.0,1.0,0.229,0.286,0.423,0.052,0.25,0.069,1.99,1.65,98.0,95.0,114.0,99.0,121.0,2024-2025
8,Adley Rutschman,668939,0.38,0.306,0.244,0.066,0.358,0.186,0.263,0.596,0.838,0.891,18.0,26.612598725659858,103.17999999999999,0.34285714285714286,0.323063374,BAL,1003.0,893.0,214.0,105.0,28.0,108.0,1.0,0.0,0.24,0.314,0.382,0.004,0.16,0.098,2.6,1.56,98.0,112.0,91.0,88.0,107.0,2024-2025
9,Adolis Garcia,666969,0.379,0.325,0.221,0.121,0.349,0.148,0.345,0.725,0.676,0.762,17.0,29.606845214811568,106.0,0.39312055837563453,0.31051288823031326,TEX,1184.0,1087.0,244.0,126.0,44.0,160.0,24.0,9.0,0.224,0.277,0.397,0.144,0.264,0.062,5.4,2.74,96.0,93.0,103.0,101.0,123.0,2024-2025
10,Adrian Del Castillo,680728,0.323,0.378,0.244,0.087,0.394,0.205,0.306,0.647,0.673,0.754,20.0,25.804878676900593,103.67999999999999,0.39507086614173226,0.2816375688073395,ARI,218.0,200.0,54.0,21.0,8.0,36.0,1.0,1.0,0.27,0.321,0.445,0.039,0.344,0.069,-0.93,-2.55,,,,77.0,86.0,2024-2025
11,Agustin Ramirez,682663,0.458,0.222,0.238,0.11,0.318,0.159,0.32,0.702,0.745,0.863,9.5,31.937707058154018,109.13,0.3932640186915888,0.3394555934819897,MIA,585.0,537.0,124.0,72.0,21.0,67.0,16.0,3.0,0.231,0.287,0.413,0.168,0.193,0.062,1.67,1.72,97.0,97.0,107.0,86.0,120.0,2024-2025
12,Akil Baddoo,668731,0.39,0.271,0.203,0.102,0.305,0.169,0.333,0.683,0.661,0.772,18.0,27.47048785692755,103.32000000000001,0.39013559322033897,0.29318,DET,100.0,90.0,12.0,7.0,2.0,6.0,2.0,0.0,0.133,0.21,0.278,0.143,0.32,0.09,-3.1,-18.59,,,,109.0,105.0,2024-2025
13,Alan Roden,702176,0.588,0.176,0.147,0.02,0.206,0.078,0.324,0.616,0.762,0.878,-5.0,35.41231744396414,104.34,0.24073529411764705,0.2254440522875817,MIN,153.0,136.0,26.0,17.0,2.0,9.0,1.0,1.0,0.191,0.261,0.294,0.065,0.242,0.052,-2.74,-10.73,,,,,102.0,2024-2025
14,Alan Trejo,676701,0.476,0.357,0.155,0.048,0.226,0.119,0.372,0.778,0.757,0.844,11.5,28.332425485776124,100.11,0.2567560975609756,0.21658123364485982,COL,108.0,103.0,16.0,7.0,0.0,2.0,0.0,0.0,0.155,0.185,0.175,0.0,0.204,0.028,-3.39,-18.82,,,,75.0,107.0,2024-2025
15,Alec Bohm,664761,0.479,0.223,0.265,0.065,0.365,0.089,0.268,0.69,0.837,0.899,10.0,25.918653500342153,104.2,0.3697180974477958,0.337123880866426,PHI,1110.0,1018.0,287.0,115.0,26.0,156.0,7.0,2.0,0.282,0.331,0.429,0.033,0.151,0.062,6.96,3.76,112.0,102.0,84.0,81.0,118.0,2024-2025
16,Alec Burleson,676475,0.414,0.271,0.249,0.079,0.353,0.112,0.318,0.736,0.813,0.867,14.0,28.285973388613915,104.8,0.3651701890989989,0.3390113165784832,STL,1135.0,1044.0,290.0,125.0,39.0,147.0,14.0,5.0,0.278,0.327,0.438,0.067,0.137,0.065,8.06,4.26,106.0,106.0,95.0,87.0,121.0,2024-2025
17,Aledmys Diaz,649557,0.5,0.208,0.208,0.0,0.167,0.25,0.429,0.7,0.758,0.881,6.5,30.204976075311578,104.06,0.26033333333333336,0.2043529411764706,HOU,34.0,33.0,3.0,2.0,0.0,1.0,0.0,0.0,0.091,0.118,0.091,0.0,0.265,0.029,-3.21,-56.71,,,,,,2024-2025
