,Hitter,ID,Team,OppSP,PC,BIP,xwOBA,xwOBA Con,SwStr%,BIP%,AVG,SLG,ISO,Brl%,FB%,GB%,Hard%
0,C.J. Abrams,682928,WSH,Hunter Greene,418,77,0.289,0.325,0.136,0.184,0.24,0.41,0.16999999999999998,0.078,0.351,0.338,0.351
0,James Wood,695578,WSH,Hunter Greene,113,11,0.362,0.695,0.15,0.097,0.261,0.522,0.261,0.273,0.273,0.455,0.727
0,Nathaniel Lowe,663993,WSH,Hunter Greene,769,96,0.298,0.39,0.126,0.125,0.235,0.353,0.118,0.073,0.281,0.385,0.427
0,Keibert Ruiz,660688,WSH,Hunter Greene,394,87,0.341,0.379,0.081,0.221,0.304,0.49,0.186,0.069,0.333,0.241,0.253
0,Luis Garcia,671277,WSH,Hunter Greene,340,75,0.367,0.455,0.115,0.221,0.274,0.505,0.23099999999999998,0.12,0.28,0.4,0.547
0,Josh Bell,605137,WSH,Hunter Greene,537,80,0.335,0.387,0.151,0.149,0.221,0.363,0.142,0.125,0.262,0.488,0.462
0,Dylan Crews,686611,WSH,Hunter Greene,76,12,0.377,0.445,0.171,0.158,0.2,0.467,0.267,0.167,0.333,0.5,0.333
0,Jose Tena,677588,WSH,Hunter Greene,63,13,0.248,0.362,0.175,0.206,0.316,0.474,0.15799999999999997,0.077,0.154,0.538,0.692
0,Jacob Young,696285,WSH,Hunter Greene,228,56,0.271,0.318,0.088,0.246,0.258,0.333,0.07500000000000001,0.018,0.071,0.625,0.304
0,TJ Friedl,670770,CIN,Mitchell Parker,166,39,0.326,0.306,0.096,0.235,0.333,0.6,0.26699999999999996,0.026,0.282,0.41,0.231
0,Matt McLain,680574,CIN,Mitchell Parker,127,23,0.434,0.638,0.11,0.181,0.343,0.8,0.457,0.174,0.391,0.174,0.609
0,Elly De La Cruz,682829,CIN,Mitchell Parker,330,46,0.262,0.38,0.148,0.139,0.2,0.28,0.08000000000000002,0.087,0.283,0.5,0.391
0,Noelvi Marte,682622,CIN,Mitchell Parker,95,12,0.402,0.538,0.189,0.126,0.368,0.474,0.10599999999999998,0.167,0.167,0.583,0.583
0,Santiago Espinal,669289,CIN,Mitchell Parker,380,88,0.343,0.334,0.045,0.232,0.274,0.505,0.23099999999999998,0.08,0.409,0.261,0.273
0,Spencer Steer,668715,CIN,Mitchell Parker,392,66,0.319,0.32,0.099,0.168,0.205,0.325,0.12000000000000002,0.03,0.379,0.318,0.379
0,Gavin Lux,666158,CIN,Mitchell Parker,210,28,0.305,0.38,0.138,0.133,0.227,0.273,0.04600000000000001,0.071,0.429,0.357,0.464
0,Jose Trevino,624431,CIN,Mitchell Parker,197,31,0.34,0.311,0.076,0.157,0.216,0.405,0.18900000000000003,0.097,0.323,0.226,0.387
0,Blake Dunn,694362,CIN,Mitchell Parker,46,3,0.241,0.24,0.174,0.065,0.0,0.0,0.0,0.0,0.0,0.667,0.333
0,Fernando Tatis Jr.,665487,SD,Mitch Keller,920,181,0.393,0.507,0.193,0.197,0.305,0.564,0.25899999999999995,0.149,0.26,0.431,0.575
0,Luis Arraez,650333,SD,Mitch Keller,1752,457,0.362,0.348,0.027,0.261,0.379,0.505,0.126,0.033,0.254,0.376,0.271
