,BatterName,batter,PA L15,xwOBA L15,xwOBA OE L15,PA,xwOBA,xwOBA OE,Hot Score
80,JJ Bleday,668709,29.0,0.445,0.09,232.0,0.274,-0.08,0.16999999999999998
209,William Contreras,661388,61.0,0.458,0.136,435.0,0.316,-0.011,0.14700000000000002
142,Matt Wallner,670242,40.0,0.446,0.121,239.0,0.334,-0.021,0.142
149,Miguel Andujar,609280,36.0,0.426,0.105,226.0,0.284,-0.037,0.142
29,Brice Turang,668930,48.0,0.438,0.108,436.0,0.325,-0.018,0.126
38,Carlos Correa,621043,49.0,0.462,0.127,364.0,0.336,0.006,0.121
44,Christian Walker,572233,55.0,0.411,0.091,429.0,0.31,-0.018,0.109
183,Seiya Suzuki,673548,47.0,0.452,0.143,451.0,0.362,0.039,0.10399999999999998
24,Brandon Marsh,669016,32.0,0.433,0.093,267.0,0.33,-0.009,0.102
124,Lenyn Sosa,672820,53.0,0.421,0.092,339.0,0.324,-0.01,0.102
109,Julio Rodriguez,677594,56.0,0.418,0.106,482.0,0.338,0.008,0.098
65,Freddy Fermin,666023,37.0,0.36,0.042,204.0,0.283,-0.046,0.088
101,Jose Altuve,514888,57.0,0.396,0.061,439.0,0.305,-0.027,0.088
131,Luis Robert,673357,52.0,0.406,0.078,337.0,0.319,-0.007,0.085
168,Pete Alonso,624413,52.0,0.486,0.161,463.0,0.406,0.076,0.085
111,Junior Caminero,691406,58.0,0.421,0.086,431.0,0.335,0.001,0.08499999999999999
60,Ernie Clement,676391,53.0,0.362,0.033,398.0,0.288,-0.049,0.082
68,Geraldo Perdomo,672695,60.0,0.43,0.082,472.0,0.345,0.001,0.081
73,Hunter Goodman,696100,44.0,0.396,0.075,383.0,0.322,-0.004,0.079
213,Wyatt Langford,694671,53.0,0.424,0.073,372.0,0.332,-0.005,0.078
147,Michael Harris II,671739,58.0,0.369,0.052,413.0,0.313,-0.026,0.078
28,Brenton Doyle,686668,40.0,0.396,0.051,352.0,0.304,-0.025,0.076
95,Joey Ortiz,687401,52.0,0.353,0.018,357.0,0.278,-0.058,0.076
196,Trent Grisham,663757,55.0,0.453,0.1,353.0,0.369,0.026,0.07400000000000001
116,Kyle Higashioka,543309,32.0,0.354,0.031,199.0,0.299,-0.041,0.07200000000000001
64,Freddie Freeman,518692,57.0,0.432,0.073,398.0,0.346,0.002,0.071
184,Shea Langeliers,669127,58.0,0.384,0.053,317.0,0.321,-0.017,0.07
103,Josh Bell,605137,44.0,0.435,0.07,365.0,0.343,0.001,0.069
127,Lourdes Gurriel Jr.,666971,55.0,0.365,0.038,418.0,0.307,-0.03,0.068
144,Max Muncy,571970,32.0,0.482,0.114,314.0,0.393,0.047,0.067
134,Marcell Ozuna,542303,46.0,0.454,0.119,408.0,0.376,0.053,0.066
197,Trevor Larnach,663616,34.0,0.388,0.04,395.0,0.317,-0.024,0.064
160,Nico Hoerner,663538,50.0,0.355,0.036,423.0,0.31,-0.026,0.062
189,Starling Marte,516782,30.0,0.363,0.049,202.0,0.33,-0.012,0.061
192,Taylor Ward,621493,54.0,0.405,0.078,458.0,0.338,0.017,0.061
55,Drake Baldwin,686948,42.0,0.406,0.074,256.0,0.366,0.015,0.059
215,Xavier Edwards,669364,65.0,0.334,0.004,404.0,0.297,-0.053,0.056999999999999995
59,Eric Wagaman,676572,31.0,0.38,0.038,375.0,0.313,-0.017,0.055
52,Daniel Schneemann,682177,38.0,0.378,0.039,277.0,0.331,-0.015,0.054
53,Dansby Swanson,621020,42.0,0.377,0.067,441.0,0.347,0.014,0.053000000000000005
117,Kyle Isbel,664728,43.0,0.309,-0.041,283.0,0.253,-0.094,0.053
130,Luis Rengifo,650859,43.0,0.386,0.027,382.0,0.309,-0.025,0.052000000000000005
19,Ben Rice,700250,48.0,0.436,0.102,333.0,0.4,0.051,0.051
39,Carlos Santana,467793,33.0,0.342,0.008,402.0,0.301,-0.043,0.051
206,Vladimir Guerrero Jr.,665489,55.0,0.447,0.125,466.0,0.408,0.075,0.05
45,Christian Yelich,592885,56.0,0.378,0.04,426.0,0.333,-0.01,0.05
87,Jarren Duran,680776,52.0,0.377,0.036,481.0,0.333,-0.013,0.048999999999999995
48,Colt Keith,690993,36.0,0.419,0.061,330.0,0.355,0.014,0.047
198,Trevor Story,596115,56.0,0.338,0.02,430.0,0.303,-0.026,0.046
31,Bryan Reynolds,668804,59.0,0.369,0.048,432.0,0.347,0.006,0.042
170,Rafael Devers,646240,58.0,0.418,0.066,483.0,0.377,0.025,0.041
54,Dillon Dingler,693307,36.0,0.391,0.065,299.0,0.351,0.024,0.041
16,Anthony Volpe,683011,55.0,0.355,0.019,425.0,0.317,-0.021,0.04
152,Mike Yastrzemski,573262,44.0,0.347,-0.003,364.0,0.301,-0.042,0.039
203,Victor Caratini,605170,29.0,0.353,0.004,278.0,0.323,-0.033,0.037000000000000005
171,Ramon Laureano,657656,51.0,0.395,0.068,288.0,0.373,0.032,0.036000000000000004
84,Jake Cronenworth,630105,55.0,0.351,-0.0,320.0,0.314,-0.036,0.036
210,Willson Contreras,575929,40.0,0.409,0.086,431.0,0.378,0.05,0.03599999999999999
2,Adam Frazier,624428,48.0,0.326,-0.026,283.0,0.279,-0.061,0.035
97,Jordan Beck,687597,49.0,0.358,0.032,382.0,0.332,-0.003,0.035
143,Mauricio Dubon,643289,38.0,0.317,-0.004,259.0,0.291,-0.038,0.034
74,Ian Happ,664023,44.0,0.381,0.027,444.0,0.346,-0.004,0.031
194,Tommy Pham,502054,48.0,0.358,0.003,273.0,0.308,-0.028,0.031
187,Spencer Steer,668715,54.0,0.322,-0.02,389.0,0.28,-0.05,0.030000000000000002
106,Josh Naylor,647304,47.0,0.39,0.031,410.0,0.345,0.001,0.03
202,Tyler Stephenson,663886,36.0,0.329,-0.002,246.0,0.297,-0.032,0.03
23,Brandon Lowe,664040,55.0,0.381,0.036,349.0,0.35,0.006,0.03
21,Bo Naylor,666310,30.0,0.311,-0.013,277.0,0.301,-0.042,0.029000000000000005
20,Bo Bichette,666182,56.0,0.366,0.055,477.0,0.36,0.026,0.029
9,Alek Thomas,677950,44.0,0.316,-0.016,302.0,0.291,-0.045,0.028999999999999998
148,Mickey Moniak,666160,43.0,0.375,0.033,289.0,0.345,0.006,0.027000000000000003
132,Maikel Garcia,672580,59.0,0.376,0.04,435.0,0.347,0.014,0.026000000000000002
154,Myles Straw,664702,27.0,0.316,-0.017,212.0,0.297,-0.042,0.025
66,Gabriel Arias,672356,46.0,0.324,-0.005,296.0,0.304,-0.03,0.024999999999999998
125,Liam Hicks,689414,42.0,0.34,0.002,228.0,0.318,-0.022,0.024
150,Mike Tauchman,643565,54.0,0.358,0.012,221.0,0.338,-0.012,0.024
92,Jeremy Pena,665161,48.0,0.383,0.049,349.0,0.35,0.025,0.024
157,Nick Allen,669397,41.0,0.264,-0.059,321.0,0.253,-0.082,0.023000000000000007
123,Lawrence Butler,671732,37.0,0.329,-0.01,453.0,0.307,-0.032,0.022
49,Corbin Carroll,682998,60.0,0.403,0.062,408.0,0.373,0.04,0.022
70,Gunnar Henderson,683002,46.0,0.378,0.032,420.0,0.352,0.011,0.021
176,Rowdy Tellez,642133,28.0,0.347,0.014,201.0,0.345,-0.003,0.017
153,Mookie Betts,605141,61.0,0.33,0.0,428.0,0.319,-0.017,0.017
173,Randal Grichuk,545341,30.0,0.362,0.037,198.0,0.352,0.021,0.015999999999999997
6,Agustin Ramirez,682663,60.0,0.355,0.042,349.0,0.358,0.027,0.015000000000000003
102,Jose Ramirez,608070,50.0,0.347,0.021,431.0,0.354,0.007,0.014000000000000002
214,Xander Bogaerts,593428,56.0,0.326,0.014,429.0,0.34,0.001,0.013000000000000001
141,Matt Shaw,807713,33.0,0.308,-0.017,268.0,0.308,-0.029,0.012
118,Kyle Manzardo,700932,40.0,0.351,-0.005,335.0,0.329,-0.015,0.009999999999999998
199,Ty France,664034,37.0,0.363,0.02,386.0,0.341,0.011,0.009000000000000001
155,Nathan Lukes,664770,43.0,0.34,-0.019,265.0,0.323,-0.028,0.009000000000000001
212,Wilyer Abreu,677800,50.0,0.366,0.009,330.0,0.357,0.005,0.003999999999999999
186,Spencer Horwitz,687462,53.0,0.35,-0.018,223.0,0.32,-0.021,0.0030000000000000027
90,Jazz Chisholm,665862,54.0,0.357,0.025,316.0,0.373,0.023,0.0020000000000000018
178,Ryan McMahon,641857,48.0,0.32,0.003,416.0,0.344,0.001,0.002
56,Edgar Quero,700337,34.0,0.301,-0.055,241.0,0.302,-0.055,0.0
175,Riley Greene,682985,48.0,0.351,0.003,442.0,0.34,0.004,-0.001
43,Chandler Simpson,802415,41.0,0.296,-0.047,241.0,0.305,-0.045,-0.0020000000000000018
