,player_name,pitcher,TBF L20,JA ERA L20,TBF,JA ERA,Hot Score
0,Aaron Civale,650644,60.0,2.15,255.0,4.53,2.3800000000000003
16,Carmen Mlodzinski,669387,48.0,1.75,268.0,4.13,2.38
81,Nick Lodolo,666157,57.0,1.32,468.0,3.33,2.01
98,Shota Imanaga,684007,62.0,1.84,291.0,3.82,1.9799999999999998
107,Tyler Alexander,641302,47.0,2.09,260.0,4.04,1.9500000000000002
95,Sean Burke,680732,80.0,2.59,424.0,4.37,1.7800000000000002
50,Jeffrey Springs,605488,62.0,2.38,480.0,4.12,1.7400000000000002
58,Kevin Gausman,592332,97.0,1.84,450.0,3.45,1.61
68,Luis Severino,622663,71.0,2.78,526.0,4.37,1.5900000000000003
20,Chris Paddack,663978,59.0,2.77,451.0,4.22,1.4499999999999997
93,Ryne Nelson,669194,69.0,2.54,339.0,3.85,1.31
42,JP Sears,676664,64.0,2.59,434.0,3.73,1.1400000000000001
33,Edward Cabrera,665795,96.0,2.34,347.0,3.31,0.9700000000000002
86,Paul Skenes,694973,92.0,1.78,469.0,2.73,0.95
112,Yoshinobu Yamamoto,808967,71.0,1.95,416.0,2.89,0.9400000000000002
6,Ben Brown,676962,51.0,2.26,359.0,3.19,0.9300000000000002
76,Mike Vasil,678024,50.0,3.7,264.0,4.61,0.9100000000000001
85,Patrick Corbin,571578,60.0,3.11,414.0,3.94,0.8300000000000001
47,Jacob deGrom,594798,94.0,2.05,431.0,2.87,0.8200000000000003
75,Michael Wacha,608379,70.0,3.31,470.0,4.11,0.8000000000000003
67,Luis Castillo,622491,96.0,3.05,477.0,3.76,0.71
91,Ryan Gusto,687473,68.0,2.87,336.0,3.57,0.6999999999999997
24,Colton Gordon,676467,68.0,2.78,226.0,3.47,0.6900000000000004
45,Jack Leiter,683004,86.0,3.64,346.0,4.33,0.69
116,Zack Wheeler,554430,77.0,1.36,467.0,2.05,0.6899999999999997
65,Logan Webb,657277,72.0,1.98,542.0,2.66,0.6800000000000002
11,Bryan Woo,693433,74.0,2.32,474.0,3.0,0.6800000000000002
21,Clay Holmes,605280,64.0,3.14,456.0,3.81,0.6699999999999999
29,Drew Rasmussen,656876,77.0,2.68,355.0,3.35,0.6699999999999999
55,Jose Quintana,500779,71.0,3.86,326.0,4.52,0.6599999999999997
97,Shane Baz,669358,88.0,2.86,458.0,3.49,0.6300000000000003
38,Garrett Crochet,676979,52.0,1.88,539.0,2.44,0.56
104,Tanner Bibee,676440,97.0,3.13,455.0,3.69,0.56
7,Brad Lord,695418,78.0,3.15,271.0,3.69,0.54
106,Tomoyuki Sugano,608372,96.0,3.86,420.0,4.39,0.5299999999999998
18,Charlie Morton,450203,100.0,3.24,407.0,3.77,0.5299999999999998
54,Jose Berrios,621244,68.0,3.46,498.0,3.89,0.43000000000000016
8,Brady Singer,663903,85.0,3.49,429.0,3.92,0.4299999999999997
39,Gavin Williams,668909,78.0,3.59,447.0,4.0,0.41000000000000014
56,Jose Soriano,667755,72.0,2.8,515.0,3.21,0.41000000000000014
53,Jonathan Cannon,686563,61.0,3.91,367.0,4.31,0.39999999999999947
27,Davis Martin,663436,68.0,3.69,334.0,4.07,0.38000000000000034
25,Cristopher Sanchez,650911,114.0,2.34,470.0,2.68,0.3400000000000003
114,Zac Gallen,668678,102.0,3.42,495.0,3.75,0.33000000000000007
23,Colin Rea,607067,87.0,3.85,403.0,4.18,0.3299999999999996
13,Cade Horton,690990,60.0,3.82,267.0,4.14,0.31999999999999984
35,Erick Fedde,607200,81.0,4.78,428.0,5.1,0.3199999999999994
88,Randy Vasquez,681190,56.0,5.14,411.0,5.45,0.3100000000000005
74,Michael Soroka,647336,47.0,2.82,304.0,3.13,0.31000000000000005
79,Mitchell Parker,680730,73.0,4.49,473.0,4.79,0.2999999999999998
113,Yusei Kikuchi,579328,97.0,3.24,500.0,3.52,0.2799999999999998
82,Nick Martinez,607259,79.0,3.85,478.0,4.12,0.27
61,Kyle Hendricks,543294,79.0,3.95,407.0,4.22,0.2699999999999996
22,Clayton Kershaw,477132,68.0,3.94,228.0,4.2,0.26000000000000023
5,Bailey Falter,663559,65.0,4.55,413.0,4.79,0.2400000000000002
89,Ranger Suarez,624133,79.0,3.16,358.0,3.4,0.23999999999999977
31,Dylan Cease,656302,64.0,2.44,463.0,2.67,0.22999999999999998
28,Dean Kremer,665152,74.0,3.59,480.0,3.81,0.2200000000000002
62,Logan Allen,671106,78.0,4.08,407.0,4.3,0.21999999999999975
57,Justin Verlander,434378,63.0,3.94,355.0,4.12,0.18000000000000016
30,Dustin May,669160,63.0,3.64,405.0,3.79,0.1499999999999999
63,Logan Evans,688138,86.0,4.11,234.0,4.23,0.1200000000000001
40,George Kirby,669923,97.0,2.87,222.0,2.96,0.08999999999999986
36,Framber Valdez,664285,103.0,2.76,491.0,2.83,0.07000000000000028
94,Sandy Alcantara,645261,99.0,4.3,437.0,4.33,0.03000000000000025
102,Stephen Kolek,663568,48.0,4.1,287.0,4.06,-0.040000000000000036
108,Tyler Anderson,542881,90.0,4.26,444.0,4.16,-0.09999999999999964
84,Noah Cameron,702070,96.0,3.86,274.0,3.74,-0.11999999999999966
100,Sonny Gray,543243,73.0,2.71,453.0,2.59,-0.1200000000000001
37,Freddy Peralta,642547,65.0,3.42,479.0,3.27,-0.1499999999999999
19,Chris Bassitt,605135,87.0,3.55,491.0,3.36,-0.18999999999999995
64,Logan Gilbert,669302,87.0,2.04,249.0,1.84,-0.19999999999999996
4,Andrew Heaney,571760,54.0,4.57,435.0,4.37,-0.20000000000000018
46,Jacob Lopez,682052,86.0,3.03,247.0,2.8,-0.22999999999999998
10,Brayan Bello,678394,76.0,4.27,413.0,4.03,-0.23999999999999932
49,Janson Junk,676083,63.0,3.84,220.0,3.59,-0.25
77,Miles Mikolas,571945,60.0,4.44,415.0,4.17,-0.27000000000000046
70,Matthew Boyd,571510,95.0,3.48,440.0,3.2,-0.2799999999999998
90,Robbie Ray,592662,76.0,3.59,499.0,3.31,-0.2799999999999998
115,Zack Littell,641793,76.0,4.13,485.0,3.85,-0.2799999999999998
17,Casey Mize,663554,56.0,3.85,368.0,3.57,-0.28000000000000025
103,Taijuan Walker,592836,67.0,4.45,273.0,4.08,-0.3700000000000001
44,Jack Kochanowicz,686799,47.0,4.87,416.0,4.5,-0.3700000000000001
72,Max Fried,608331,78.0,3.49,489.0,3.11,-0.38000000000000034
87,Quinn Priester,682990,79.0,3.94,392.0,3.52,-0.41999999999999993
43,Jack Flaherty,656427,89.0,3.3,420.0,2.86,-0.43999999999999995
51,Jesus Luzardo,666200,95.0,3.45,469.0,2.98,-0.4700000000000002
48,Jake Irvin,663623,91.0,4.83,494.0,4.33,-0.5
111,Will Warren,701542,71.0,3.83,438.0,3.33,-0.5
26,David Peterson,656849,75.0,3.86,476.0,3.32,-0.54
105,Tarik Skubal,669373,71.0,2.26,482.0,1.67,-0.5899999999999999
2,Andre Pallante,669467,82.0,4.26,450.0,3.65,-0.6099999999999999
109,Valente Bellozo,678368,47.0,4.96,223.0,4.31,-0.6500000000000004
60,Kyle Freeland,607536,62.0,4.65,423.0,3.99,-0.6600000000000001
41,Hunter Brown,686613,69.0,3.17,461.0,2.49,-0.6799999999999997
92,Ryan Pepiot,686752,68.0,4.08,487.0,3.38,-0.7000000000000002
110,Walker Buehler,621111,97.0,5.07,354.0,4.34,-0.7300000000000004
34,Eric Lauer,641778,74.0,3.5,240.0,2.75,-0.75
99,Slade Cecconi,677944,75.0,4.26,264.0,3.51,-0.75
9,Brandon Pfaadt,694297,75.0,4.32,455.0,3.57,-0.7500000000000004
73,Merrill Kelly,518876,72.0,4.11,487.0,3.33,-0.7800000000000002
101,Spencer Strider,675911,73.0,3.71,277.0,2.91,-0.7999999999999998
52,Joe Ryan,657746,65.0,3.18,452.0,2.38,-0.8000000000000003
14,Cal Quantrill,615698,63.0,4.77,370.0,3.91,-0.8599999999999994
78,Mitch Keller,656605,86.0,4.71,493.0,3.77,-0.94
80,Nathan Eovaldi,543135,73.0,3.5,346.0,2.47,-1.0299999999999998
15,Carlos Rodon,607074,92.0,4.1,478.0,2.96,-1.1399999999999997
1,Adrian Houser,605288,55.0,5.14,248.0,3.99,-1.1499999999999995
96,Seth Lugo,607625,94.0,4.94,426.0,3.6,-1.3400000000000003
12,Bryce Elder,693821,95.0,5.08,356.0,3.72,-1.3599999999999999
59,Kodai Senga,673540,79.0,5.1,310.0,3.72,-1.3799999999999994
66,Lucas Giolito,608337,97.0,5.23,318.0,3.57,-1.6600000000000006
83,Nick Pivetta,601713,74.0,4.37,455.0,2.69,-1.6800000000000002
71,Matthew Liberatore,669461,61.0,5.53,422.0,3.74,-1.79
3,Andrew Abbott,671096,77.0,5.38,394.0,3.41,-1.9699999999999998
32,Eduardo Rodriguez,593958,104.0,5.32,374.0,3.32,-2.0000000000000004
69,MacKenzie Gore,669022,66.0,5.52,470.0,2.66,-2.8599999999999994
