,player_name,pitcher,Split,zone,xwOBA,IsBIP,BatterName,batter
3177,,,L,3,1.237,2,Colby Thomas,687515.0
12459,,,R,3,1.2245,2,Robert Hassell III,690987.0
3145,,,L,4,1.19,1,Cody Freeman,683227.0
46,Carson Seymour,693313.0,R,2,1.081,3,,
3235,,,L,4,1.0795,2,Colson Montgomery,695657.0
4377,,,R,2,1.067,2,Dylan Beavers,687637.0
36,Carson Seymour,693313.0,L,1,1.0213333333333334,3,,
9676,,,R,3,0.9635,2,Luke Keaschall,807712.0
7072,,,L,2,0.9283333333333333,3,Jeremiah Jackson,669236.0
328,McCade Brown,685326.0,R,2,0.926,1,,
11516,,,L,3,0.911,1,Niko Kavadas,694359.0
1241,,,L,1,0.9077500000000001,3,Ben Rice,700250.0
3156,,,R,6,0.901,1,Cody Freeman,683227.0
4024,,,L,7,0.899,2,Daylen Lile,695734.0
12537,,,L,6,0.8939,9,Ronald Acuna Jr.,660670.0
261,,,L,7,0.8636000000000001,5,Agustin Ramirez,682663.0
407,,,R,2,0.8500000000000001,3,Alejandro Osuna,696030.0
14581,,,L,2,0.8445,5,Weston Wilson,642215.0
12505,,,R,1,0.8424444444444444,9,Roman Anthony,701350.0
31,Cam Schlittler,693645.0,R,5,0.829,10,,
8498,,,L,3,0.8156666666666667,5,Junior Caminero,691406.0
41,,,L,5,0.8033571428571429,39,Aaron Judge,592450.0
2300,,,L,3,0.7995,2,C.J. Kayfus,692216.0
2311,,,R,6,0.7956666666666666,2,C.J. Kayfus,692216.0
3245,,,R,5,0.788875,15,Colson Montgomery,695657.0
5990,,,L,8,0.7689999999999999,9,Ivan Herrera,671056.0
3180,,,L,6,0.7665,1,Colby Thomas,687515.0
4226,,,R,1,0.7633333333333333,11,Drake Baldwin,686948.0
330,,,L,3,0.7630909090909092,11,Alec Bohm,664761.0
8803,,,L,1,0.763,2,Kody Clemens,665019.0
3632,,,L,5,0.7627058823529411,16,Dane Myers,667472.0
10561,,,L,2,0.7428636363636364,21,Michael Harris II,671739.0
7266,,,L,8,0.7402222222222222,26,Jo Adell,666176.0
9024,,,L,6,0.7235714285714286,7,Kyle Manzardo,700932.0
13055,,,L,5,0.7204,21,Sean Murphy,669221.0
2385,,,L,7,0.7070000000000001,2,Caleb Durbin,702332.0
7771,,,L,5,0.7062857142857143,14,Jordan Beck,687597.0
4079,,,L,7,0.7061666666666667,4,Derek Hill,656537.0
50,,,R,5,0.7061071428571429,149,Aaron Judge,592450.0
13353,,,R,0,0.7,1,TJ Friedl,670770.0
10045,,,R,0,0.7,0,Masyn Winn,691026.0
325,McCade Brown,685326.0,L,8,0.7,0,,
9195,,,R,0,0.7,0,Lars Nootbaar,663457.0
44,Carson Seymour,693313.0,L,9,0.7,0,,
109,Dustin May,669160.0,L,0,0.7,0,,
674,,,L,0,0.7,0,Andres Gimenez,665926.0
13474,,,R,0,0.7,0,Teoscar Hernandez,606192.0
3248,,,R,8,0.6995833333333333,9,Colson Montgomery,695657.0
5812,,,R,8,0.699,2,Hunter Feduccia,676439.0
40,Carson Seymour,693313.0,L,5,0.6985,8,,
262,,,L,8,0.69825,3,Agustin Ramirez,682663.0
12518,,,L,5,0.6960909090909091,30,Romy Gonzalez,663853.0
6378,,,R,8,0.6936666666666667,3,Jacob Melton,689200.0
4834,,,L,4,0.6936363636363636,11,Eric Wagaman,676572.0
6291,,,L,3,0.6851666666666668,6,Jackson Holliday,702616.0
4833,,,L,3,0.6832499999999999,4,Eric Wagaman,676572.0
10211,,,L,7,0.6808,5,Matt Shaw,807713.0
8951,,,L,5,0.6807037037037037,25,Kyle Higashioka,543309.0
4380,,,R,5,0.6669999999999999,2,Dylan Beavers,687637.0
9674,,,R,1,0.6621666666666667,6,Luke Keaschall,807712.0
2607,,,R,2,0.662,2,Carson Williams,700246.0
12450,,,L,3,0.6605,2,Robert Hassell III,690987.0
4080,,,L,8,0.6576666666666667,11,Derek Hill,656537.0
14828,,,L,6,0.6574333333333333,25,Willson Contreras,575929.0
12751,,,L,7,0.6572608695652173,21,Ryan Mountcastle,663624.0
5653,,,L,1,0.6565833333333334,11,Harrison Bader,664056.0
5400,,,R,5,0.6551034482758621,46,Giancarlo Stanton,519317.0
44,,,L,8,0.6545588235294117,33,Aaron Judge,592450.0
13187,,,R,5,0.6545000000000001,121,Shohei Ohtani,660271.0
13177,,,L,5,0.6501142857142858,62,Shohei Ohtani,660271.0
5692,,,L,5,0.6441714285714285,34,Heliot Ramos,671218.0
11535,,,L,4,0.641875,8,Noelvi Marte,682622.0
10545,,,L,9,0.6391111111111111,7,Michael Conforto,624424.0
13519,,,L,4,0.6384,5,Thomas Saggese,695336.0
