,Player,Team,FGID,SAVID,Age,PA,AB,BIP,K,K%,BB,BB%,SF,HBP,BABIP,Brl%,Solid%,Flare%,Topped%,Under%,Weak%,H,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS,R,RBI,SB Att,SB,CS,Pos,$,Deep $,G
0,Shohei Ohtani,LAD,19755,660271.0,30,658.0,564.0,408.0,160.0,0.2424,87.0,0.13228571428571428,3.0,4.0,0.384,0.203,0.082,0.199,0.279,0.21,0.028,156.0,72.0,32.0,4.0,48.0,362.0,0.277,0.376,0.605,0.981,123.0,93.0,29.7,24.9,5.0,"UT, P",25.11,17.36,146.0
0,Aaron Judge,NYY,15640,592450.0,32,635.0,526.0,373.0,156.0,0.24563200000000004,100.0,0.158,3.0,5.0,0.401,0.226,0.082,0.214,0.222,0.233,0.022,150.0,72.0,30.0,2.0,46.0,329.0,0.284,0.402,0.612,1.014,112.0,99.0,10.3,8.3,2.0,OF,23.15,15.09,141.0
0,Juan Soto,NYM,20123,665742.0,26,626.0,513.0,400.0,116.0,0.1855,108.0,0.17229714285714287,3.0,3.0,0.37,0.17,0.071,0.229,0.293,0.198,0.04,148.0,78.0,29.0,2.0,39.0,307.0,0.288,0.412,0.579,0.991,106.0,93.0,17.2,13.8,3.0,OF,21.77,14.41,139.0
0,Bobby Witt Jr.,KC,25764,677951.0,24,634.0,579.0,472.0,109.0,0.171624,47.0,0.07382857142857144,2.0,6.0,0.356,0.123,0.063,0.246,0.27,0.274,0.024,168.0,96.0,35.0,8.0,30.0,325.0,0.29,0.348,0.531,0.879,100.0,91.0,32.9,25.5,7.0,SS,18.38,13.61,141.0
0,Julio Rodriguez,SEA,23697,677594.0,24,620.0,569.0,430.0,141.0,0.226964,41.0,0.06580571428571429,2.0,8.0,0.356,0.105,0.076,0.247,0.341,0.201,0.03,153.0,94.0,30.0,2.0,27.0,284.0,0.269,0.326,0.474,0.8,95.0,84.0,24.3,19.5,5.0,OF,18.23,12.41,138.0
0,Corbin Carroll,ARI,25878,682998.0,24,611.0,537.0,408.0,131.0,0.21463600000000002,63.0,0.10324571428571427,2.0,9.0,0.342,0.111,0.081,0.211,0.291,0.273,0.033,139.0,73.0,30.0,9.0,27.0,288.0,0.259,0.346,0.5,0.846,95.0,81.0,27.1,23.1,4.0,OF,18.2,12.45,136.0
0,Cal Raleigh,SEA,21534,663728.0,28,611.0,534.0,372.0,164.0,0.26890000000000003,70.0,0.11428571428571428,2.0,5.0,0.345,0.165,0.068,0.206,0.182,0.33,0.048,128.0,62.0,26.0,1.0,39.0,281.0,0.24,0.332,0.51,0.843,88.0,95.0,13.6,10.9,3.0,C,17.83,12.26,136.0
0,Jose Ramirez,CLE,13510,608070.0,32,604.0,545.0,469.0,77.0,0.128052,53.0,0.08857142857142856,2.0,4.0,0.315,0.077,0.066,0.239,0.256,0.325,0.038,148.0,90.0,32.0,3.0,23.0,277.0,0.271,0.34,0.467,0.807,86.0,91.0,37.2,30.1,7.0,3B,17.75,13.22,134.0
0,Fernando Tatis Jr.,SD,19709,665487.0,26,618.0,542.0,421.0,123.0,0.19990000000000002,69.0,0.11109714285714285,2.0,5.0,0.342,0.114,0.072,0.223,0.348,0.214,0.029,144.0,86.0,28.0,2.0,28.0,276.0,0.266,0.352,0.479,0.831,97.0,74.0,24.4,20.4,4.0,OF,17.52,12.03,137.0
0,Ronald Acuna Jr.,ATL,18401,660670.0,27,635.0,546.0,413.0,136.0,0.214,77.0,0.12158857142857141,2.0,9.0,0.352,0.133,0.059,0.23,0.334,0.217,0.027,145.0,89.0,27.0,2.0,26.0,268.0,0.266,0.365,0.469,0.834,89.0,92.0,18.7,15.4,3.0,OF,17.32,11.71,141.0
0,Jackson Chourio,MIL,28806,694192.0,21,591.0,550.0,430.0,122.0,0.205872,36.0,0.06114285714285715,2.0,3.0,0.343,0.098,0.066,0.227,0.329,0.221,0.059,148.0,88.0,31.0,3.0,26.0,278.0,0.268,0.316,0.476,0.792,86.0,79.0,27.5,21.8,6.0,OF,17.09,11.82,131.0
0,Kyle Schwarber,,16478,656941.0,32,646.0,547.0,371.0,179.0,0.276872,90.0,0.13914285714285712,2.0,6.0,0.369,0.173,0.069,0.223,0.246,0.251,0.037,137.0,69.0,24.0,2.0,41.0,294.0,0.25,0.361,0.529,0.89,98.0,86.0,10.7,7.4,3.0,UT,17.06,12.13,144.0
0,Elly De La Cruz,CIN,26668,682829.0,23,617.0,552.0,385.0,168.0,0.27252,60.0,0.09782857142857143,2.0,3.0,0.37,0.116,0.056,0.242,0.362,0.189,0.036,143.0,81.0,30.0,4.0,27.0,288.0,0.259,0.334,0.476,0.811,88.0,86.0,42.5,33.9,9.0,SS,16.85,12.86,137.0
0,Pete Alonso,NYM,19251,624413.0,30,640.0,564.0,416.0,151.0,0.2354,60.0,0.09371428571428572,2.0,13.0,0.346,0.156,0.072,0.211,0.279,0.244,0.038,144.0,75.0,29.0,2.0,37.0,291.0,0.255,0.339,0.512,0.851,92.0,100.0,4.8,3.6,1.0,1B,16.72,12.08,142.0
0,Jakob Marsee,MIA,31370,805300.0,23,541.0,464.0,353.0,112.0,0.207584,65.0,0.11942857142857141,2.0,11.0,0.372,0.089,0.072,0.29,0.322,0.194,0.034,132.0,82.0,29.0,2.0,19.0,253.0,0.284,0.383,0.474,0.857,76.0,59.0,51.2,42.3,9.0,OF,16.61,12.11,120.0
0,Brent Rooker,OAK,19627,667670.0,30,608.0,543.0,395.0,149.0,0.24570000000000003,55.0,0.09028571428571429,2.0,9.0,0.372,0.135,0.068,0.239,0.266,0.261,0.031,147.0,81.0,30.0,3.0,33.0,288.0,0.271,0.346,0.52,0.866,86.0,84.0,9.2,7.5,2.0,OF,16.52,11.17,135.0
0,Vladimir Guerrero Jr.,TOR,19611,665489.0,26,637.0,559.0,468.0,94.0,0.14700000000000002,70.0,0.10934857142857143,2.0,6.0,0.358,0.12,0.062,0.259,0.337,0.187,0.035,168.0,104.0,33.0,1.0,29.0,293.0,0.3,0.382,0.52,0.902,93.0,99.0,7.7,5.0,3.0,1B,16.42,11.96,142.0
0,Kyle Tucker,,18345,663656.0,28,560.0,478.0,391.0,89.0,0.1593,78.0,0.13999999999999999,2.0,2.0,0.334,0.107,0.066,0.246,0.253,0.298,0.03,131.0,76.0,27.0,2.0,26.0,255.0,0.273,0.376,0.499,0.875,85.0,74.0,21.0,18.5,3.0,OF,15.85,11.01,124.0
