,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,MLBAMID,MLBID,$,Deep $
0,Bryan Woo,SEA,30279,693433.0,800.882,198.2,32.0,152.96,77.6,12.0,17.8,0.0,72.0,24.0,1.1,0.281,10.2,225.0,42.0,1.9,0.053,7.0,99.36,27.6,2.0,3.27,0.98,0.41,0.243,0.274,142.546494,224.23043999999996,128.932503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.33,12.01
1,Cristopher Sanchez,PHI,20778,650911.0,812.7,197.8,32.0,168.2,76.63,13.0,19.9,0.0,71.0,18.0,0.8,0.251,9.3,204.0,39.0,1.8,0.048,4.0,115.92,31.28,3.0,3.23,1.05,0.575,0.225,0.17,122.48550000000003,286.27425,132.45525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.52,11.49
2,Tarik Skubal,DET,22267,669373.0,796.51,197.3,32.0,149.8,73.72,13.0,20.5,0.0,68.0,17.0,0.8,0.305,11.1,243.0,43.0,2.0,0.054,8.0,100.28,28.52,4.0,3.1,0.98,0.447,0.239,0.253,130.945815,223.858635,122.267145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.63,12.83
3,Logan Webb,SF,17995,657277.0,831.145,196.7,32.0,180.24,84.39,12.0,19.6,0.0,78.0,19.0,0.9,0.244,9.3,203.0,47.0,2.2,0.057,4.0,122.36,35.88,3.0,3.57,1.16,0.574,0.226,0.171,125.2367475,291.73479,135.40678499999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52,9.35
4,Paul Skenes,PIT,33677,694973.0,785.032,195.1,32.0,148.8,72.75,11.0,16.9,0.0,67.0,17.0,0.8,0.313,11.3,246.0,39.0,1.8,0.05,8.0,96.60000000000001,32.2,3.0,3.09,0.96,0.46,0.239,0.241,125.25801600000001,222.51424000000003,119.757664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41,12.72
5,Kevin Gausman,TOR,14107,592332.0,795.878,191.8,30.78,157.4,79.53999999999999,14.0,19.5,0.0,73.0,22.0,1.0,0.242,9.1,193.0,51.0,2.4,0.064,3.0,103.04,30.360000000000003,2.0,3.43,1.09,0.397,0.244,0.284,150.11081600000003,228.20155300000002,133.554476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.09,10.48
6,Sonny Gray,STL,12768,543243.0,792.66,191.7,32.0,162.92000000000002,79.53999999999999,12.0,17.1,0.0,73.0,21.0,1.0,0.267,10.0,212.0,44.0,2.1,0.056,4.0,107.64,31.28,3.0,3.43,1.08,0.465,0.24,0.237,133.36001,240.15535,128.7984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.12,10.47
7,Nick Pivetta,SD,15454,601713.0,797.849,190.8,32.0,158.64000000000001,83.42,12.0,16.0,0.0,77.0,26.0,1.2,0.256,9.6,204.0,55.0,2.6,0.069,4.0,101.2,29.44,2.0,3.63,1.12,0.369,0.239,0.302,151.41656900000004,215.2701755,129.0543355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.62,9.42
8,Zac Gallen,FA,19291,668678.0,809.998,188.9,32.0,172.44,89.24,11.0,14.9,0.0,82.0,24.0,1.1,0.225,8.7,182.0,58.0,2.8,0.071,5.0,108.56,35.88,4.0,3.91,1.22,0.437,0.241,0.259,147.91448100000002,247.09413300000003,137.084519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61,7.38
9,Jacob deGrom,TEX,10954,594798.0,754.017,187.2,30.78,140.92000000000002,72.75,11.0,13.8,0.0,67.0,23.0,1.1,0.309,11.2,233.0,42.0,2.0,0.056,4.0,89.24000000000001,26.68,2.0,3.22,0.98,0.38,0.243,0.295,132.9272175,194.00188500000004,115.68260550000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.15,11.88
