,Pitcher,Team,$,GS,IP,IP 180,K,ERA,WHIP,W,H,ER,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
1,Tarik Skubal,DET,22.8,31.0,194.4,180,219,3.0,0.96,12,136,60,696.6,1.0,6.7,2.0,-1.0
4,Paul Skenes,PIT,21.54,31.0,189.0,180,218,3.25,1.03,10,141,65,655.45,2.0,10.3,3.0,-1.0
43,Cole Ragans,KC,21.18,27.0,163.5,180,245,3.15,1.03,11,127,63,661.88,3.0,51.7,13.0,-10.0
7,Garrett Crochet,BOS,20.76,31.0,181.9,180,228,3.55,1.1,11,149,71,645.48,4.0,11.1,4.0,0.0
39,Jacob deGrom,TEX,20.04,28.0,165.4,180,224,3.25,0.98,10,137,65,622.15,5.0,45.3,11.0,-6.0
73,Kyle Bradish,BAL,19.99,26.0,150.4,180,252,3.35,1.05,10,128,67,630.2,6.0,81.0,22.0,-16.0
9,Hunter Greene,CIN,19.9,30.0,178.7,180,215,3.55,1.06,11,136,71,611.68,7.0,46.9,12.0,-5.0
46,Chris Sale,ATL,19.74,27.0,162.6,180,226,3.25,1.03,13,140,65,621.65,8.0,35.6,8.0,0.0
33,Logan Gilbert,SEA,19.73,29.0,166.9,180,215,3.2,0.98,12,135,64,616.93,9.0,35.3,7.0,2.0
10,Dylan Cease,TOR,19.4,31.0,178.7,180,219,3.65,1.18,12,144,73,611.88,10.0,77.4,20.0,-10.0
3,Bryan Woo,SEA,19.18,31.0,190.2,180,181,3.4,1.01,11,147,68,584.55,11.0,42.2,10.0,1.0
0,Logan Webb,SF,18.98,31.0,195.6,180,183,3.5,1.16,11,163,70,582.3,12.0,57.9,15.0,-3.0
12,Sonny Gray,BOS,18.94,30.0,178.0,180,203,3.5,1.09,12,155,70,593.3,13.0,127.9,34.0,-21.0
8,Nick Pivetta,SD,18.82,30.0,180.5,180,199,3.55,1.09,10,147,71,582.12,14.0,91.8,25.0,-11.0
2,Cristopher Sanchez,PHI,18.7,31.0,190.5,180,181,3.4,1.11,13,155,68,583.62,15.0,30.5,6.0,9.0
26,Joe Ryan,MIN,18.05,29.0,170.3,180,201,3.65,1.06,11,150,73,563.17,16.0,66.7,17.0,-1.0
62,Spencer Strider,ATL,17.59,27.0,154.1,180,224,3.65,1.16,11,146,73,563.12,17.0,99.1,27.0,-10.0
5,Kevin Gausman,TOR,17.58,30.0,184.4,180,175,3.5,1.12,12,151,70,550.5,18.0,120.2,32.0,-14.0
19,Hunter Brown,HOU,17.55,30.0,175.4,180,205,3.95,1.21,12,158,79,559.65,19.0,36.1,9.0,10.0
93,Trey Yesavage,TOR,17.46,24.0,141.1,180,237,3.55,1.15,7,134,71,549.07,20.0,152.3,44.0,-24.0
84,Blake Snell,LAD,17.4,25.0,145.6,180,222,3.3,1.14,13,131,66,567.4,21.0,68.3,19.0,2.0
28,George Kirby,SEA,17.18,29.0,169.2,180,185,3.45,1.08,11,156,69,536.1,22.0,68.2,18.0,4.0
50,Jack Flaherty,DET,17.06,28.0,162.0,180,211,3.85,1.18,10,155,77,539.9,23.0,225.5,65.0,-42.0
69,Yoshinobu Yamamoto,LAD,17.0,26.0,151.3,180,211,3.45,1.12,14,144,69,558.02,24.0,23.9,5.0,19.0
24,Jesus Luzardo,PHI,16.95,30.0,170.9,180,195,3.75,1.19,12,155,75,541.13,25.0,79.9,21.0,4.0
45,Freddy Peralta,NYM,16.83,29.0,162.9,180,208,3.9,1.19,12,147,78,540.73,26.0,62.1,16.0,10.0
11,Max Fried,NYY,16.73,30.0,178.5,180,180,3.65,1.21,14,163,73,537.22,27.0,56.7,14.0,13.0
21,Robbie Ray,SF,16.69,30.0,172.0,180,204,4.1,1.27,9,153,82,524.8,28.0,148.6,43.0,-15.0
89,Jacob Misiorowski,MIL,16.66,24.0,144.2,180,230,3.8,1.2,8,137,76,530.65,29.0,126.8,33.0,-4.0
70,Brandon Woodruff,MIL,16.48,27.0,151.2,180,205,3.65,1.09,9,145,73,519.0,30.0,118.4,31.0,-1.0
38,Nathan Eovaldi,TEX,16.35,27.0,165.4,180,187,3.7,1.12,11,163,74,516.75,31.0,158.1,49.0,-18.0
