,Date,game_id,Team,RoadTeam,HomeTeam,Spot,Player,HID,SP,SPID,Opp,p_throws,h_stand
0,2026-02-20,832034,NYY,NYY,BAL,1,Austin Wells,669224,Trevor Rogers,669432,BAL,L,L
1,2026-02-20,832034,NYY,NYY,BAL,2,Jose Caballero,676609,Trevor Rogers,669432,BAL,L,R
2,2026-02-20,832034,NYY,NYY,BAL,3,Jazz Chisholm,665862,Trevor Rogers,669432,BAL,L,L
3,2026-02-20,832034,NYY,NYY,BAL,4,Amed Rosario,642708,Trevor Rogers,669432,BAL,L,R
4,2026-02-20,832034,NYY,NYY,BAL,5,Ernesto Martinez,667803,Trevor Rogers,669432,BAL,L,L
5,2026-02-20,832034,NYY,NYY,BAL,6,Marco Luciano,682617,Trevor Rogers,669432,BAL,L,R
6,2026-02-20,832034,NYY,NYY,BAL,7,Duke Ellis,668752,Trevor Rogers,669432,BAL,L,L
7,2026-02-20,832034,NYY,NYY,BAL,8,Kenedy Corona,685744,Trevor Rogers,669432,BAL,L,R
8,2026-02-20,832034,NYY,NYY,BAL,9,Ali Sanchez,645305,Trevor Rogers,669432,BAL,L,R
9,2026-02-20,832034,BAL,NYY,BAL,1,Gunnar Henderson,683002,Elmer Rodriguez-Cruz,695684,NYY,R,L
10,2026-02-20,832034,BAL,NYY,BAL,2,Pete Alonso,624413,Elmer Rodriguez-Cruz,695684,NYY,R,R
11,2026-02-20,832034,BAL,NYY,BAL,3,Samuel Basallo,694212,Elmer Rodriguez-Cruz,695684,NYY,R,L
12,2026-02-20,832034,BAL,NYY,BAL,4,Tyler O'Neill,641933,Elmer Rodriguez-Cruz,695684,NYY,R,R
13,2026-02-20,832034,BAL,NYY,BAL,5,Colton Cowser,681297,Elmer Rodriguez-Cruz,695684,NYY,R,L
14,2026-02-20,832034,BAL,NYY,BAL,6,Adley Rutschman,668939,Elmer Rodriguez-Cruz,695684,NYY,R,S
15,2026-02-20,832034,BAL,NYY,BAL,7,Heston Kjerstad,677008,Elmer Rodriguez-Cruz,695684,NYY,R,L
16,2026-02-20,832034,BAL,NYY,BAL,8,Coby Mayo,691723,Elmer Rodriguez-Cruz,695684,NYY,R,R
17,2026-02-20,832034,BAL,NYY,BAL,9,Jeremiah Jackson,669236,Elmer Rodriguez-Cruz,695684,NYY,R,R
18,2026-02-20,831829,KC,KC,TEX,1,Maikel Garcia,672580,Nathan Eovaldi,543135,TEX,R,R
19,2026-02-20,831829,KC,KC,TEX,2,Bobby Witt Jr.,677951,Nathan Eovaldi,543135,TEX,R,R
20,2026-02-20,831829,KC,KC,TEX,3,Vinnie Pasquantino,686469,Nathan Eovaldi,543135,TEX,R,L
21,2026-02-20,831829,KC,KC,TEX,4,Salvador Perez,521692,Nathan Eovaldi,543135,TEX,R,R
22,2026-02-20,831829,KC,KC,TEX,5,Jac Caglianone,695506,Nathan Eovaldi,543135,TEX,R,L
23,2026-02-20,831829,KC,KC,TEX,6,Lane Thomas,657041,Nathan Eovaldi,543135,TEX,R,R
24,2026-02-20,831829,KC,KC,TEX,7,Michael Massey,686681,Nathan Eovaldi,543135,TEX,R,L
25,2026-02-20,831829,KC,KC,TEX,8,Nick Loftin,679845,Nathan Eovaldi,543135,TEX,R,R
26,2026-02-20,831829,KC,KC,TEX,9,Kevin Newman,621028,Nathan Eovaldi,543135,TEX,R,R
27,2026-02-20,831829,TEX,KC,TEX,1,Evan Carter,694497,Stephen Kolek,663568,KC,R,L
28,2026-02-20,831829,TEX,KC,TEX,2,Corey Seager,608369,Stephen Kolek,663568,KC,R,L
29,2026-02-20,831829,TEX,KC,TEX,3,Joc Pederson,592626,Stephen Kolek,663568,KC,R,L
30,2026-02-20,831829,TEX,KC,TEX,4,Jake Burger,669394,Stephen Kolek,663568,KC,R,R
31,2026-02-20,831829,TEX,KC,TEX,5,Josh Jung,673962,Stephen Kolek,663568,KC,R,R
32,2026-02-20,831829,TEX,KC,TEX,6,Josh Smith,669701,Stephen Kolek,663568,KC,R,L
33,2026-02-20,831829,TEX,KC,TEX,7,Kyle Higashioka,543309,Stephen Kolek,663568,KC,R,R
34,2026-02-20,831829,TEX,KC,TEX,8,Alejandro Osuna,696030,Stephen Kolek,663568,KC,R,L
35,2026-02-20,831829,TEX,KC,TEX,9,Michael Helman,680737,Stephen Kolek,663568,KC,R,R
36,2026-02-20,832042,CWS,CWS,CHC,1,Curtis Mead,678554,Jameson Taillon,592791,CHC,R,R
37,2026-02-20,832042,CWS,CWS,CHC,2,Kyle Teel,691019,Jameson Taillon,592791,CHC,R,L
38,2026-02-20,832042,CWS,CWS,CHC,3,Austin Hays,669720,Jameson Taillon,592791,CHC,R,R
39,2026-02-20,832042,CWS,CWS,CHC,4,,808959,Jameson Taillon,592791,CHC,R,
40,2026-02-20,832042,CWS,CWS,CHC,5,Derek Hill,656537,Jameson Taillon,592791,CHC,R,R
41,2026-02-20,832042,CWS,CWS,CHC,6,Sam Antonacci,803011,Jameson Taillon,592791,CHC,R,L
42,2026-02-20,832042,CWS,CWS,CHC,7,Korey Lee,686676,Jameson Taillon,592791,CHC,R,R
43,2026-02-20,832042,CWS,CWS,CHC,8,Tristan Peters,671976,Jameson Taillon,592791,CHC,R,L
44,2026-02-20,832042,CWS,CWS,CHC,9,Tanner Murray,695020,Jameson Taillon,592791,CHC,R,R
