,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
0,Tarik Skubal,DET,14.5519,7.87301,15.3044,2.82017,29.63,29.63,0,0.0,,190.265,749.103,144.045,63.96,59.62,19.7936,39.1939,0.501476,6.10172,229.254,10.8443,1.85397,5.84923,0.936286,0.306038,0.0523211,0.2537173107266426,0.204666,0.963074,0.273225,0.76693,,,2.7919,6.02916,5.78869,5.840000152587891,,,,,,,1108.6,5.834736842105262,1013,5.331578947368421,,,,,,,,,,,,,,,,,,,Tarik Skubal,22267,669373,669373.0
1,Paul Skenes,PIT,13.7843,8.24768,14.2307,2.83012,29.839,29.839,0,0.0,,184.635,737.096,142.986,62.1,58.06,15.132,45.876,0.455292,6.55654,214.651,10.4631,2.23622,4.67895,0.737607,0.291212,0.0622387,0.2289733663201332,0.208841,1.02289,0.281071,0.755988,,,2.72736,6.01129,5.66663,9.920000076293944,,,,,,,1083.7,5.857837837837838,1001,5.410810810810811,,,,,,,,,,,,,,,,,,,Paul Skenes,33677,694973,694973.0
2,Logan Webb,SF,13.5202,9.09734,16.1732,3.38019,30.046,30.046,0,0.0,,194.474,799.693,181.797,78.42,73.04,15.5051,46.1957,0.852324,6.19936,184.541,8.54033,2.13788,3.99477,0.717555,0.230765,0.0577668,0.1729984544217586,0.243272,1.17235,0.303867,0.725075,,,3.08201,4.99834,4.4338,56.59000015258789,,,,,,,979.6,5.049484536082475,976,5.030927835051546,,,,,,,,,,,,,,,,,,,Logan Webb,17995,657277,657277.0
3,Garrett Crochet,BOS,13.0022,7.99854,13.8849,3.1601,28.515,28.515,0,0.0,,176.833,710.883,142.267,66.85,62.09,19.9408,43.8139,0.514475,5.06519,213.566,10.8695,2.22993,4.87439,1.0149,0.300423,0.061633,0.2387901693582534,0.214904,1.0523,0.285478,0.753845,,,3.01489,4.99616,4.51411,10.140000343322754,,,,,,,975.6,5.511864406779661,906,5.11864406779661,,,,,,,,,,,,,,,,,,,Garrett Crochet,27463,676979,676979.0
4,Cristopher Sanchez,PHI,13.6449,8.09136,15.2762,3.32,28.921,28.921,0,0.0,,185.72,760.15,168.103,74.05,68.51,16.0468,46.1482,0.476924,5.67669,180.258,8.7353,2.23634,3.90607,0.77763,0.237134,0.0607093,0.1764252223074436,0.237325,1.15362,0.296973,0.731031,,,3.15435,4.59986,4.33895,26.15999984741211,,,,,,,946.8000000000002,5.090322580645163,926,4.978494623655914,,,,,,,,,,,,,,,,,,,Cristopher Sanchez,20778,650911,650911.0
5,Bryan Woo,SEA,13.2438,8.35497,14.5084,3.32009,29.304,29.304,0,0.0,,182.489,728.082,149.649,71.87,67.32,23.6659,34.7877,0.486032,6.63801,184.366,9.09259,1.71566,5.29976,1.16716,0.253222,0.0477799,0.2054421603679657,0.217938,1.01067,0.263218,0.743974,,,3.48146,4.33598,4.28966,40.2400016784668,,,,,,,903.6,4.964835164835164,840,4.615384615384615,,,,,,,,,,,,,,,,,,,Bryan Woo,30279,693433,693433.0
6,Logan Gilbert,SEA,11.6707,8.17679,12.3294,3.43026,27.849,27.849,0,0.0,,164.454,660.819,133.691,67.0,62.68,21.6468,37.9928,0.513599,5.13531,192.232,10.5202,2.07921,5.05969,1.18465,0.2909,0.0574935,0.2334060929715633,0.216437,1.04396,0.277467,0.740452,,,3.29524,4.10681,3.62085,36.13999938964844,,,,,,,849.6,5.180487804878049,789,4.810975609756097,,,,,,,,,,,,,,,,,,,Logan Gilbert,22250,669302,669302.0
7,Chris Sale,ATL,10.5741,7.52782,12.087,3.65993,24.928,24.928,0,0.0,,152.585,630.478,130.231,66.41,62.05,17.2827,43.0987,0.403561,8.06266,187.215,11.0426,2.54211,4.34388,1.01939,0.296942,0.0683587,0.2285832613706588,0.224801,1.13595,0.301341,0.716937,,,3.15957,3.95848,2.99436,35.4900016784668,,,,,,,806.1000000000001,5.268627450980393,765,5.0,,,,,,,,,,,,,,,,,,,Chris Sale,10603,519242,519242.0
8,Yoshinobu Yamamoto,LAD,12.8057,6.1876,12.1309,3.27025,26.168,26.168,0,0.0,,158.3,646.439,130.21,61.64,57.52,15.0709,48.3437,0.381071,5.17733,171.552,9.75343,2.74853,3.54859,0.856842,0.26538,0.0747846,0.1905954405665397,0.219608,1.12794,0.283387,0.742523,,,3.21966,3.92427,3.77824,25.270000457763672,,,,,,,831.7,5.263924050632912,780,4.936708860759493,,,,,,,,,,,,,,,,,,,Yoshinobu Yamamoto,33825,808967,808967.0
9,Cole Ragans,KC,10.5148,7.7232,11.1071,3.36003,25.702,25.702,0,0.0,,150.427,618.632,117.492,59.91,56.16,16.5696,53.5272,0.498847,4.81208,188.29,11.2653,3.20251,3.51765,0.991354,0.304365,0.0865251,0.2178401350975036,0.209697,1.13689,0.283941,0.751642,,,3.22716,3.92038,3.45387,48.619998931884766,,,,,,,795.7,5.304666666666667,728,4.8533333333333335,,,,,,,,,,,,,,,,,,,Cole Ragans,21846,666142,666142.0
