Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.9605,8.978,22.5881,2.81085,32,32,0,0,,199.765,797.146,160.085,68.4858,62.3899,20.3538,43.5401,0.3643,7.1193,242.273,10.9151,1.96161,5.56437,0.917,0.303926,0.05462,0.24930603802204132,0.214451,1.01932,0.288784,0.771652,0.423339,,2.79489,5.8581,5.79614,5.760000228881836,,,,,,,1149,5.745,1071,5.355,4.1,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.3789,9.2432,21.2707,2.91786,32,32,0,0,,193.982,785.35,158.089,69.1686,62.8901,17.5014,51.574,0.5026,7.1695,237.008,10.9963,2.39284,4.59549,0.812,0.301786,0.0656701,0.23611600697040558,0.217571,1.08084,0.297793,0.758768,0.444132,,2.77291,5.6968,5.73887,9.359999656677246,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.28,3.84,3.55,3.31,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.4,3.29,3.18,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.5722,8.9733,20.7637,3.00987,32,32,0,0,,192.855,773.587,157.379,70.6163,64.4966,19.5212,49.7215,0.4928,6.0061,238.816,11.1448,2.32036,4.80306,0.911,0.308712,0.064274,0.2444380447268486,0.219234,1.07387,0.300003,0.759213,0.455553,,2.84128,5.59017,5.38187,10.399999618530273,,,,,,,1084,5.616580310880829,1015,5.259067357512953,4.38,3.93,3.64,3.4,3.2,3.01,2.81,2.6,2.34,3.83,3.63,3.49,3.37,3.27,3.17,3.07,2.95,2.8,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.5187,9.3395,21.0699,3.1631,32,32,0,0,,198.055,812.7,183.186,77.5077,69.6075,17.6489,50.6174,0.4957,6.6788,191.784,8.71504,2.30015,3.7889,0.802,0.235984,0.062283,0.1737009882926941,0.2425,1.1805,0.303197,0.747487,0.544945,,3.22479,4.69891,5.03615,27.8799991607666,,,,,,,978,4.9393939393939394,966,4.878787878787879,4.61,4.17,3.87,3.64,3.43,3.23,3.04,2.82,2.55,4.03,3.84,3.71,3.6,3.5,3.4,3.3,3.19,3.04,"Cristopher Sanchez","20778",650911
"Jacob deGrom","TEX",12.0775,9.5973,18.2326,3.47586,30.78,30.78,0,0,,184.508,754.017,159.559,76.8099,71.2582,24.6831,41.9814,0.4637,5.6287,213.732,10.4255,2.04778,5.09112,1.204,0.283458,0.055677,0.22778106108307838,0.225873,1.09231,0.2882,0.74696,0.378991,,3.33158,4.30991,3.71006,47.599998474121094,,,,,,,929.5,5.024324324324325,884,4.778378378378378,4.96,4.46,4.13,3.87,3.64,3.42,3.21,2.97,2.67,4.38,4.14,3.97,3.84,3.72,3.6,3.47,3.34,3.15,"Jacob deGrom","10954",594798
"Cole Ragans","KCR",11.8413,8.5073,17.6179,3.22752,29.16,29.16,0,0,,172.018,709.938,138.775,67.1234,61.688,17.8325,62.1792,0.5971,5.6263,210.479,11.0123,3.25322,3.38504,0.933,0.296475,0.087584,0.20889121294021606,0.216115,1.16821,0.292257,0.760451,0.399122,,3.21816,4.2489,4.34194,49.20000076293945,,,,,,,905.9999999999999,5.267441860465116,842,4.895348837209302,4.7,4.2,3.88,3.63,3.4,3.19,2.98,2.75,2.46,4.09,3.87,3.72,3.6,3.48,3.38,3.26,3.13,2.97,"Cole Ragans","21846",666142
"Chris Sale","ATL",12.0345,7.5038,17.7348,3.19175,27.54,27.54,0,0,,168.535,685.659,139.79,64.9815,59.769,18.0894,44.2627,0.5232,8.6091,205.462,10.9719,2.36369,4.64187,0.966,0.299656,0.064555,0.23510099947452545,0.220912,1.09208,0.297386,0.750162,0.416999,,3.0334,4.15084,4.31761,35.15999984741211,,,,,,,916.2,5.4213017751479295,862,5.100591715976331,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.72,2.43,4.03,3.82,3.67,3.55,3.45,3.34,3.23,3.11,2.95,"Chris Sale","10603",519242
"Logan Webb","SFG",12.4701,10.5196,20.7244,3.32303,32,32,0,0,,199.392,830.798,193.881,81.901,73.6205,16.8154,46.9451,0.7552,6.0499,187.156,8.4477,2.11898,3.98669,0.759,0.225272,0.056506,0.1687660552561283,0.249268,1.20781,0.308568,0.731415,0.546891,,3.15155,4.06254,3.91461,56.84000015258789,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.8,4.35,4.05,3.82,3.61,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Sonny Gray","BOS",11.5186,9.9958,17.0241,3.68149,30.78,30.78,0,0,,181.357,756.916,171.012,80.662,74.1849,21.2188,47.6986,0.5011,5.6579,189.835,9.4207,2.36708,3.97988,1.053,0.2508,0.063017,0.187782920897007,0.243067,1.20597,0.304145,0.7304,0.450969,,3.44527,3.87286,3.46659,114.31999969482422,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,5.2,4.71,4.39,4.13,3.9,3.69,3.47,3.23,2.93,4.55,4.35,4.2,4.09,3.98,3.88,3.77,3.65,3.48,"Sonny Gray","12768",543243
"Dylan Cease","TOR",12.351,9.7777,17.3667,3.60554,32,32,0,0,,184.857,777.691,157.33,80.061,74.0566,22.4499,67.5907,1.179,5.8887,216.042,10.5183,3.29074,3.19632,1.093,0.277799,0.086912,0.1908869817852974,0.223413,1.21673,0.289617,0.748665,0.382153,,3.569,3.79902,3.26652,71.16000366210938,,,,,,,900.2,4.865945945945946,849,4.589189189189189,5.07,4.59,4.28,4.02,3.8,3.59,3.38,3.14,2.85,4.43,4.23,4.09,3.98,3.88,3.78,3.67,3.55,3.4,"Dylan Cease","18525",656302
"Framber Valdez",,12.0963,9.928,19.1901,3.47533,30.78,30.78,0,0,,190.384,795.254,180.406,81.4126,73.5163,16.098,62.7257,0.4223,7.8452,178.511,8.43872,2.96523,2.84589,0.761,0.22447,0.078875,0.145594984292984,0.248945,1.27706,0.309972,0.733106,0.559,,3.47112,3.71958,3.81603,93.27999877929688,,,,,,,886.2,4.66421052631579,887,4.668421052631579,5,4.53,4.22,3.97,3.76,3.55,3.34,3.11,2.82,4.37,4.17,4.04,3.93,3.83,3.73,3.63,3.51,3.36,"Framber Valdez","17295",664285
"Max Fried","NYY",12.7191,9.2178,19.496,3.33934,30.78,30.78,0,0,,189.434,791.286,177.734,77.7798,70.2871,18.8592,54.4136,0.6314,7.4349,178.834,8.49639,2.58519,3.28656,0.896,0.226004,0.068766,0.15723782032728195,0.243658,1.22548,0.29878,0.750287,0.506053,,3.52075,3.64763,3.70727,58.84000015258789,,,,,,,877.1000000000001,4.640740740740742,873,4.619047619047619,4.83,4.37,4.06,3.81,3.6,3.4,3.19,2.97,2.68,4.22,4.02,3.89,3.78,3.67,3.58,3.47,3.36,3.2,"Max Fried","13743",608331
