,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
0,Tarik Skubal,DET,13.9743,8.9675,22.5884,2.81067,32.0,32.0,0.0,0.0,,199.765,797.146,160.077,68.4818,62.3859,20.3538,43.5449,0.3643,7.1193,242.291,10.9159,1.96183,5.56417,0.917,0.303948,0.054626,0.2493220716714859,0.214442,1.01931,0.288781,0.771671,0.423339,,2.79479,5.85837,5.79614,5.920000076293945,,,,,,,1149.0,5.745,1071,5.355,4.1,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.56,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,Tarik Skubal,22267,669373.0,669373.0
1,Paul Skenes,PIT,12.985,9.6588,21.3168,2.9048,32.0,32.0,0.0,0.0,,193.982,785.032,157.559,68.8871,62.6086,17.5014,51.5523,0.5024,7.1666,236.904,10.9914,2.39183,4.59541,0.812,0.301776,0.065669,0.2361070662736892,0.21693,1.078,0.296791,0.759573,0.444132,,2.77359,5.69502,5.73886,10.079999923706056,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.27,3.82,3.53,3.3,3.1,2.91,2.72,2.51,2.25,3.74,3.53,3.39,3.27,3.17,3.07,2.96,2.85,2.69,Paul Skenes,33677,694973.0,694973.0
2,Garrett Crochet,BOS,13.5212,9.0303,20.7574,3.01169,32.0,32.0,0.0,0.0,,192.855,773.587,157.452,70.6553,64.5356,19.5212,49.7184,0.4928,6.0061,238.812,11.1447,2.32021,4.8033,0.911,0.308708,0.06427,0.2444380596280098,0.219335,1.07423,0.300157,0.759089,0.455553,,2.84126,5.59021,5.38187,9.539999961853027,,,,,,,1084.0,5.616580310880829,1015,5.259067357512953,4.38,3.93,3.64,3.4,3.2,3.01,2.81,2.6,2.34,3.83,3.63,3.49,3.38,3.27,3.17,3.07,2.95,2.8,Garrett Crochet,27463,676979.0,676979.0
3,Cristopher Sanchez,PHI,13.3963,9.4709,21.071,3.16284,32.0,32.0,0.0,0.0,,198.055,813.033,183.568,77.502,69.6018,17.6489,50.03,0.496,6.6823,192.494,8.74729,2.27346,3.84757,0.802,0.23676,0.061535,0.1752251088619232,0.242712,1.17946,0.303782,0.747266,0.544945,,3.20878,4.69047,4.98817,31.540000915527344,,,,,,,978.4,4.941414141414142,969,4.893939393939394,4.61,4.17,3.87,3.64,3.43,3.23,3.04,2.82,2.55,4.03,3.84,3.71,3.6,3.5,3.4,3.3,3.19,3.04,Cristopher Sanchez,20778,650911.0,650911.0
4,Jacob deGrom,TEX,12.0893,9.5864,18.2329,3.47579,30.78,30.78,0.0,0.0,,184.508,754.017,159.572,76.8084,71.2568,24.6831,41.9528,0.4637,5.6295,213.742,10.426,2.04639,5.09482,1.204,0.283471,0.0556391,0.2278319858014583,0.225884,1.09223,0.288219,0.746946,0.378991,,3.33102,4.30862,3.70751,43.619998931884766,,,,,,,929.5,5.024324324324325,884,4.778378378378378,4.96,4.46,4.13,3.87,3.64,3.42,3.21,2.97,2.67,4.38,4.14,3.97,3.84,3.72,3.6,3.47,3.34,3.15,Jacob deGrom,10954,594798.0,594798.0
5,Cole Ragans,KC,11.8554,8.4949,17.6208,3.22663,29.16,29.16,0.0,0.0,,172.018,709.938,138.75,67.1064,61.671,17.8325,62.1714,0.5971,5.6277,210.515,11.0142,3.25281,3.38605,0.933,0.296526,0.087573,0.2089531645178794,0.216075,1.16803,0.292219,0.760504,0.399122,,3.21763,4.25006,4.34194,51.459999084472656,,,,,,,908.0,5.27906976744186,844,4.906976744186046,4.69,4.2,3.88,3.62,3.4,3.19,2.98,2.75,2.46,4.09,3.87,3.72,3.59,3.48,3.37,3.26,3.13,2.96,Cole Ragans,21846,666142.0,666142.0
6,Chris Sale,ATL,12.033,7.5091,17.7203,3.19657,27.54,27.54,0.0,0.0,,168.535,685.938,139.972,65.0717,59.8593,18.0894,44.2691,0.5234,8.6113,205.556,10.977,2.36403,4.64334,0.966,0.299672,0.064538,0.2351339310407638,0.221105,1.09319,0.297702,0.74989,0.416999,,3.03243,4.15165,4.31631,31.229999542236328,,,,,,,918.2,5.433136094674556,864,5.112426035502959,4.65,4.16,3.84,3.59,3.37,3.16,2.95,2.72,2.43,4.03,3.82,3.68,3.56,3.45,3.34,3.23,3.11,2.95,Chris Sale,10603,519242.0,519242.0
7,Logan Webb,SF,12.4846,10.5052,20.7308,3.32125,32.0,32.0,0.0,0.0,,199.392,830.798,193.832,81.8613,73.581,16.8154,46.9143,0.7552,6.0507,187.219,8.45055,2.11759,3.99065,0.759,0.225348,0.056469,0.1688790917396545,0.249194,1.2074,0.308499,0.731498,0.546891,,3.15047,4.06225,3.91161,54.619998931884766,,,,,,,974.1000000000004,4.894974874371861,989,4.969849246231155,4.8,4.35,4.05,3.81,3.6,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,Logan Webb,17995,657277.0,657277.0
8,Sonny Gray,BOS,11.4696,10.0476,17.017,3.6836,30.78,30.78,0.0,0.0,,181.357,756.916,171.09,80.7045,74.2274,21.2188,47.691,0.5011,5.6572,189.838,9.42085,2.36671,3.98057,1.053,0.250804,0.063007,0.1877970471978187,0.243175,1.20635,0.3043,0.730275,0.450969,,3.4451,3.87324,3.46659,115.2300033569336,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,5.21,4.72,4.39,4.13,3.91,3.69,3.47,3.23,2.93,4.55,4.35,4.21,4.09,3.98,3.88,3.77,3.65,3.49,Sonny Gray,12768,543243.0,543243.0
9,Dylan Cease,TOR,12.31,9.8221,17.3738,3.60353,32.0,32.0,0.0,0.0,,184.857,777.691,157.24,80.0197,74.0154,22.4499,67.6194,1.179,5.8895,216.008,10.5166,3.29214,3.19446,1.093,0.277755,0.0869489,0.1908060014247894,0.223294,1.21639,0.28942,0.748798,0.382153,,3.56985,3.79973,3.26909,71.62000274658203,,,,,,,900.2,4.865945945945946,849,4.589189189189189,5.07,4.59,4.27,4.02,3.8,3.59,3.38,3.14,2.85,4.42,4.23,4.09,3.98,3.88,3.77,3.67,3.55,3.39,Dylan Cease,18525,656302.0,656302.0
10,Framber Valdez,,12.0547,9.9727,19.1955,3.4737,30.78,30.78,0.0,0.0,,190.384,795.254,180.366,81.3781,73.4818,16.098,62.6994,0.4223,7.8436,178.551,8.44064,2.96398,2.84774,0.761,0.224521,0.078842,0.1456791087985038,0.24888,1.27671,0.309904,0.733182,0.559,,3.47025,3.71896,3.81339,90.54000091552734,,,,,,,886.2,4.66421052631579,887,4.668421052631579,5.0,4.53,4.22,3.97,3.75,3.55,3.34,3.11,2.82,4.36,4.17,4.04,3.93,3.83,3.73,3.63,3.51,3.36,Framber Valdez,17295,664285.0,664285.0
11,Max Fried,NYY,12.7914,9.1446,19.4899,3.3411,30.78,30.78,0.0,0.0,,189.434,791.286,177.78,77.8169,70.3241,18.8592,54.4412,0.6314,7.4365,178.823,8.49587,2.5865,3.28469,0.896,0.22599,0.0688009,0.1571890413761139,0.243732,1.22587,0.298877,0.750197,0.506053,,3.52132,3.64771,3.70867,57.150001525878906,,,,,,,877.1000000000001,4.640740740740742,873,4.619047619047619,4.83,4.37,4.06,3.82,3.6,3.4,3.19,2.97,2.68,4.22,4.02,3.89,3.78,3.68,3.58,3.47,3.36,3.2,Max Fried,13743,608331.0,608331.0
12,Yoshinobu Yamamoto,LAD,11.3487,7.7941,15.8266,3.43291,27.54,27.54,0.0,0.0,,161.291,667.873,144.913,67.5458,61.5221,17.3478,49.2116,0.4254,5.4358,169.564,9.46159,2.74599,3.4456,0.968,0.253886,0.0736841,0.1802019104361534,0.236313,1.20356,0.299228,0.745292,0.493667,,3.44722,3.60549,3.44652,22.309999465942383,,,,,,,783.3000000000002,4.865217391304349,762,4.732919254658385,5.0,4.49,4.16,3.89,3.66,3.44,3.22,2.98,2.68,4.31,4.11,3.97,3.85,3.75,3.64,3.54,3.42,3.26,Yoshinobu Yamamoto,33825,808967.0,808967.0
13,Hunter Brown,HOU,11.9777,9.6835,17.6522,3.63135,30.78,30.78,0.0,0.0,,184.176,769.968,165.005,81.0929,74.3121,20.8733,60.9368,0.5467,7.1738,199.998,9.77313,2.97775,3.28205,1.02,0.259748,0.079142,0.1806062012910843,0.235098,1.22677,0.299659,0.736324,0.472851,,3.5461,3.58694,3.28731,33.310001373291016,,,,,,,870.3000000000002,4.729891304347827,843,4.581521739130435,5.16,4.67,4.35,4.09,3.86,3.65,3.43,3.2,2.89,4.52,4.31,4.17,4.05,3.94,3.83,3.73,3.6,3.44,Hunter Brown,25880,686613.0,686613.0
