,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
0,Aaron Judge,NYY,149.526,657.062,534.031,153.234,74.7521,26.8212,0.405032,51.2554,109.058,124.116,111.716,18.7403,167.301,6.18434,4.35114,0.516976,9.17506,7.97423,2.94562,0.286938,0.1700235289820443,0.25461980756762675,0.667751,0.413136,0.626614,0.428784,1.03975,0.339676,3.20894,0.318857,,-0.759547,139.375,61.7381,181.045,-0.759547,0.0,62.00383162498474,-7.223478317260742,7.91851,1.9700000286102293,,,,,,,1241.3,8.275333333,1241.3,8.275333333,,,,,,,,,,,,,,,,,,,Aaron Judge,15640,592450,592450.0
1,Juan Soto,NYM,154.118,675.807,546.088,147.556,82.7742,26.2996,0.383275,38.0987,107.147,99.2277,120.688,8.81525,122.808,4.13233,3.83052,1.06828,13.783,16.5372,6.01995,0.270205,0.17858353050501105,0.1817205207995774,0.982732,0.403676,0.529068,0.397251,0.932744,0.258863,3.71052,0.281372,,-0.470105,126.049,46.1973,161.016,-0.470105,0.0,48.40169495344162,-7.329244613647461,6.50265,4.760000228881836,,,,,,,1105.9,7.181168831,1105.9,7.181168831,,,,,,,,,,,,,,,,,,,Juan Soto,20123,665742,665742.0
2,Cal Raleigh,SEA,151.619,630.678,544.679,122.082,59.2961,22.5803,0.841916,39.3635,82.7381,104.405,74.7182,6.96623,174.636,6.30437,4.47638,0.499608,6.42435,7.36924,2.61182,0.224135,0.11847281814174586,0.2769020007040043,0.427851,0.322297,0.48549,0.342625,0.807786,0.261355,3.60596,0.246805,,-0.476088,89.661,15.1415,127.097,-0.476088,14.95,19.665933281183243,21.77839422225952,6.46116,19.149999618530277,,,,,,,825.1,5.428289473,825.1,5.428289473,,,,,,,,,,,,,,,,,,,Cal Raleigh,21534,663728,663728.0
3,Shohei Ohtani,LAD,147.896,658.279,557.717,158.824,77.5728,30.6677,3.08285,47.5005,120.605,118.765,90.4124,13.3669,156.326,4.76186,3.59671,0.725551,8.68517,25.3281,8.14233,0.284775,0.13734662658234578,0.2374768145421622,0.578359,0.386905,0.606327,0.412398,0.993232,0.321552,5.96146,0.311405,,0.679012,130.876,53.095,168.6,0.679012,0.0,54.20087790489197,-13.96137523651123,6.35776,1.059999942779541,,,,,,,1200.7,8.112837837,1200.7,8.112837837,,,,,,,,,,,,,,,,,,,Shohei Ohtani,19755,660271,660271.0
4,Bobby Witt Jr.,KC,152.128,663.196,602.045,175.418,103.203,35.5154,5.52466,31.1748,104.858,96.4607,48.0708,5.00208,113.486,6.50736,5.7189,0.853736,7.15089,36.9328,8.52333,0.291371,0.07248354935795752,0.1711198499387813,0.423585,0.347247,0.524059,0.368577,0.871306,0.232689,7.0106,0.311471,,2.88751,108.257,29.8957,135.426,2.88751,0.0,30.57822036743164,7.042963027954102,6.18452,3.2100000381469727,,,,,,,1018.1,6.698026315,1018.1,6.698026315,,,,,,,,,,,,,,,,,,,Bobby Witt Jr.,25764,677951,677951.0
5,Gunnar Henderson,BAL,152.69,658.346,581.831,155.679,93.6393,34.5923,2.67898,24.768,94.1263,80.3678,64.8546,3.15741,139.999,5.744,5.39469,0.521398,12.2284,20.4058,5.17346,0.267567,0.09851142104607609,0.2126526173167301,0.463249,0.343978,0.463937,0.347434,0.807914,0.19637,5.58656,0.309878,,0.899131,96.1644,18.3758,125.322,0.899131,0.0,20.547551810741425,7.068981647491455,5.14384,14.0600004196167,,,,,,,882.2,5.766013071,882.2,5.766013071,,,,,,,,,,,,,,,,,,,Gunnar Henderson,26289,683002,683002.0
6,Julio Rodriguez,SEA,151.594,659.737,598.344,163.48,103.457,25.7899,6.14494,28.0884,95.4595,87.4803,47.7214,3.6254,146.427,9.24325,3.88399,0.544749,10.8081,25.5645,6.55144,0.273222,0.0723339755084223,0.2219475336384044,0.325906,0.334417,0.477695,0.347348,0.812112,0.204473,6.69546,0.316549,,1.39485,96.3219,18.3689,130.35,1.39485,0.0,24.994624137878414,2.1484408378601074,5.10029,10.59000015258789,,,,,,,888.4,5.844736842,888.4,5.844736842,,,,,,,,,,,,,,,,,,,Julio Rodriguez,23697,677594,677594.0
7,Vladimir Guerrero Jr.,TOR,154.203,668.178,583.429,174.242,110.381,30.9851,1.14705,31.7286,98.6949,97.3696,72.5993,7.02941,88.8199,7.21647,4.31519,0.617649,16.6596,5.78028,2.23885,0.298651,0.10865263447763919,0.13292850108803345,0.817377,0.380576,0.518841,0.383338,0.899417,0.22019,3.45212,0.30504,,-0.970004,117.078,38.1281,149.214,-0.970004,0.0,37.78762888908386,-12.09464168548584,4.98166,17.81999969482422,,,,,,,1033.6,6.711688311,1033.6,6.711688311,,,,,,,,,,,,,,,,,,,Vladimir Guerrero Jr.,19611,665489,665489.0
8,Ketel Marte,ARI,143.484,626.458,546.441,150.71,87.4516,31.5751,1.84017,29.8427,87.7171,96.9843,68.1649,4.46883,103.312,6.47826,4.34154,0.636996,13.0281,4.88188,1.79921,0.275802,0.10881000801330656,0.16491448748359827,0.6598,0.360319,0.504158,0.369009,0.864477,0.228357,3.64282,0.289412,,-0.801028,102.48,28.4594,137.384,-0.801028,0.0,26.955811381340027,0.0729974806308746,4.89782,42.470001220703125,,,,,,,911.7,6.375524475,911.7,6.375524475,,,,,,,,,,,,,,,,,,,Ketel Marte,13613,606466,606466.0
9,Corey Seager,TEX,124.652,533.572,460.056,126.701,74.0965,23.8201,0.663181,28.1211,71.6211,84.0326,60.3328,8.53924,100.549,4.70371,4.29675,0.478997,10.444,1.70582,0.682577,0.275404,0.11307339965365498,0.18844504584198574,0.600032,0.362186,0.51344,0.370089,0.875626,0.238036,2.35077,0.29367,,-0.800502,87.7535,24.7078,140.89,-0.800502,0.0,24.91425633430481,3.3663735389709477,4.7724,107.41000366210938,,,,,,,785.7,6.2856,785.7,6.2856,,,,,,,,,,,,,,,,,,,Corey Seager,13624,608369,608369.0
