Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13.7063,8.99597,13.1278,2.81978,32,32,0,0,,185.536,740.166,143.741,62.2,58.13,15.0906,45.6284,0.451641,6.54955,215.017,10.4301,2.21335,4.71235,0.732017,0.290499,0.0616463,0.22885258123278618,0.208929,1.02066,0.280969,0.755869,,,2.71838,6.04401,5.72047,10.170000076293945,,,,,,,1088.5,5.852150537634409,1006,5.408602150537634,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",13.7491,8.92912,13.0787,2.81979,32,32,0,0,,185.248,729.164,140.313,62.32,58.04,19.3892,37.9081,0.495236,5.93083,222.886,10.8286,1.84171,5.87965,0.941997,0.305674,0.0519884,0.2536854222416878,0.20474,0.962069,0.272936,0.76717,,,2.79939,5.82362,5.64841,6.559999942779541,,,,,,,1085.3,5.866486486486486,992,5.3621621621621625,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",14.2118,9.07026,14.9251,3.15984,32,32,0,0,,194.592,781.818,156.405,73.34,68.32,21.9923,47.8964,0.570996,5.55109,235.162,10.8764,2.21524,4.9098,1.01716,0.300789,0.0612629,0.23952574282884598,0.214733,1.0499,0.285247,0.754768,,,3.01138,5.50953,5.06684,10.609999656677246,,,,,,,1074.8000000000002,5.511794871794873,997,5.112820512820512,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.4265,9.89955,15.3503,3.34996,32,32,0,0,,196.256,805.184,182.5,78.4,73.05,15.4105,45.768,0.830131,6.22067,186.01,8.53014,2.09885,4.0642,0.706704,0.231016,0.0568416,0.17417392507195473,0.242301,1.16311,0.302822,0.725074,,,3.05505,5.09911,4.56448,54.88999938964844,,,,,,,1008.7,5.146428571428571,1001,5.107142857142857,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cole Ragans","KCR",11.8322,8.66824,12.2873,3.31017,29,29,0,0,,168.49,692.391,131.07,66.05,61.97,17.716,60.0417,0.570676,5.41389,210.803,11.2602,3.20717,3.51094,0.94631,0.304456,0.0867164,0.21773941814899445,0.209064,1.13426,0.284511,0.751982,,,3.16522,4.52156,4.00383,50.779998779296875,,,,,,,908.1999999999999,5.405952380952381,833,4.958333333333333,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Cristopher Sánchez","PHI",12.8204,9.38161,12.569,3.30007,32,32,0,0,,180.16,736.228,162.481,71.36,66.06,15.39,44.2596,0.456395,5.47121,175.28,8.7562,2.21102,3.96026,0.768817,0.238078,0.0601167,0.17796099931001663,0.236681,1.14754,0.296657,0.731018,,,3.12794,4.48966,4.25454,29.389999389648438,,,,,,,929.3,5.1627777777777775,908,5.044444444444444,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",11.8175,8.30316,12.977,3.59004,28,28,0,0,,168.14,692.598,141.783,71.86,67.07,18.8907,46.9771,0.439189,8.87581,208.594,11.1654,2.51454,4.44032,1.01116,0.301176,0.0678274,0.2333482727408409,0.222668,1.12264,0.300279,0.720213,,,3.11105,4.44233,3.33859,32.66999816894531,,,,,,,890.3,5.2994047619047615,843,5.017857142857143,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",12.564,9.66376,12.6166,3.32001,32,32,0,0,,180.352,719.116,147.839,71.06,66.53,23.5134,34.0295,0.478972,6.57099,181.657,9.06511,1.69816,5.33821,1.17338,0.252611,0.0473213,0.20528995990753174,0.217886,1.00841,0.262653,0.743933,,,3.4909,4.25714,4.25454,40.11000061035156,,,,,,,893,4.961111111111111,829,4.605555555555555,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Jesús Luzardo","PHI",12.2933,9.80073,14.1447,3.7501,31,31,0,0,,184.171,765.291,160.704,82.76,76.74,22.212,57.8019,0.512655,5.70054,205.45,10.0399,2.82464,3.55438,1.08545,0.26846,0.0755293,0.19293074309825897,0.228992,1.18643,0.2921,0.72433,,,3.50633,4.14032,3.20717,71.22000122070312,,,,,,,890.4,4.839130434782609,852,4.630434782608695,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"George Kirby","SEA",11.7909,9.9027,12.9765,3.63979,31,31,0,0,,177.785,722.882,159.052,76.91,71.9,21.76,35.212,0.477571,6.51347,170.707,8.64171,1.78254,4.84799,1.10156,0.236148,0.0487106,0.18743766844272614,0.233503,1.09269,0.280939,0.716447,,,3.50998,4.12578,3.45735,64.72000122070312,,,,,,,849.1999999999999,4.770786516853932,820,4.606741573033708,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Yoshinobu Yamamoto","LAD",12.8686,7.11052,12.2511,3.26006,28,28,0,0,,165.144,673.933,135.642,64.13,59.82,15.6937,50.2413,0.397943,5.38455,179.231,9.76772,2.73804,3.56741,0.855272,0.265948,0.0745494,0.19139868021011353,0.219376,1.12558,0.283309,0.742796,,,3.21042,4.10767,4.02722,23.389999389648438,,,,,,,863.6,5.233939393939394,810,4.909090909090909,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Logan Gilbert","SEA",11.0374,8.92379,11.0743,3.40982,29,29,0,0,,160.979,645.695,130.447,65.29,60.99,21.3372,36.5983,0.503553,4.92803,188.935,10.5629,2.04613,5.16239,1.19292,0.292607,0.0566805,0.23592624813318253,0.215912,1.03769,0.277002,0.741802,,,3.2848,4.03978,3.63707,38.66999816894531,,,,,,,847.1000000000001,5.261490683229814,784,4.869565217391305,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
