,rank,player_name,positions,organization,eta,comp,prime_skills,ranking_explanation,previous_rank,hit_grade,plate_approach_grade,power_grade,speed_grade,f score check
0,1,Konnor Griffin,SS/OF,Pirates,Late 2026,Light Fernando Tatis Jr. with an Elly de la Cruz statistical profile,"Griffin is a big righty with a good arm as a high school pitcher and he has some massive power upside. The high stance and high and tight hands in his swing reminds me of Fernando Tatis Jr. and like Tatis, he will probably have plenty of swing and miss to go with the damage. Tools for days here as Griffin has already posted a max EV of 114.2 and has a 90th percentile EV of nearly 108. The hit tool is better than expected, but still might only tune in at slightly above league average as he could do better on the angles ala Elly de la Cruz coming up (52% groundball rate and only 7 degree average launch angle). Griffin was able to get 48 extra bas ts in 122 games in 2025 in addition to the 65 stolen bases on the season.","Griffin has the highest upside of any prospect in baseball and has shown this season to have a much safer hit tool than previously expected after some changes to his batting stance. He could maximize his skillset further by becoming more efficient on the basepaths and improving his bat path for better angles to generate a higher level of quality contact. Griffin seemingly improved upon being promoted from low A to AA throughout the course of the season and while some think he will break camp, I doubt the Pirates will allow him to skip AAA and think the absolute best case scenario for promotion would be June or July sans a team friendly long-term contract.",1,50/55,45/55,60/70,70/70,Y
1,2,Kevin McGonigle,2B/SS,Tigers,Early 2026,"Chase Utley wannabe, but the profile might be more like Nomar Garciaparra","This kid has an insane hit tool and plate skills with developing power. Despite lackluster angles in our limited statcast data available with only a 6.3% barrel rate and a 103.6 90th percentile, he has recorded much higher max EVs to last year constantly touching 111 and reportedly hitting 112 mph. He’s a doubles machine with 31 doubles in only 88 games this year and pretty crazy 52 extra base hits in those 88 games, which has to be the highest XBH / game played in the minores.","It’s hard to show concern for a guy with such a honed hit tool and a nicely developing power stroke, however the speed has taken a dump this year as he went from 22 steals and only 2 caught stealing last year to only 10 steals and 7 times caught stealing this year. There are also some injury concerns I have that nobody wants to discuss, but he only played in 74 games last year after breaking a hamate bone and this year has only played in 88 games after starting the year late from a high ankle sprain. Griffin has a higher power/speed upsides, but in a points league, I’m probably picking McGonigle first overall.",4,60/70,70/70,55/60,45/50,Y
2,4,Samuel Basallo,C/1B,Orioles,Debuted,Kyle Schwarber with a better hit tool,"Solid plate discipline and crazy power for his age, Bassallo has improved as the season has gone on in regards to quality of contact and angles. The dude is built for his age with fast hands, but a tight / weird batting stance. He will likely move off the catcher position full-time because of Rutschman. The contact rates are slightly below average (but we should also be considering his age), but the quality of contact numbers are ridiculous as he’s rocking a 21.5 barrel% and 15 average LA on the season with more line drives and flyballs coming as the season has gone on. Between majors and minors Basallo knocked a ridiculous 50 extra base hits in only 107 games played.","Basallo has massive power potential as he is currently rocking a 108.3 90th percentile EV, 115.9 max EV and 94.2 average EV as a 20-year-old the majority of the season at AAA. He doesn’t have wheels and luckily it sounds like the Orioles have a plan for playing time as a backup C and DH so I wouldn’t worry too much about playing time. He may have the highest age adjusted wRC+ due to his performance way above expected at AAA and the MLB. He is a max four category guy, so that will always limit his fantasy ceiling outside of points leagues.",3,50/60,50/60,65/70,35/40,Y
3,5,JJ Wetherholt,2B/SS/3B,Cardinals,Early 2026,Corbin Carroll / Marcus Semien mash-up,"Wetherholt hits the crap out of the ball for a smaller guy, is athletic and has a great eye at the plate. He has quick, an easy swing and great bat control that will likely lead to an early career high doubles profile that later translates into more power as he gets closer to his peak. Wetherholt has an average EV of 91.4 this season at AAA with a 109.2 max EV to go along with an aggressive in zone approach with a high propensity for quality contact with an 11.9 barrel% and great angles with an aptitude to hit to all fields with a near 25% linedrive rate. Wetherholt hit an impressive 47 extra base hits in only 109 games for the Cardinal.","Wetherholt is probably the most well-rounded prospect in this rankings update and should have a number of .280/.370/.480 seasons in the majors with 20/20 outcomes from what will likely either be second or third base. In AAA he played 12 games at third, 24 games at SS and only 3 games at second base. It will be interesting to see where the Cardinals fit him in around Masyn Winn, the assumption is he plays primarily second base, but I think he has the defensive chops to play third base. Wetherholt has a very high floor and while there are prospects lower in the rankings with a higher ceiling, Wetherholt appears to be a lock as an All Star caliber player and while he doesn’t have an elite tool like Basallo’s power, his super power is consistency in all assets of the game.",6,60/65,65/70,50/55,55/60,Y
4,6,Max Clark,OF,Tigers,Late 2026,Corbin Carroll,"Multi-sport athlete; has a really nice hit tool, a lot of speed and should develop more power as he ages. He’s likely to develop more into a speed first, 15-20 homer type based on the small sample size of what we have seen in the minors and pre-draft, though there is room for growth as his low A max EV last year was 106.7 and he’s recorded up to a 111.2 max EV this year in limited data samples. While the hit tool is already 70 grade from a contact standpoint, it’s subpar in regards to squaring up despite a much improved batted ball profile and angles since getting to AA. My biggest worry is the power tool at this point, especially from a split standpoint where all ten of his homers have come against righties this season, while last year he actually hit lefties better than righties, but he is working hard this offseason to hone his power swing. With his speed, he should be more aggressive on the basepaths. Clark only had 36 extra base hits in 111 games in 2025, but there’s definitely more power upside in his bat.","Clark was drafted primarily for the potential of his tools, but his hit tool and plate skills are the most impressive pieces of his profile right now. He looks like he could be one of the better players in baseball when he makes it to the big leagues - I would like to see him swing more aggressively in the zone, but funny enough the profile almost resembles Riley Greene with slightly less power, but a lot more speed, though he needs to be more aggressive on the basepaths. If Clark can run more and better utilize his speed, he could regain top prospect status prior to graduation.",2,60/70,60/70,45/60,55/70,Y
5,7,Jesus Made,SS,Brewers,Late 2027,Smaller switch-hitting infield Christian Yelich profile and swing mechanics,"We don’t have a lot of statcast data on Made yet, but we have a recorded max EV of 111 at high A and a reported 90th percentile EV of 103.9 with an advanced hit tool on both sides of the plate. Made is a true switch hitter with no split concerns though the slash as a righty is a bit better despite a higher K rate against lefties. Made is aggressive on the basepaths, but needs to clean up the steals game a bit having been caught stealing 13 times this year. Made hit 40 extra base hits in 115 games in 2025, including 16 of which that came in his last 44 games in the second half.","Made’s plate skills and athleticism have been impressive this season and though he has a leaner, but more twitchy type athleticism to him. He’s playing way above age-to-level just like Clark and others like De Vries and Walcott, but has tended to a stronger all around profile with a higher floor and just as high of a ceiling. Most will have Made ahead of Clark and I get it, but Clark is such a beast when it comes to work ethic and I believe the speed for him is all about when he starts aggressively running, not if - still love made obviously as he is a potential future #1 prospect.",8,55/65,55/60,50/60,60/65,Y
6,9,Edward Florentino,OF,Pirates,2028,Lefty Julio Rodriguez with potentially a better hit tool,"Florentino is a big, twitchy lefty with a large stride in his swing and is definitely the largest riser from the last ranking to this one after demonstrating a smooth transition to A ball with a plus to potentially plus, plus hit tool thanks to maybe the best angles in baseball. The power is fantastic and Florentino is the master of fScores with the highest grade of anyone in the minors. Florentino put up a world beating 41 extra base hits in only 83 games in 2025.","The hit tool is only dampered by the fact he could afford to be more aggressive in-zone to avoid Emmanuel Rodriguez syndrome as he climbs the ranks and he does have some trouble against lefties, at least a low A. Florentino has the highest upside to anyone not named Griffin or McGonigle, but we have to keep the fact he’s only played up to low A in tow in order to reign in an accurate ranking. Further proximity also affects this ranking, but he’s still top 10 and may be a future #1 at some point after some guys in front of him graduate.",12,60/70,55/60,50/65,60/60,Y
7,10,Walker Jenkins,OF,Twins,Mid 2026,Larry Walker / OF Freddie Freeman,"Big, strong lefty for his age and one of the top five guys from the 2023 draft class. He has a ton of pull power, but can hit for extra base hits through all fields. Jenkins’ carrying tool thus far has been the combo of his plus hit tool, alongside an above average plate approach, but he has not yet developed the power his big frame should get into and he needs to work on his angles - though the angles and power did improve significantly toward the tail end of the season when he got healthy. Jenkins only played in 84 games in 2025, but hit 29 extra base hits.","It should be noted despite too many injuries, Jenkins has still managed to climb to AAA at the age of 20 and have strong numbers. If he had consistent health he would be seen as a consensus top 10 prospect, but I suspect others will weigh the lack of plate appearances and the back of baseball card stats against him - providing some nice value in dynasty leagues. Jenkins profiles more as a points league darling due to an average to above average expected output in the steals department.",7,60/70,55/65,50/60,55/50,Y
8,11,Luis M. Pena,SS/3B,Brewers,Mid 2027,Righty only Francisco Lindor mechanics meets a light Jose Ramirez skillset,"Pena is a shorter build for a 3B ala Jose Ramirez and has a good hit tool with an 78.5% contact rate that has taken a beating at high A. While you might think I’m crazy to compare Pena to Jose Ramirez, J Ram was basically a non-prospect seen as just a slightly solid player around the board. Pena has a drastic edge on him from prospecting standards and may be available at a discount compared to the industry thanks to some struggles a high A while he hit 33 extra base hits in only 96 games in 2025.","Pena has struggled a bit in his high A small sample size by being too patient, which has resulted in both a lower contact rate and high K rate at the level with only a 37.6% swing rate. If Pena were more aggressive at the plate he would run into better counting stats, but for now as he transitions up levels, though the upside is there we must be a tad hesitant to bump him ahead of higher proximity guys. Jenkins gets an edge to Pena with a higher floor, while they have similar ceilings.",15,55/65,50/55,50/60,60/65,Y
9,12,Aidan Miller,SS,Phillies,Mid 2026,Royce Lewis w/ killer speed and health,"This dude is an athlete, I had a live look on him and he’s really just a super athlete and a gamer. A lot of people thought he would move off SS to 3B, but he looks super smooth and athletic and he should stay at SS as long as he can. He has above average to plus tools across the board with an improved hit tool this year and a great ability to pull the ball in the air plus quality attack angles, but Miller is still pretty raw and seems to run into issues when he gets to a new level, then adapts. He’s young for the level at AAA and with improved athleticism he may be able to stick at SS if the Phillies wanted to move Trea to 2B as he ages, but Miller will likely land at 3B. Miller knocked 43 extra base hits in 116 games in 2025 to go along with the 59 stolen bases.","Miller’s improved hit and speed in 2025 have changed his career arc from being a potential Matt Shaw type to being a level above, he has All Star potential if not greater if he continues to progress at the current rate. Pena has more of a track record in the hit and speed departments and while Miller should get to more power, he has had less consistency in his MILB career, though it’s close because he also has much closer proximity to the majors than Pena. Pena gets a slight edge due to a safer floor.",38,55/60,55/60,55/60,65/60,Y
10,13,Sebastian Walcott,SS,Rangers,Early 2027,"Fernando Tatis Jr. - light, similar build and swing","Super raw, a huge 19-year-old kid with raw power for days (115.1 EV posted this spring). He needs to further develop the hit tool and plate skills, but the tools are there and he debuted at high A as a 17-year-old. He ran an improved hit tool in the second half and hit .323 with an 82% contact rate in the final month of the season, but the power was lacking. Ultimately the raw power and power ceiling are extremely high and he will get to the homers, the concern is if there will be a trade-off in the hit tool to get there. He also walked more than he struck out over this period. Walcott only managed to hit 34 extra base hits in 124 minor league games this year, but the age-to-level factor is real here and we should give him another year to jump forward in power.","The kid is still super raw and we are seeing the talent develop starting mid-season from a set of tools into a baseball player. Walcott is in this middle zone at this point where he has been pushed very hard, very fast by the Rangers as he’s a 3-4 years younger than the average player in AA hence the age adjusted wRC+ of 187 which is higher than anyone else we have looked at in the top of the rankings outside of Samuel Basallo who is now in the majors. Some patience is needed here with Walcott.",10,45/50,50/60,45/65,55/50,Y
11,14,Leo De Vries,SS,Athletics,Mid 2027,Switch hitting Alfonso Soriano at SS,"De Vries has super high upside across the board and is a potential five-tool switch hitting talent who has continually played at a high age-to-level. De Vries is absolutely electric and has a long swing despite quick hands, giving me that Soriano feeling. His contact rates improved after some transition with the Athletics and he gets to good angles. De Vries became more aggressive at the plate with the Athletics with an increased swing rate which will help his hit tool trend to plus considering his age to the level he’s at and he has a max EV at 110, however the 90th percentile is only at 102.1 mph and he has been caught stealing 8 times this year. I do have some splits concerns as he absolutely destroyed righties from the left side, but struggled against lefties from the other side of the plate. De Vries knocked a fantastic 51 extra base hits across only 118 games at a significant age-to-level disadvantage in 2025.","De Vries is a year behind Walcott, but since the two have traversed up the prospect rankings list together as a sort of athletic SS tandem way above age to level it’s hard not to compare them. Ultimately De Vries has better foundational mechanics and appears to have better bat speed, while Walcott is bigger and has a higher power ceiling with more raw athleticism and that’s what gives him the edge when I compare the two.",14,50/60,55/55,50/60,40/50,Y
12,16,Dylan Beavers,OF,Orioles,Debuted,Kyle Tucker mechanics with a Jarren Duran skillset,Big lefty outfielder who killed it in the doubles department last year and is not transitioning some of that into homerun power in 2025. There’s a potential 20/25 player here if he can hit enough to make it work as the 105.4 90th percentile EV and 111.6 max EV portend to at least 20 homer power. The hit tool has progressed dramatically since last season as he now has a well above average 89.5 Z-Contact% and 82.6 Contact% with only a 19.4% chase rate with excellent angles as he has rocked an average 17 degree launch angle this year and solid 9.3% barrel rate; he has a good bat for line drives. Beavers had 44 extra base hits in 129 games across the majors and minors in 2025 with 10 of those coming in 35 major league games.,"Beavers had a very strong 2024 and has only gotten better in 2025. I’ve been one of the higher guys on Beavers the last year or two and I expect him to finish higher on my list than others, as I think his hit tool could be greater than plus and the transition to the majors may depend on a his above average plate approach tracking to plus to see if he can avoid falling into inconsistencies. Beavers has a very high floor thanks to the evolution of his hit tool and while some younger shortstops like De Vries and Walcott have higher ceilings for power the proximity bump and sure hit tool of Beavers draws him a little closer to that higher tier of guys in my ranking than in most.",21,60/65,60/60,55/55,60/55,Y
