,HomeTeam,Umpire,Today,K Boost,BB Boost,UmpK,UmpBB
1,COL,Marvin Hudson,SD @ COL,0.88,0.94,0.94,0.97
2,NYM,Lance Barksdale,CHC @ NYM,0.9,1.07,0.95,1.0350000000000001
3,WSH,Laz Diaz,STL @ WSH,1.02,1.09,1.01,1.045
4,MIN,Adrian Johnson,SF @ MIN,1.01,1.13,1.005,1.065
5,DET,Andy Fletcher,TEX @ DET,0.97,1.06,0.985,1.03
6,KC,Ron Kulpa,BOS @ KC,0.95,0.85,0.975,0.925
7,SEA,Vic Carapazza,TOR @ SEA,0.94,0.89,0.97,0.9450000000000001
8,ARI,John Tumpane,LAD @ AZ,1.07,1.11,1.0350000000000001,1.0550000000000002
9,OAK,David Rackley,NYY @ ATH,0.97,1.0,0.985,1.0
10,TB,John Libka,MIL @ TB,0.97,1.06,0.985,1.03
11,CWS,Roberto Ortiz,MIA @ CWS,1.0,0.91,1.0,0.9550000000000001
12,LAA,Nestor Ceja,BAL @ LAA,0.99,0.93,0.995,0.9650000000000001
13,PIT,Clint Vondrak,ATL @ PIT,0.96,1.03,0.98,1.0150000000000001
14,CLE,Alex MacKay,PHI @ CLE,1.07,0.98,1.0350000000000001,0.99
15,HOU,Brock Ballou,CIN @ HOU,1.04,0.94,1.02,0.97
