,Unnamed: 0,DATE,TIME,GAME,TEAM,OPP,Pitcher,Proj
0,2,7-20,12:10pm ET,BAL@TB,BAL,TB,Trevor Rogers,12.4
1,3,7-20,12:10pm ET,BAL@TB,TB,BAL,Ryan Pepiot,18.4
2,19,7-20,2:20pm ET,BOS@CHC,CHC,BOS,Cade Horton,10.9
3,18,7-20,2:20pm ET,BOS@CHC,BOS,CHC,Garrett Crochet,21.9
4,15,7-20,1:40pm ET,CIN@NYM,NYM,CIN,David Peterson,15.1
5,14,7-20,1:40pm ET,CIN@NYM,CIN,NYM,Andrew Abbott,15.1
6,10,7-20,1:35pm ET,CWS@PIT,CWS,PIT,Aaron Civale,11.0
7,11,7-20,1:35pm ET,CWS@PIT,PIT,CWS,Andrew Heaney,10.9
8,29,7-20,7:10pm ET,DET@TEX,TEX,DET,Jacob Latz,13.5
9,28,7-20,7:10pm ET,DET@TEX,DET,TEX,Tarik Skubal,24.0
10,23,7-20,4:10pm ET,HOU@SEA,SEA,HOU,Bryan Woo,16.8
11,22,7-20,4:10pm ET,HOU@SEA,HOU,SEA,Hunter Brown,20.9
12,17,7-20,1:40pm ET,KC@MIA,MIA,KC,Janson Junk,12.7
13,16,7-20,1:40pm ET,KC@MIA,KC,MIA,Kris Bubic,15.7
14,8,7-20,1:35pm ET,LAA@PHI,LAA,PHI,Jose Soriano,12.5
15,9,7-20,1:35pm ET,LAA@PHI,PHI,LAA,Ranger Suarez,15.6
16,25,7-20,4:10pm ET,MIL@LAD,LAD,MIL,Clayton Kershaw,12.0
17,24,7-20,4:10pm ET,MIL@LAD,MIL,LAD,Jose Quintana,12.8
18,21,7-20,3:10pm ET,MIN@COL,COL,MIN,German Marquez,11.3
19,20,7-20,3:10pm ET,MIN@COL,MIN,COL,Joe Ryan,21.0
20,4,7-20,1:35pm ET,NYY@ATL,NYY,ATL,Marcus Stroman,11.2
21,5,7-20,1:35pm ET,NYY@ATL,ATL,NYY,Grant Holmes,20.0
22,13,7-20,1:40pm ET,OAK@CLE,CLE,OAK,Gavin Williams,15.9
23,12,7-20,1:40pm ET,OAK@CLE,OAK,CLE,Jeffrey Springs,11.2
24,6,7-20,1:35pm ET,SD@WSH,SD,WSH,Nick Pivetta,16.4
25,7,7-20,1:35pm ET,SD@WSH,WSH,SD,MacKenzie Gore,18.0
26,0,7-20,12:05pm ET,SF@TOR,SF,TOR,Robbie Ray,17.6
27,1,7-20,12:05pm ET,SF@TOR,TOR,SF,Jose Berrios,14.6
28,27,7-20,4:10pm ET,STL@ARI,ARI,STL,Merrill Kelly,15.9
29,26,7-20,4:10pm ET,STL@ARI,STL,ARI,Miles Mikolas,9.9
30,1,7-21,6:40pm ET,BAL@CLE,CLE,BAL,Tanner Bibee,15.7
31,0,7-21,6:40pm ET,BAL@CLE,BAL,CLE,Tomoyuki Sugano,10.2
32,8,7-21,6:45pm ET,BOS@PHI,BOS,PHI,Walker Buehler,10.8
33,9,7-21,6:45pm ET,BOS@PHI,PHI,BOS,Zack Wheeler,19.9
34,6,7-21,6:45pm ET,CIN@WSH,CIN,WSH,Brady Singer,14.9
35,7,7-21,6:45pm ET,CIN@WSH,WSH,CIN,Jake Irvin,11.8
36,17,7-21,7:35pm ET,CWS@TB,TB,CWS,Shane Baz,16.8
37,16,7-21,7:35pm ET,CWS@TB,CWS,TB,Sean Burke,11.9
38,2,7-21,6:40pm ET,DET@PIT,DET,PIT,Casey Mize,13.6
39,3,7-21,6:40pm ET,DET@PIT,PIT,DET,Mitch Keller,12.9
40,26,7-21,9:40pm ET,HOU@ARI,HOU,ARI,Framber Valdez,14.2
41,27,7-21,9:40pm ET,HOU@ARI,ARI,HOU,Zac Gallen,15.1
42,21,7-21,8:05pm ET,KC@CHC,CHC,KC,Chris Flexen,9.2
43,20,7-21,8:05pm ET,KC@CHC,KC,CHC,Noah Cameron,13.7
44,13,7-21,7:10pm ET,LAA@NYM,NYM,LAA,Kodai Senga,17.4
45,12,7-21,7:10pm ET,LAA@NYM,LAA,NYM,Tyler Anderson,11.9
46,24,7-21,9:40pm ET,MIL@SEA,MIL,SEA,Brandon Woodruff,17.8
47,25,7-21,9:40pm ET,MIL@SEA,SEA,MIL,Logan Gilbert,21.8
48,29,7-21,10:10pm ET,MIN@LAD,LAD,MIN,Shohei Ohtani,8.1
49,28,7-21,10:10pm ET,MIN@LAD,MIN,LAD,Simeon Woods Richardson,13.1
50,10,7-21,7:07pm ET,NYY@TOR,NYY,TOR,Carlos Rodon,17.7
51,11,7-21,7:07pm ET,NYY@TOR,TOR,NYY,Kevin Gausman,16.1
52,18,7-21,8:05pm ET,OAK@TEX,OAK,TEX,Jacob Lopez,14.2
53,19,7-21,8:05pm ET,OAK@TEX,TEX,OAK,Jacob deGrom,19.8
54,4,7-21,6:40pm ET,SD@MIA,SD,MIA,Randy Vasquez,7.9
55,5,7-21,6:40pm ET,SD@MIA,MIA,SD,Eury Perez,17.6
56,15,7-21,7:15pm ET,SF@ATL,ATL,SF,Davis Daniel,11.6
57,14,7-21,7:15pm ET,SF@ATL,SF,ATL,Hayden Birdsong,14.3
58,22,7-21,8:40pm ET,STL@COL,STL,COL,Matthew Liberatore,11.7
59,23,7-21,8:40pm ET,STL@COL,COL,STL,Austin Gomber,8.4
60,0,7-22,6:40pm ET,BAL@CLE,BAL,CLE,Brandon Young,13.3
61,1,7-22,6:40pm ET,BAL@CLE,CLE,BAL,Joey Cantillo,12.9
62,8,7-22,6:45pm ET,BOS@PHI,BOS,PHI,Richard Fitts,12.1
63,9,7-22,6:45pm ET,BOS@PHI,PHI,BOS,Cristopher Sanchez,14.5
64,7,7-22,6:45pm ET,CIN@WSH,WSH,CIN,Brad Lord,10.4
65,6,7-22,6:45pm ET,CIN@WSH,CIN,WSH,Chase Burns,17.8
66,17,7-22,7:35pm ET,CWS@TB,TB,CWS,Drew Rasmussen,12.8
67,16,7-22,7:35pm ET,CWS@TB,CWS,TB,Davis Martin,9.7
68,2,7-22,6:40pm ET,DET@PIT,DET,PIT,Jack Flaherty,19.7
69,3,7-22,6:40pm ET,DET@PIT,PIT,DET,Paul Skenes,20.9
70,26,7-22,9:40pm ET,HOU@ARI,HOU,ARI,Colton Gordon,11.9
71,27,7-22,9:40pm ET,HOU@ARI,ARI,HOU,Eduardo Rodriguez,14.6
72,20,7-22,8:05pm ET,KC@CHC,KC,CHC,TBD,
73,21,7-22,8:05pm ET,KC@CHC,CHC,KC,Matthew Boyd,15.9
74,13,7-22,7:10pm ET,LAA@NYM,NYM,LAA,Frankie Montas,14.7
75,12,7-22,7:10pm ET,LAA@NYM,LAA,NYM,Kyle Hendricks,9.6
76,25,7-22,9:40pm ET,MIL@SEA,SEA,MIL,George Kirby,18.2
77,24,7-22,9:40pm ET,MIL@SEA,MIL,SEA,Jacob Misiorowski,15.3
78,28,7-22,10:10pm ET,MIN@LAD,MIN,LAD,David Festa,14.4
79,29,7-22,10:10pm ET,MIN@LAD,LAD,MIN,Yoshinobu Yamamoto,19.0
80,10,7-22,7:07pm ET,NYY@TOR,NYY,TOR,Cam Schlittler,17.2
81,11,7-22,7:07pm ET,NYY@TOR,TOR,NYY,Max Scherzer,17.9
82,18,7-22,8:05pm ET,OAK@TEX,OAK,TEX,Jack Perkins,
83,19,7-22,8:05pm ET,OAK@TEX,TEX,OAK,Jack Leiter,10.4
84,4,7-22,6:40pm ET,SD@MIA,SD,MIA,Stephen Kolek,10.5
85,5,7-22,6:40pm ET,SD@MIA,MIA,SD,Edward Cabrera,16.6
86,15,7-22,7:15pm ET,SF@ATL,ATL,SF,Bryce Elder,14.3
87,14,7-22,7:15pm ET,SF@ATL,SF,ATL,Landen Roupp,10.8
88,22,7-22,8:40pm ET,STL@COL,STL,COL,Erick Fedde,10.0
89,23,7-22,8:40pm ET,STL@COL,COL,STL,Bradley Blalock,8.4
90,20,7-23,6:40pm ET,BAL@CLE,BAL,CLE,Charlie Morton,13.9
91,21,7-23,6:40pm ET,BAL@CLE,CLE,BAL,Slade Cecconi,13.9
92,23,7-23,7:05pm ET,BOS@PHI,PHI,BOS,Jesus Luzardo,17.4
93,22,7-23,7:05pm ET,BOS@PHI,BOS,PHI,Lucas Giolito,17.4
94,0,7-23,12:05pm ET,CIN@WSH,CIN,WSH,Nick Lodolo,15.4
95,1,7-23,12:05pm ET,CIN@WSH,WSH,CIN,Michael Soroka,14.7
96,26,7-23,7:35pm ET,CWS@TB,CWS,TB,Jonathan Cannon,11.9
97,27,7-23,7:35pm ET,CWS@TB,TB,CWS,Taj Bradley,14.6
98,7,7-23,12:35pm ET,DET@PIT,PIT,DET,Bailey Falter,9.0
99,6,7-23,12:35pm ET,DET@PIT,DET,PIT,Reese Olson,13.3
100,16,7-23,3:40pm ET,HOU@ARI,HOU,ARI,Brandon Walter,13.4
