,Date,Pitcher,Team,Own%,Opp,Home,Start Grade,Day Rank
23,9-24,Hunter Greene,CIN,95.0,PIT,CIN,142.0,1
22,9-24,Paul Skenes,PIT,99.5,CIN,CIN,128.0,2
1,9-24,Garrett Crochet,BOS,99.5,TOR,TOR,125.0,3
18,9-24,Jacob deGrom,TEX,97.5,MIN,TEX,124.0,4
25,9-24,Sonny Gray,STL,92.0,SF,SF,120.0,5
9,9-24,Hunter Brown,HOU,98.5,OAK,OAK,119.0,6
16,9-24,Dylan Cease,SD,91.5,MIL,SD,116.0,7
15,9-24,Jesus Luzardo,PHI,84.0,MIA,PHI,115.0,8
8,9-24,J.T. Ginn,OAK,4.0,HOU,OAK,114.0,9
0,9-24,Max Scherzer,TOR,34.5,BOS,TOR,113.0,11
4,9-24,Max Fried,NYY,98.5,CWS,NYY,113.0,11
6,9-24,Jack Flaherty,DET,72.0,CLE,CLE,113.0,11
2,9-24,Luis Castillo,SEA,92.0,COL,SEA,111.0,13
26,9-24,Shane Baz,TB,35.0,BAL,BAL,109.0,14
27,9-24,Tyler Wells,BAL,23.0,TB,BAL,105.0,15
13,9-24,Blake Snell,LAD,92.0,ARI,ARI,103.0,16
24,9-24,Robbie Ray,SF,83.0,STL,SF,103.0,16
7,9-24,Tanner Bibee,CLE,78.0,DET,CLE,101.0,18
11,9-24,Stephen Kolek,KC,11.0,LAA,LAA,101.0,18
20,9-24,Matthew Boyd,CHC,72.0,NYM,CHC,100.0,20
17,9-24,Chad Patrick,MIL,9.0,SD,SD,98.0,21
12,9-24,Ryne Nelson,ARI,34.0,LAD,ARI,96.0,22
28,9-24,Andrew Alvarez,WSH,3.5,ATL,ATL,96.0,22
3,9-24,Tanner Gordon,COL,0.5,SEA,SEA,95.0,25
21,9-24,Jonah Tong,NYM,18.0,CHC,CHC,95.0,25
29,9-24,Bryce Elder,ATL,13.5,WSH,ATL,95.0,25
14,9-24,Ryan Weathers,MIA,6.0,PHI,PHI,93.0,27
5,9-24,Tyler Alexander,CWS,0.0,NYY,NYY,90.0,28
10,9-24,Yusei Kikuchi,LAA,60.0,KC,LAA,89.0,29
19,9-24,Taj Bradley,MIN,26.0,TEX,TEX,88.0,30
46,9-25,Joe Ryan,MIN,94.0,TEX,TEX,124.0,1
51,9-25,Nick Lodolo,CIN,65.5,PIT,CIN,117.0,2
42,9-25,Yoshinobu Yamamoto,LAD,98.5,ARI,ARI,116.0,3
31,9-25,Shane Bieber,TOR,66.0,BOS,TOR,111.0,4
38,9-25,Framber Valdez,HOU,94.5,OAK,OAK,111.0,4
52,9-25,Cade Povich,BAL,2.5,TB,BAL,110.0,6
53,9-25,Drew Rasmussen,TB,73.5,BAL,BAL,109.0,7
35,9-25,Carlos Rodon,NYY,96.5,CWS,NYY,108.0,8
36,9-25,Parker Messick,CLE,27.5,DET,CLE,107.0,9
49,9-25,Shota Imanaga,CHC,94.5,NYM,CHC,106.0,10
50,9-25,Braxton Ashcraft,PIT,6.0,CIN,CIN,105.0,11
48,9-25,Nolan McLean,NYM,71.5,CHC,CHC,104.0,12
41,9-25,Michael Lorenzen,KC,7.0,LAA,LAA,102.0,13
43,9-25,Zac Gallen,ARI,81.5,LAD,ARI,98.0,14
44,9-25,Janson Junk,MIA,4.0,PHI,PHI,92.0,15
40,9-25,Mitch Farris,LAA,2.5,KC,LAA,90.0,16
47,9-25,Tyler Mahle,TEX,28.5,MIN,TEX,87.0,17
33,9-25,Emerson Hancock,SEA,0.5,COL,SEA,86.0,18
39,9-25,Luis Severino,OAK,21.5,HOU,OAK,83.0,19
37,9-25,Keider Montero,DET,2.0,CLE,CLE,82.0,20
34,9-25,Davis Martin,CWS,3.5,NYY,NYY,79.0,21
30,9-25,Brayan Bello,BOS,43.5,TOR,TOR,76.0,22
45,9-25,Taijuan Walker,PHI,7.5,MIA,PHI,75.0,23
32,9-25,Bradley Blalock,COL,0.0,SEA,SEA,66.0,24
71,9-26,George Kirby,SEA,87.5,LAD,SEA,117.0,1
