,Hitter,Pos,Team,Sal,Opp,Park,OppSP,LU,DKPts,FDPts,Floor,Ceil,Value,PA,R,HR,RBI,SB,SO,BB,HBP,1B,2B,3B,Date,MainSlate,Ownership,LastUpdate,TopPlayScore
0,Jackson Chourio,OF,MIL,5200.0,NYY,NYY,Carlos Rodon,1,8.35,10.881,0.52,20.14,1.91,4.64,0.63,0.15,0.45,0.17,1.18,0.32,0.03,0.68,0.2,0.02,2025-03-27,None,,13:55,
1,Christian Yelich,OF,MIL,4600.0,NYY,NYY,Carlos Rodon,2,8.11,10.83,0.74,20.61,2.03,4.45,0.6,0.09,0.54,0.17,1.17,0.55,0.03,0.65,0.19,0.01,2025-03-27,None,,13:55,
2,William Contreras,C,MIL,4500.0,NYY,NYY,Carlos Rodon,3,8.15,10.906999999999998,0.41,16.35,2.38,4.32,0.56,0.15,0.59,0.07,1.08,0.53,0.03,0.62,0.2,0.01,2025-03-27,None,,13:55,
3,Rhys Hoskins,1B,MIL,3900.0,NYY,NYY,Carlos Rodon,4,6.730000000000001,9.28,0.23,15.69,1.72,4.13,0.45,0.15,0.56,0.03,1.44,0.49,0.06,0.4,0.16,0.01,2025-03-27,None,,13:55,
4,Sal Frelick,OF,MIL,3500.0,NYY,NYY,Carlos Rodon,5,6.5,8.584999999999999,0.28,15.19,1.72,4.21,0.4,0.02,0.45,0.16,0.81,0.42,0.05,0.71,0.15,0.01,2025-03-27,None,,13:55,
5,Joey Ortiz,3B/SS,MIL,3300.0,NYY,NYY,Carlos Rodon,6,6.77,9.080000000000002,0.18,14.84,2.09,4.1,0.45,0.08,0.46,0.12,1.01,0.47,0.05,0.55,0.16,0.02,2025-03-27,None,,13:55,
6,Garrett Mitchell,OF,MIL,3800.0,NYY,NYY,Carlos Rodon,7,6.260000000000001,8.406999999999998,0.0,15.22,1.47,3.98,0.41,0.09,0.39,0.16,1.63,0.48,0.04,0.44,0.12,0.01,2025-03-27,None,,13:55,
7,Vinny Capra,2B,MIL,6600.0,NYY,NYY,Carlos Rodon,8,5.97,8.024000000000001,0.12,14.79,0.81,3.85,0.42,0.09,0.4,0.08,1.04,0.36,0.06,0.51,0.14,0.01,2025-03-27,None,,13:55,
8,Brice Turang,2B,MIL,4200.0,NYY,NYY,Carlos Rodon,9,6.09,7.875000000000001,0.29,15.21,1.33,3.64,0.4,0.03,0.35,0.24,0.82,0.32,0.01,0.59,0.12,0.01,2025-03-27,None,,13:55,
9,Austin Wells,C,NYY,3900.0,MIL,NYY,Freddy Peralta,1,7.9,10.816,0.18,18.0,2.58,4.65,0.68,0.15,0.48,0.04,1.12,0.62,0.07,0.52,0.2,0.01,2025-03-27,None,,13:55,
10,Aaron Judge,OF,NYY,6100.0,MIL,NYY,Freddy Peralta,2,11.120000000000001,15.324,0.91,21.41,2.88,4.46,0.92,0.32,0.82,0.06,1.41,0.88,0.03,0.45,0.19,0.01,2025-03-27,None,,13:55,
11,Cody Bellinger,OF,NYY,4800.0,MIL,NYY,Freddy Peralta,3,7.1899999999999995,9.522,0.05,16.91,1.53,4.32,0.51,0.12,0.54,0.05,0.81,0.37,0.02,0.64,0.18,0.01,2025-03-27,None,,13:55,
12,Paul Goldschmidt,1B,NYY,4400.0,MIL,NYY,Freddy Peralta,4,7.4399999999999995,10.017000000000001,0.06,14.31,1.86,4.3,0.51,0.14,0.63,0.06,1.43,0.43,0.02,0.54,0.18,0.01,2025-03-27,None,,13:55,
13,Jazz Chisholm,2B/3B,NYY,5000.0,MIL,NYY,Freddy Peralta,5,8.27,10.998000000000001,0.01,18.0,2.06,4.15,0.54,0.15,0.6,0.22,1.27,0.4,0.03,0.56,0.15,0.02,2025-03-27,None,,13:55,
14,Jasson Dominguez,OF,NYY,4200.0,MIL,NYY,Freddy Peralta,6,7.500000000000001,10.052,0.03,14.38,1.9,4.12,0.51,0.12,0.52,0.2,1.32,0.48,0.03,0.5,0.14,0.01,2025-03-27,None,,13:55,
15,Anthony Volpe,SS,NYY,3800.0,MIL,NYY,Freddy Peralta,7,6.4700000000000015,8.645000000000001,0.09,14.36,1.65,4.0,0.45,0.07,0.43,0.16,1.17,0.31,0.07,0.56,0.15,0.02,2025-03-27,None,,13:55,
16,Ben Rice,1B/C,NYY,3100.0,MIL,NYY,Freddy Peralta,8,6.880000000000001,9.607999999999999,0.0,15.97,2.26,3.86,0.54,0.15,0.52,0.06,1.23,0.53,0.09,0.4,0.14,0.0,2025-03-27,None,,13:55,
17,Oswaldo Cabrera,1B,NYY,3200.0,MIL,NYY,Freddy Peralta,9,5.600000000000001,7.381000000000001,0.0,14.85,1.45,3.65,0.43,0.05,0.37,0.08,0.85,0.32,0.02,0.56,0.14,0.01,2025-03-27,None,,13:55,
18,Colton Cowser,OF,BAL,4500.0,TOR,TOR,Jose Berrios,1,7.870000000000001,10.671,0.58,18.32,1.96,4.41,0.63,0.16,0.45,0.08,1.26,0.39,0.11,0.55,0.24,0.01,2025-03-27,None,,13:55,
19,Adley Rutschman,C,BAL,4400.0,TOR,TOR,Jose Berrios,2,7.27,9.614999999999998,0.75,18.05,1.94,4.3,0.55,0.12,0.47,0.01,0.64,0.37,0.04,0.67,0.23,0.01,2025-03-27,None,,13:55,
20,Jordan Westburg,2B,BAL,4300.0,TOR,TOR,Jose Berrios,3,8.059999999999999,10.804,0.51,17.3,2.27,4.21,0.57,0.17,0.62,0.06,0.92,0.19,0.08,0.57,0.27,0.03,2025-03-27,None,,13:55,
21,Ryan O'Hearn,DH,BAL,3700.0,TOR,TOR,Jose Berrios,4,6.780000000000001,8.919,0.32,15.54,1.72,3.92,0.47,0.11,0.49,0.03,0.59,0.27,0.03,0.63,0.22,0.01,2025-03-27,None,,13:55,
22,Tyler O'Neill,OF,BAL,4900.0,TOR,TOR,Jose Berrios,5,7.15,9.703000000000001,0.33,18.61,1.48,3.9,0.49,0.22,0.55,0.04,1.16,0.32,0.06,0.41,0.16,0.0,2025-03-27,None,,13:55,
23,Ryan Mountcastle,1B,BAL,4000.0,TOR,TOR,Jose Berrios,6,6.41,8.346,0.43,15.15,1.52,3.82,0.43,0.14,0.44,0.02,0.83,0.19,0.02,0.57,0.2,0.01,2025-03-27,None,,13:55,
24,Cedric Mullins II,OF,BAL,3200.0,TOR,TOR,Jose Berrios,7,6.59,8.712,0.12,17.15,1.93,3.75,0.41,0.09,0.46,0.16,0.72,0.29,0.04,0.53,0.18,0.01,2025-03-27,None,,13:55,
25,Ramon Urias,3B,BAL,2300.0,TOR,TOR,Jose Berrios,8,5.46,7.2540000000000004,0.22,12.88,1.95,3.5,0.37,0.1,0.38,0.02,0.7,0.21,0.06,0.52,0.16,0.01,2025-03-27,None,,13:55,
26,Jackson Holliday,SS,BAL,3600.0,TOR,TOR,Jose Berrios,9,5.67,7.514,0.15,16.08,1.34,3.46,0.42,0.1,0.34,0.08,1.08,0.33,0.02,0.42,0.15,0.01,2025-03-27,None,,13:55,
27,Bo Bichette,SS,TOR,4100.0,BAL,TOR,Zach Eflin,1,7.170000000000001,9.109,0.86,17.5,1.88,4.37,0.52,0.12,0.37,0.08,0.82,0.15,0.02,0.77,0.22,0.01,2025-03-27,None,,13:55,
28,Vladimir Guerrero Jr.,1B,TOR,5300.0,BAL,TOR,Zach Eflin,2,8.42,10.999999999999998,0.91,19.35,1.98,4.25,0.6,0.22,0.52,0.02,0.6,0.25,0.04,0.7,0.24,0.01,2025-03-27,None,,13:55,
29,Anthony Santander,OF,TOR,4700.0,BAL,TOR,Zach Eflin,3,7.4799999999999995,9.982,0.33,17.8,1.69,4.07,0.51,0.21,0.56,0.02,0.78,0.23,0.05,0.5,0.22,0.01,2025-03-27,None,,13:55,
30,Andres Gimenez,2B,TOR,3400.0,BAL,TOR,Zach Eflin,4,6.680000000000001,8.893000000000002,0.46,16.94,1.97,3.94,0.44,0.08,0.45,0.14,0.63,0.12,0.13,0.71,0.19,0.01,2025-03-27,None,,13:55,
31,Alejandro Kirk,C,TOR,3300.0,BAL,TOR,Zach Eflin,5,5.789999999999999,7.576,0.42,14.44,1.64,3.78,0.38,0.08,0.42,0.01,0.44,0.23,0.04,0.66,0.18,0.0,2025-03-27,None,,13:55,
32,George Springer,OF,TOR,4300.0,BAL,TOR,Zach Eflin,6,6.13,8.055,0.3,16.76,1.24,3.68,0.4,0.12,0.41,0.06,0.69,0.23,0.04,0.54,0.17,0.01,2025-03-27,None,,13:55,
33,Will Wagner,DH,TOR,3100.0,BAL,TOR,Zach Eflin,7,5.670000000000002,7.465,0.46,15.93,1.43,3.77,0.35,0.09,0.39,0.03,0.7,0.29,0.04,0.56,0.16,0.01,2025-03-27,None,,13:55,
34,Ernie Clement,3B,TOR,2900.0,BAL,TOR,Zach Eflin,8,5.540000000000001,6.992999999999999,0.31,12.71,1.59,3.64,0.34,0.07,0.35,0.08,0.32,0.06,0.02,0.67,0.17,0.01,2025-03-27,None,,13:55,
35,Alan Roden,OF,TOR,0.0,BAL,TOR,Zach Eflin,9,5.680000000000001,7.667,0.35,16.21,0.0,3.45,0.41,0.09,0.35,0.05,0.63,0.24,0.11,0.55,0.16,0.01,2025-03-27,None,,13:55,
36,Jarren Duran,OF,BOS,5400.0,TEX,TEX,Nathan Eovaldi,1,8.65,11.341,0.59,21.48,1.97,4.51,0.68,0.13,0.51,0.16,1.06,0.25,0.05,0.7,0.25,0.04,2025-03-27,Main,,13:55,1.24
37,Rafael Devers,DH,BOS,4900.0,TEX,TEX,Nathan Eovaldi,2,8.490000000000002,11.341999999999999,0.56,19.97,2.03,4.38,0.66,0.23,0.58,0.03,1.05,0.31,0.05,0.57,0.23,0.01,2025-03-27,Main,,13:55,1.21
38,Alex Bregman,3B,BOS,4800.0,TEX,TEX,Nathan Eovaldi,3,7.130000000000001,9.487,0.37,17.45,1.59,4.22,0.51,0.12,0.53,0.03,0.6,0.28,0.06,0.66,0.2,0.02,2025-03-27,Main,,13:55,1.01
39,Triston Casas,1B,BOS,3900.0,TEX,TEX,Nathan Eovaldi,4,7.72,10.408,0.23,18.26,2.26,4.2,0.54,0.21,0.62,0.01,1.2,0.43,0.03,0.52,0.15,0.01,2025-03-27,Main,,13:55,1.19
40,Trevor Story,SS,BOS,4400.0,TEX,TEX,Nathan Eovaldi,5,6.0600000000000005,8.102000000000002,0.09,16.17,1.25,3.99,0.41,0.12,0.44,0.09,1.4,0.2,0.06,0.46,0.17,0.01,2025-03-27,Main,,13:55,0.87
41,Kristian Campbell,2B,BOS,3100.0,TEX,TEX,Nathan Eovaldi,6,7.630000000000001,10.311,0.3,15.06,2.82,3.99,0.53,0.15,0.55,0.1,1.02,0.31,0.11,0.64,0.17,0.01,2025-03-27,Main,,13:55,1.23
42,Wilyer Abreu,OF,BOS,3300.0,TEX,TEX,Nathan Eovaldi,7,6.84,9.022,0.0,14.94,2.02,3.87,0.46,0.14,0.46,0.07,1.12,0.29,0.03,0.53,0.2,0.01,2025-03-27,Main,,13:55,1.03
43,Connor Wong,C,BOS,3700.0,TEX,TEX,Nathan Eovaldi,8,5.640000000000001,7.4140000000000015,0.14,14.25,1.38,3.74,0.42,0.07,0.38,0.05,1.04,0.15,0.05,0.56,0.19,0.02,2025-03-27,Main,,13:55,0.83
44,Ceddanne Rafaela,OF,BOS,3800.0,TEX,TEX,Nathan Eovaldi,9,5.6,7.34,0.2,16.56,1.17,3.54,0.4,0.11,0.36,0.1,1.03,0.07,0.06,0.52,0.14,0.01,2025-03-27,Main,,13:55,0.84
45,Marcus Semien,2B,TEX,4400.0,BOS,TEX,Garrett Crochet,1,7.700000000000001,10.125000000000002,0.15,15.44,2.03,4.61,0.6,0.14,0.45,0.05,0.95,0.42,0.02,0.65,0.2,0.02,2025-03-27,Main,,13:55,1.07
46,Corey Seager,DH,TEX,5200.0,BOS,TEX,Garrett Crochet,2,7.96,10.55,0.29,15.35,1.68,4.42,0.6,0.22,0.52,0.01,1.15,0.3,0.04,0.58,0.21,0.01,2025-03-27,Main,,13:55,1.0
47,Wyatt Langford,OF,TEX,4300.0,BOS,TEX,Garrett Crochet,3,7.91,10.520999999999999,0.13,19.01,2.07,4.41,0.53,0.17,0.55,0.09,1.2,0.38,0.04,0.57,0.21,0.01,2025-03-27,Main,,13:55,1.17
48,Adolis Garcia,OF,TEX,4600.0,BOS,TEX,Garrett Crochet,4,6.98,9.387,0.0,14.64,1.51,4.31,0.46,0.17,0.53,0.07,1.62,0.35,0.04,0.43,0.16,0.02,2025-03-27,Main,,13:55,0.91
49,Jake Burger,1B,TEX,4400.0,BOS,TEX,Garrett Crochet,5,7.24,9.73,0.0,15.44,1.76,4.19,0.5,0.21,0.54,0.02,1.45,0.22,0.07,0.47,0.19,0.02,2025-03-27,Main,,13:55,1.0
50,Josh Jung,3B,TEX,3700.0,BOS,TEX,Garrett Crochet,6,6.27,8.314,0.1,15.86,1.6,4.08,0.42,0.16,0.44,0.02,1.51,0.22,0.05,0.51,0.16,0.01,2025-03-27,Main,,13:55,0.94
51,Kevin Pillar,OF,TEX,2000.0,BOS,TEX,Garrett Crochet,7,5.209999999999999,6.928000000000001,0.01,13.45,1.93,3.81,0.34,0.08,0.34,0.1,1.2,0.14,0.08,0.48,0.15,0.01,2025-03-27,Main,,13:55,0.92
