,Pitcher,ID,Sal,Team,Opponent,HomeTeam,PC,DKPts,FDPts,Val,Floor,Ceil,IP,H,ER,SO,BB,HBP,W,Date,MainSlate,Ownership,LastUpdate
0,Paul Skenes,694973,10000.0,PIT,MIA,MIA,85.0,21.74,37.48,2.17,13.43,37.83,5.28,3.85,1.64,7.44,1.11,0.25,0.34,2025-03-27,Main,,13:55
1,Garrett Crochet,676979,9000.0,BOS,TEX,TEX,85.0,19.34,34.39,2.15,10.31,35.26,5.42,4.4,2.26,7.06,1.53,0.2,0.31,2025-03-27,Main,,13:55
2,Logan Gilbert,669302,8300.0,SEA,OAK,SEA,85.0,18.42,32.82,2.22,9.86,31.48,5.34,4.63,2.17,6.43,1.16,0.12,0.36,2025-03-27,None,,13:55
3,Blake Snell,605483,17400.0,LAD,DET,LAD,75.0,18.09,31.66,1.04,7.96,28.13,4.6,3.08,1.69,6.43,2.07,0.08,0.35,2025-03-27,None,,13:55
4,Yusei Kikuchi,579328,6900.0,LAA,CWS,CWS,85.0,17.93,32.35,2.6,7.1,32.38,5.36,4.57,2.19,6.29,1.49,0.17,0.35,2025-03-27,Main,,13:55
5,Freddy Peralta,642547,8300.0,MIL,NYY,NYY,85.0,16.32,29.48,1.97,5.88,29.03,4.82,3.36,1.96,5.96,2.25,0.23,0.25,2025-03-27,None,,13:55
6,Carlos Rodon,607074,8100.0,NYY,MIL,NYY,80.0,16.15,29.02,1.99,4.82,26.91,4.72,3.67,1.93,5.72,1.86,0.17,0.34,2025-03-27,None,,13:55
7,Logan Webb,657277,7500.0,SF,CIN,CIN,90.0,15.75,29.9,2.1,5.94,29.41,5.63,5.69,2.58,5.7,1.36,0.21,0.3,2025-03-27,Main,,13:55
8,Hunter Greene,668881,7400.0,CIN,SF,CIN,80.0,15.71,28.71,2.12,6.59,28.26,4.78,3.49,2.12,5.86,2.24,0.42,0.3,2025-03-27,Main,,13:55
9,Sandy Alcantara,645261,7700.0,MIA,PIT,MIA,80.0,15.53,29.13,2.02,6.78,29.33,5.42,5.37,2.32,5.5,1.11,0.23,0.25,2025-03-27,Main,,13:55
10,Zack Wheeler,554430,9500.0,PHI,WSH,WSH,85.0,15.46,29.17,1.63,7.37,28.26,5.43,5.33,2.4,5.4,1.29,0.29,0.35,2025-03-27,Main,,13:55
11,Nathan Eovaldi,543135,7200.0,TEX,BOS,TEX,80.0,14.86,27.81,2.06,4.96,26.32,5.17,5.19,2.51,5.57,1.27,0.22,0.28,2025-03-27,Main,,13:55
12,Luis Severino,622663,7300.0,OAK,SEA,SEA,80.0,14.62,27.62,2.0,3.78,27.75,5.08,4.48,2.36,5.54,1.9,0.48,0.23,2025-03-27,None,,13:55
13,Michael King,650633,8000.0,SD,ATL,SD,80.0,14.57,27.58,1.82,6.1,29.35,5.06,4.57,2.28,5.35,1.96,0.23,0.28,2025-03-27,Main,,13:55
14,Tarik Skubal,669373,17700.0,DET,LAD,LAD,80.0,14.55,26.73,0.82,6.81,28.97,4.8,4.4,2.18,5.37,1.37,0.23,0.24,2025-03-27,None,,13:55
15,Cole Ragans,666142,8600.0,KC,CLE,KC,90.0,14.48,27.13,1.68,6.73,27.65,5.09,4.44,2.27,4.97,1.79,0.15,0.37,2025-03-27,Main,,13:55
16,Pablo Lopez,641154,8200.0,MIN,STL,STL,85.0,14.38,28.19,1.75,5.71,29.91,5.64,5.66,2.55,5.06,1.52,0.39,0.31,2025-03-27,Main,,13:55
17,Chris Sale,519242,9300.0,ATL,SD,SD,85.0,14.32,27.17,1.54,8.25,32.81,5.15,5.24,2.19,4.92,1.13,0.25,0.31,2025-03-27,Main,,13:55
18,Sonny Gray,543243,7800.0,STL,MIN,STL,75.0,14.05,26.16,1.8,8.7,31.77,4.78,4.45,2.16,5.1,1.36,0.39,0.28,2025-03-27,Main,,13:55
19,Sean Burke,680732,6300.0,CWS,LAA,CWS,75.0,13.88,25.45,2.2,2.81,22.13,4.66,3.87,1.9,4.79,1.46,0.21,0.23,2025-03-27,Main,,13:55
20,Jose Berrios,621244,7400.0,TOR,BAL,TOR,85.0,13.8,27.18,1.86,2.63,23.62,5.58,5.83,2.83,5.17,1.53,0.42,0.3,2025-03-27,None,,13:55
21,Clay Holmes,605280,6000.0,NYM,HOU,HOU,80.0,12.65,24.33,2.11,4.01,25.55,4.79,4.43,2.03,4.31,1.46,0.46,0.28,2025-03-27,Main,,13:55
22,Framber Valdez,664285,8300.0,HOU,NYM,HOU,85.0,12.19,24.5,1.47,6.82,29.39,5.15,5.25,2.65,4.61,1.95,0.37,0.31,2025-03-27,Main,,13:55
23,MacKenzie Gore,669022,6600.0,WSH,PHI,WSH,80.0,12.09,23.95,1.83,5.52,28.34,4.93,4.96,2.52,4.7,2.08,0.17,0.24,2025-03-27,Main,,13:55
24,Zach Eflin,621107,7000.0,BAL,TOR,TOR,85.0,11.7,23.6,1.67,2.3,26.9,5.5,6.08,2.53,3.73,0.74,0.23,0.29,2025-03-27,None,,13:55
25,Zac Gallen,668678,8800.0,ARI,CHC,ARI,80.0,11.53,21.7,1.31,4.23,27.68,4.26,4.13,2.16,4.26,1.53,0.22,0.31,2025-03-27,None,,13:55
26,Justin Steele,657006,8000.0,CHC,ARI,ARI,80.0,11.19,22.47,1.4,2.64,25.82,4.95,4.91,2.41,3.96,1.82,0.22,0.28,2025-03-27,None,,13:55
27,Ben Lively,594902,7000.0,CLE,KC,KC,55.0,6.87,13.58,0.98,,,3.47,3.69,1.75,2.28,0.9,0.23,0.22,2025-03-27,Main,,13:55
