,Player,Book,Type,OU,Line,Price,BetValue,Last Update,Recommended
0,Logan Gilbert,DraftKings,pitcher_outs,Under,17.5,180,0.3,03/27 13:56,N
1,Tarik Skubal,DraftKings,pitcher_outs,Under,17.5,100,0.297,03/27 13:56,N
4,Framber Valdez,BetMGM,pitcher_strikeouts,Under,5.5,110,0.208,03/27 13:56,Y
10,Max Muncy,DraftKings,batter_walks,Under,0.5,-195,0.1659999999999999,03/27 13:56,Y
11,MacKenzie Gore,DraftKings,pitcher_strikeouts,Under,5.5,-105,0.156,03/27 13:56,Y
13,Mike Trout,DraftKings,batter_walks,Under,0.5,110,0.149,03/27 13:56,N
14,Chris Sale,Caesars,pitcher_hits_allowed,Over,4.5,120,0.1459999999999999,03/27 13:56,N
15,Chris Sale,DraftKings,pitcher_outs,Under,17.5,-130,0.145,03/27 13:56,N
17,Clay Holmes,DraftKings,pitcher_walks,Under,1.5,135,0.1449999999999999,03/27 13:56,N
18,Chris Sale,DraftKings,pitcher_walks,Under,1.5,-120,0.1429999999999999,03/27 13:56,N
20,Zack Wheeler,DraftKings,pitcher_hits_allowed,Over,3.5,-175,0.142,03/27 13:56,N
21,Sean Burke,DraftKings,pitcher_walks,Under,2.5,-210,0.1419999999999999,03/27 13:56,N
25,Zac Gallen,DraftKings,pitcher_outs,Under,15.5,-185,0.134,03/27 13:56,N
26,Zack Wheeler,BetMGM,pitcher_outs,Under,17.5,100,0.132,03/27 13:56,N
28,Tarik Skubal,BetRivers,pitcher_strikeouts,Under,5.5,138,0.131,03/27 13:56,N
30,Zac Gallen,BetRivers,pitcher_strikeouts,Under,4.5,123,0.1299999999999999,03/27 13:56,N
31,Zac Gallen,DraftKings,pitcher_walks,Under,2.5,-205,0.129,03/27 13:56,N
35,Cole Ragans,FanDuel,pitcher_strikeouts,Under,5.5,102,0.126,03/27 13:56,N
34,Zack Wheeler,BetRivers,pitcher_strikeouts,Under,5.5,138,0.126,03/27 13:56,N
36,Kerry Carpenter,Caesars,batter_hits,Over,0.5,116,0.1259999999999999,03/27 13:56,N
38,Hunter Greene,DraftKings,pitcher_outs,Under,15.5,-105,0.123,03/27 13:56,N
40,Jung Hoo Lee,DraftKings,batter_walks,Over,0.5,185,0.122,03/27 13:56,N
46,Zack Wheeler,DraftKings,pitcher_walks,Under,1.5,-105,0.118,03/27 13:56,N
42,Carlos Rodon,DraftKings,pitcher_outs,Under,14.5,130,0.118,03/27 13:56,N
47,Zach Eflin,DraftKings,pitcher_walks,Under,1.5,-250,0.1159999999999999,03/27 13:56,N
53,Nathan Eovaldi,DraftKings,pitcher_outs,Under,16.5,100,0.1139999999999999,03/27 13:56,N
49,Taylor Ward,DraftKings,batter_walks,Under,0.5,-125,0.1139999999999999,03/27 13:56,N
50,Yordan Alvarez,DraftKings,batter_walks,Under,0.5,-110,0.1139999999999999,03/27 13:56,N
58,Sonny Gray,BetMGM,pitcher_strikeouts,Under,5.5,105,0.1099999999999999,03/27 13:56,N
62,Josh Bell,DraftKings,batter_walks,Under,0.5,-185,0.1069999999999999,03/27 13:56,N
63,Michael King,Caesars,pitcher_hits_allowed,Over,3.5,-129,0.1060000000000001,03/27 13:56,N
64,Yusei Kikuchi,DraftKings,pitcher_walks,Under,1.5,120,0.106,03/27 13:56,N
69,Oneil Cruz,DraftKings,batter_walks,Under,0.5,-175,0.1049999999999999,03/27 13:56,N
72,Luis Arraez,BetRivers,batter_hits,Over,1.5,310,0.1039999999999999,03/27 13:56,N
73,Paul Skenes,DraftKings,pitcher_walks,Under,1.5,-145,0.1029999999999999,03/27 13:56,N
74,Freddy Peralta,BetMGM,pitcher_hits_allowed,Under,3.5,115,0.1019999999999999,03/27 13:56,N
75,Jordan Westburg,DraftKings,batter_singles,Under,0.5,115,0.1009999999999999,03/27 13:56,N
81,Logan Gilbert,BetRivers,pitcher_strikeouts,Under,6.5,125,0.094,03/27 13:56,N
82,C.J. Abrams,BetRivers,batter_hits,Over,1.5,420,0.0939999999999999,03/27 13:56,N
88,Chris Sale,BetRivers,pitcher_strikeouts,Under,4.5,175,0.091,03/27 13:56,N
90,Ryan Mountcastle,BetMGM,batter_singles,Under,0.5,110,0.0899999999999999,03/27 13:56,N
92,Hunter Greene,BetRivers,pitcher_strikeouts,Under,5.5,163,0.088,03/27 13:56,N
93,Drake Baldwin,Caesars,batter_home_runs,Over,0.5,2200,0.088,03/27 13:56,N
98,Anthony Santander,DraftKings,batter_walks,Under,0.5,-245,0.085,03/27 13:56,N
99,Christian Walker,DraftKings,batter_walks,Under,0.5,-145,0.085,03/27 13:56,N
102,Kyle Stowers,BetRivers,batter_hits,Over,0.5,123,0.084,03/27 13:56,N
104,Garrett Crochet,DraftKings,pitcher_outs,Over,15.5,110,0.083,03/27 13:56,N
106,Blake Snell,FanDuel,pitcher_strikeouts,Under,6.5,120,0.083,03/27 13:56,N
110,Lawrence Butler,BetRivers,batter_hits,Over,1.5,440,0.083,03/27 13:56,N
111,Fernando Tatis Jr.,DraftKings,batter_walks,Under,0.5,-175,0.0829999999999999,03/27 13:56,N
114,Framber Valdez,Caesars,pitcher_hits_allowed,Over,4.5,-109,0.0799999999999999,03/27 13:56,N
115,Bryan Reynolds,Caesars,batter_home_runs,Over,0.5,1200,0.079,03/27 13:56,N
116,Lenyn Sosa,DraftKings,batter_walks,Under,0.5,-450,0.078,03/27 13:56,N
119,Zach Eflin,DraftKings,pitcher_strikeouts,Over,3.5,130,0.077,03/27 13:56,N
124,Kyle Manzardo,DraftKings,batter_walks,Over,0.5,275,0.076,03/27 13:56,N
123,Clay Holmes,DraftKings,pitcher_outs,Under,14.5,120,0.076,03/27 13:56,N
126,James Wood,BetMGM,batter_hits,Over,0.5,-120,0.0759999999999999,03/27 13:56,N
127,Kyle Stowers,DraftKings,batter_singles,Over,0.5,220,0.075,03/27 13:56,N
130,Ivan Herrera,BetRivers,batter_hits,Over,1.5,380,0.0749999999999999,03/27 13:56,N
132,Logan Webb,BetMGM,pitcher_outs,Under,17.5,100,0.0749999999999999,03/27 13:56,N
133,C.J. Abrams,DraftKings,batter_walks,Under,0.5,-280,0.074,03/27 13:56,N
136,Kerry Carpenter,Caesars,batter_home_runs,Over,0.5,1000,0.074,03/27 13:56,N
134,Seiya Suzuki,DraftKings,batter_walks,Under,0.5,-140,0.074,03/27 13:56,N
138,James Wood,BetMGM,batter_singles,Over,0.5,150,0.0729999999999999,03/27 13:56,N
140,Jackson Holliday,DraftKings,batter_hits,Under,0.5,130,0.072,03/27 13:56,N
142,Jackson Merrill,BetRivers,batter_hits,Over,1.5,375,0.0719999999999999,03/27 13:56,N
146,Gavin Lux,DraftKings,batter_walks,Under,0.5,-190,0.0709999999999999,03/27 13:56,N
149,Keibert Ruiz,BetMGM,batter_singles,Over,0.5,145,0.07,03/27 13:56,N
147,Derek Hill,DraftKings,batter_walks,Under,0.5,-475,0.07,03/27 13:56,N
150,Shohei Ohtani,BetMGM,batter_home_runs,Over,0.5,450,0.07,03/27 13:56,N
151,Oneil Cruz,FanDuel,batter_hits,Over,1.5,370,0.0699999999999999,03/27 13:56,N
156,Colt Keith,BetMGM,batter_hits,Over,0.5,-110,0.0689999999999999,03/27 13:56,N
158,Justin Steele,DraftKings,pitcher_walks,Over,1.5,110,0.067,03/27 13:56,N
160,Logan Webb,FanDuel,pitcher_strikeouts,Over,4.5,-154,0.067,03/27 13:56,N
159,Garrett Crochet,DraftKings,pitcher_hits_allowed,Over,3.5,-135,0.067,03/27 13:56,N
161,Jung Hoo Lee,BetRivers,batter_hits,Over,1.5,335,0.0669999999999999,03/27 13:56,N
166,Trevor Story,DraftKings,batter_singles,Under,0.5,-130,0.066,03/27 13:56,N
